epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1706108609811,2024-01-24T17:03:29.811,0.000,0.659,0.744,0.108,0.000
1706108609821,2024-01-24T17:03:29.821,0.010,0.659,0.744,0.108,-0.000
1706108609831,2024-01-24T17:03:29.831,0.020,0.659,0.744,0.108,-0.000
1706108609841,2024-01-24T17:03:29.841,0.030,0.659,0.744,0.108,-0.000
1706108609851,2024-01-24T17:03:29.851,0.040,0.659,0.744,0.108,-0.000
1706108609861,2024-01-24T17:03:29.861,0.050,0.659,0.745,0.108,-0.000
1706108609871,2024-01-24T17:03:29.871,0.060,0.659,0.745,0.108,-0.000
1706108609881,2024-01-24T17:03:29.881,0.070,0.659,0.745,0.108,-0.000
1706108609891,2024-01-24T17:03:29.891,0.080,0.659,0.745,0.108,-0.000
1706108609901,2024-01-24T17:03:29.901,0.090,0.659,0.745,0.108,-0.000
1706108609911,2024-01-24T17:03:29.911,0.100,0.659,0.745,0.108,-0.000
1706108609921,2024-01-24T17:03:29.921,0.110,0.659,0.745,0.108,-0.000
1706108609931,2024-01-24T17:03:29.931,0.120,0.659,0.745,0.108,-0.000
1706108609941,2024-01-24T17:03:29.941,0.130,0.659,0.745,0.108,-0.000
1706108609951,2024-01-24T17:03:29.951,0.140,0.658,0.745,0.108,-0.000
1706108609961,2024-01-24T17:03:29.961,0.150,0.658,0.745,0.108,-0.000
1706108609971,2024-01-24T17:03:29.971,0.160,0.658,0.745,0.108,-0.000
1706108609981,2024-01-24T17:03:29.981,0.170,0.658,0.745,0.108,-0.000
1706108609991,2024-01-24T17:03:29.991,0.180,0.658,0.745,0.108,-0.000
1706108610001,2024-01-24T17:03:30.001,0.190,0.658,0.745,0.108,-0.000
1706108610011,2024-01-24T17:03:30.011,0.200,0.658,0.745,0.108,-0.000
1706108610021,2024-01-24T17:03:30.021,0.210,0.658,0.745,0.108,-0.000
1706108610031,2024-01-24T17:03:30.031,0.220,0.658,0.745,0.108,-0.000
1706108610041,2024-01-24T17:03:30.041,0.230,0.658,0.745,0.108,-0.000
1706108610051,2024-01-24T17:03:30.051,0.240,0.658,0.745,0.108,-0.000
1706108610061,2024-01-24T17:03:30.061,0.250,0.658,0.745,0.108,-0.000
1706108610071,2024-01-24T17:03:30.071,0.260,0.658,0.745,0.108,-0.000
1706108610081,2024-01-24T17:03:30.081,0.270,0.658,0.745,0.108,-0.000
1706108610091,2024-01-24T17:03:30.091,0.280,0.658,0.745,0.108,-0.000
1706108610101,2024-01-24T17:03:30.101,0.290,0.658,0.745,0.108,-0.000
1706108610111,2024-01-24T17:03:30.111,0.300,0.658,0.745,0.108,-0.000
1706108610121,2024-01-24T17:03:30.121,0.310,0.658,0.745,0.108,-0.000
1706108610131,2024-01-24T17:03:30.131,0.320,0.658,0.745,0.108,-0.000
1706108610141,2024-01-24T17:03:30.141,0.330,0.658,0.745,0.108,-0.000
1706108610151,2024-01-24T17:03:30.151,0.340,0.658,0.745,0.108,-0.000
1706108610161,2024-01-24T17:03:30.161,0.350,0.658,0.745,0.108,-0.000
1706108610171,2024-01-24T17:03:30.171,0.360,0.658,0.745,0.108,-0.000
1706108610181,2024-01-24T17:03:30.181,0.370,0.658,0.745,0.108,-0.000
1706108610191,2024-01-24T17:03:30.191,0.380,0.658,0.745,0.108,-0.000
1706108610201,2024-01-24T17:03:30.201,0.390,0.658,0.745,0.108,-0.000
1706108610211,2024-01-24T17:03:30.211,0.400,0.658,0.745,0.108,-0.000
1706108610221,2024-01-24T17:03:30.221,0.410,0.658,0.745,0.108,-0.000
1706108610231,2024-01-24T17:03:30.231,0.420,0.658,0.745,0.108,-0.000
1706108610241,2024-01-24T17:03:30.241,0.430,0.658,0.745,0.108,-0.000
1706108610251,2024-01-24T17:03:30.251,0.440,0.658,0.745,0.108,-0.000
1706108610261,2024-01-24T17:03:30.261,0.450,0.658,0.745,0.108,-0.000
1706108610271,2024-01-24T17:03:30.271,0.460,0.658,0.745,0.108,-0.000
1706108610281,2024-01-24T17:03:30.281,0.470,0.658,0.745,0.108,-0.000
1706108610291,2024-01-24T17:03:30.291,0.480,0.658,0.745,0.108,-0.000
1706108610301,2024-01-24T17:03:30.301,0.490,0.658,0.745,0.108,-0.000
1706108610311,2024-01-24T17:03:30.311,0.500,0.658,0.745,0.108,-0.000
1706108610321,2024-01-24T17:03:30.321,0.510,0.658,0.745,0.108,-0.000
1706108610331,2024-01-24T17:03:30.331,0.520,0.658,0.745,0.108,-0.000
1706108610341,2024-01-24T17:03:30.341,0.530,0.658,0.745,0.108,-0.000
1706108610351,2024-01-24T17:03:30.351,0.540,0.658,0.746,0.108,-0.000
1706108610361,2024-01-24T17:03:30.361,0.550,0.658,0.746,0.108,-0.000
1706108610371,2024-01-24T17:03:30.371,0.560,0.657,0.746,0.108,-0.000
