Device,MAC,Timestamp,Time(03:00),Elapsed(s),X(number),Y(number),Z (number)
7,FEAC84C53DE7,1721221595742,2024-07-17T16:06:35.742,0.00000000000,-0.03326640300,-0.00421224800,0.00645653100
7,FEAC84C53DE7,1721221595752,2024-07-17T16:06:35.752,0.01000000000,-0.02255524500,-0.00252822180,0.00416770900
7,FEAC84C53DE7,1721221595762,2024-07-17T16:06:35.762,0.02000000000,-0.02844301200,-0.00428381050,0.00675951830
7,FEAC84C53DE7,1721221595772,2024-07-17T16:06:35.772,0.03000000000,-0.02895463300,-0.00209548160,0.00500825750
7,FEAC84C53DE7,1721221595782,2024-07-17T16:06:35.782,0.04000000000,-0.02457809600,-0.00088238930,0.00718935350
7,FEAC84C53DE7,1721221595792,2024-07-17T16:06:35.792,0.05000000000,-0.02654794600,-0.00260407500,0.00742042620
7,FEAC84C53DE7,1721221595802,2024-07-17T16:06:35.802,0.06000000000,-0.02753977500,-0.00235199670,0.00474285600
7,FEAC84C53DE7,1721221595812,2024-07-17T16:06:35.812,0.07000000000,-0.02804303200,-0.00304555520,0.00452747660
7,FEAC84C53DE7,1721221595822,2024-07-17T16:06:35.822,0.08000000000,-0.02708280800,-0.00076926587,0.00823801200
7,FEAC84C53DE7,1721221595832,2024-07-17T16:06:35.832,0.09000000000,-0.02904789100,-0.00044408170,0.00708916400
7,FEAC84C53DE7,1721221595842,2024-07-17T16:06:35.842,0.10000000000,-0.03003836000,0.00088390877,0.00545964500
7,FEAC84C53DE7,1721221595852,2024-07-17T16:06:35.852,0.11000000000,-0.02908650000,0.00231566260,0.00433164400
7,FEAC84C53DE7,1721221595862,2024-07-17T16:06:35.862,0.12000000000,-0.02715418700,-0.00114932210,0.00321438960
7,FEAC84C53DE7,1721221595872,2024-07-17T16:06:35.872,0.13000000000,-0.02910633800,0.00417444340,0.00563014440
7,FEAC84C53DE7,1721221595882,2024-07-17T16:06:35.882,0.14000000000,-0.02666435000,-0.00078673400,0.00753324570
7,FEAC84C53DE7,1721221595892,2024-07-17T16:06:35.892,0.15000000000,-0.02812822200,-0.00037446450,0.00065134090
7,FEAC84C53DE7,1721221595902,2024-07-17T16:06:35.902,0.16000000000,-0.02714806000,0.00391340630,-0.00233193950
7,FEAC84C53DE7,1721221595912,2024-07-17T16:06:35.912,0.17000000000,-0.02665647300,0.00131410840,0.00148356250
7,FEAC84C53DE7,1721221595922,2024-07-17T16:06:35.922,0.18000000000,-0.02519163100,-0.00471108030,0.00820844900
7,FEAC84C53DE7,1721221595932,2024-07-17T16:06:35.932,0.19000000000,-0.02370802100,-0.01072033300,0.01064587800
7,FEAC84C53DE7,1721221595942,2024-07-17T16:06:35.942,0.20000000000,-0.02663897000,-0.00742510600,0.00811430100
7,FEAC84C53DE7,1721221595952,2024-07-17T16:06:35.952,0.21000000000,-0.02468613700,-0.00460307500,0.00315645400
E7,FEAC84C53DE7,1721221596052,2024-07-17T16:06:36.052,0.31000000000,-0.02890221600,0.00418492170,0.00616726800
7,FEAC84C53DE7,1721221596062,2024-07-17T16:06:36.062,0.32000000000,-0.02792429200,0.00356183130,0.00754521930
7,FEAC84C53DE7,1721221596072,2024-07-17T16:06:36.072,0.33000000000,-0.03182947000,0.00096861157,0.00695707740
7,FEAC84C53DE7,1721221596082,2024-07-17T16:06:36.082,0.34000000000,-0.03036414000,-0.00016383809,0.00734053700
7,FEAC84C53DE7,1721221596092,2024-07-17T16:06:36.092,0.35000000000,-0.02450516000,-0.00518545460,0.01261079200
7,FEAC84C53DE7,1721221596102,2024-07-17T16:06:36.102,0.36000000000,-0.02548337500,-0.00626990060,0.01155036600
7,FEAC84C53DE7,1721221596112,2024-07-17T16:06:36.112,0.37000000000,-0.02841442000,-0.00585453100,0.00807461100
7,FEAC84C53DE7,1721221596122,2024-07-17T16:06:36.122,0.38000000000,-0.02695074500,-0.00493273230,0.00851840150
7,FEAC84C53DE7,1721221596132,2024-07-17T16:06:36.132,0.39000000000,-0.02646402000,-0.00447905950,0.01092717900
7,FEAC84C53DE7,1721221596142,2024-07-17T16:06:36.142,0.40000000000,-0.02695346800,-0.00108523590,0.01090396100
