epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1706108609899,2024-01-24T17:03:29.899,0.000,1.000,0.005,0.014,0.000
1706108609909,2024-01-24T17:03:29.909,0.010,1.000,0.004,0.014,0.000
1706108609919,2024-01-24T17:03:29.919,0.020,1.000,0.004,0.014,0.000
1706108609929,2024-01-24T17:03:29.929,0.030,1.000,0.004,0.014,0.000
1706108609939,2024-01-24T17:03:29.939,0.040,1.000,0.004,0.014,0.000
1706108609949,2024-01-24T17:03:29.949,0.050,1.000,0.004,0.014,0.000
1706108609959,2024-01-24T17:03:29.959,0.060,1.000,0.004,0.014,0.000
1706108609969,2024-01-24T17:03:29.969,0.070,1.000,0.004,0.014,0.000
1706108609979,2024-01-24T17:03:29.979,0.080,1.000,0.004,0.014,0.000
1706108609989,2024-01-24T17:03:29.989,0.090,1.000,0.004,0.014,0.000
1706108609999,2024-01-24T17:03:29.999,0.100,1.000,0.004,0.014,0.000
1706108610009,2024-01-24T17:03:30.009,0.110,1.000,0.004,0.014,0.000
1706108610019,2024-01-24T17:03:30.019,0.120,1.000,0.004,0.014,0.000
1706108610029,2024-01-24T17:03:30.029,0.130,1.000,0.004,0.014,0.000
1706108610039,2024-01-24T17:03:30.039,0.140,1.000,0.004,0.014,0.000
1706108610049,2024-01-24T17:03:30.049,0.150,1.000,0.004,0.014,0.000
1706108610059,2024-01-24T17:03:30.059,0.160,1.000,0.004,0.014,0.000
1706108610069,2024-01-24T17:03:30.069,0.170,1.000,0.004,0.014,0.000
1706108610079,2024-01-24T17:03:30.079,0.180,1.000,0.004,0.014,0.000
1706108610089,2024-01-24T17:03:30.089,0.190,1.000,0.004,0.014,0.000
1706108610099,2024-01-24T17:03:30.099,0.200,1.000,0.004,0.014,0.000
1706108610109,2024-01-24T17:03:30.109,0.210,1.000,0.004,0.014,0.000
1706108610119,2024-01-24T17:03:30.119,0.220,1.000,0.004,0.014,0.000
1706108610129,2024-01-24T17:03:30.129,0.230,1.000,0.004,0.014,0.000
1706108610139,2024-01-24T17:03:30.139,0.240,1.000,0.004,0.014,0.000
1706108610149,2024-01-24T17:03:30.149,0.250,1.000,0.004,0.014,0.000
1706108610159,2024-01-24T17:03:30.159,0.260,1.000,0.004,0.014,0.000
1706108610169,2024-01-24T17:03:30.169,0.270,1.000,0.004,0.014,0.000
1706108610179,2024-01-24T17:03:30.179,0.280,1.000,0.004,0.014,0.000
1706108610189,2024-01-24T17:03:30.189,0.290,1.000,0.004,0.014,0.000
1706108610199,2024-01-24T17:03:30.199,0.300,1.000,0.004,0.014,0.000
1706108610209,2024-01-24T17:03:30.209,0.310,1.000,0.004,0.014,0.000
1706108610219,2024-01-24T17:03:30.219,0.320,1.000,0.004,0.014,0.000
1706108610229,2024-01-24T17:03:30.229,0.330,1.000,0.004,0.014,0.000
1706108610239,2024-01-24T17:03:30.239,0.340,1.000,0.004,0.014,0.000
1706108610249,2024-01-24T17:03:30.249,0.350,1.000,0.004,0.014,0.000
1706108610259,2024-01-24T17:03:30.259,0.360,1.000,0.004,0.014,0.000
1706108610269,2024-01-24T17:03:30.269,0.370,1.000,0.004,0.014,0.000
1706108610279,2024-01-24T17:03:30.279,0.380,1.000,0.004,0.014,0.000
1706108610289,2024-01-24T17:03:30.289,0.390,1.000,0.004,0.014,0.000
1706108610299,2024-01-24T17:03:30.299,0.400,1.000,0.004,0.014,0.000
1706108610309,2024-01-24T17:03:30.309,0.410,1.000,0.004,0.014,0.000
1706108610319,2024-01-24T17:03:30.319,0.420,1.000,0.004,0.014,0.000
1706108610329,2024-01-24T17:03:30.329,0.430,1.000,0.004,0.014,0.000
1706108610339,2024-01-24T17:03:30.339,0.440,1.000,0.004,0.014,0.000
1706108610349,2024-01-24T17:03:30.349,0.450,1.000,0.004,0.014,0.000
1706108610359,2024-01-24T17:03:30.359,0.460,1.000,0.004,0.014,0.000
1706108610369,2024-01-24T17:03:30.369,0.470,1.000,0.004,0.014,0.000
1706108610379,2024-01-24T17:03:30.379,0.480,1.000,0.004,0.014,0.000
1706108610389,2024-01-24T17:03:30.389,0.490,1.000,0.004,0.014,0.000
1706108610399,2024-01-24T17:03:30.399,0.500,1.000,0.004,0.014,0.000
1706108610409,2024-01-24T17:03:30.409,0.510,1.000,0.004,0.014,0.000
1706108610419,2024-01-24T17:03:30.419,0.520,1.000,0.004,0.014,0.000
1706108610429,2024-01-24T17:03:30.429,0.530,1.000,0.004,0.014,0.000
1706108610439,2024-01-24T17:03:30.439,0.540,1.000,0.004,0.014,0.000
1706108610449,2024-01-24T17:03:30.449,0.550,1.000,0.004,0.014,0.000
1706108610459,2024-01-24T17:03:30.459,0.560,1.000,0.004,0.014,0.000
1706108610469,2024-01-24T17:03:30.469,0.570,1.000,0.004,0.014,0.000
1706108610479,2024-01-24T17:03:30.479,0.580,1.000,0.004,0.014,0.000
1706108610489,2024-01-24T17:03:30.489,0.590,1.000,0.004,0.014,0.000
1706108610499,2024-01-24T17:03:30.499,0.600,1.000,0.004,0.014,0.000
1706108610509,2024-01-24T17:03:30.509,0.610,1.000,0.004,0.014,0.000
1706108610519,2024-01-24T17:03:30.519,0.620,1.000,0.004,0.014,0.000
1706108610529,2024-01-24T17:03:30.529,0.630,1.000,0.004,0.014,0.000
1706108610539,2024-01-24T17:03:30.539,0.640,1.000,0.004,0.014,0.000
1706108610549,2024-01-24T17:03:30.549,0.650,1.000,0.004,0.014,0.000
1706108610559,2024-01-24T17:03:30.559,0.660,1.000,0.004,0.014,0.000
