Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
MetaWearBD,C8925E7DC6BD,1708689726247,2024-02-23T14:02:06.247,39.63,0.6109976,0.0927187,-0.78454995,0.05066031
MetaWearBD,C8925E7DC6BD,1708689726267,2024-02-23T14:02:06.267,39.65,0.6108134,0.09299824,-0.7846553,0.05073857
MetaWearBD,C8925E7DC6BD,1708689726277,2024-02-23T14:02:06.277,39.66,0.6106949,0.093107745,-0.7847328,0.05076369
MetaWearBD,C8925E7DC6BD,1708689726297,2024-02-23T14:02:06.297,39.68,0.61045265,0.093115896,-0.78493446,0.050544538
MetaWearBD,C8925E7DC6BD,1708689726327,2024-02-23T14:02:06.327,39.71,0.6099823,0.09262142,-0.78542674,0.049475506
MetaWearBD,C8925E7DC6BD,1708689726337,2024-02-23T14:02:06.337,39.72,0.60976857,0.09239,-0.7856447,0.04907872
MetaWearBD,C8925E7DC6BD,1708689726357,2024-02-23T14:02:06.357,39.74,0.6093541,0.0919822,-0.7860607,0.048325744
MetaWearBD,C8925E7DC6BD,1708689726367,2024-02-23T14:02:06.367,39.75,0.60917944,0.0917994,-0.78624004,0.047958247
MetaWearBD,C8925E7DC6BD,1708689726377,2024-02-23T14:02:06.377,39.76,0.6089999,0.0916387,-0.7864189,0.047609344
MetaWearBD,C8925E7DC6BD,1708689726407,2024-02-23T14:02:06.407,39.79,0.6084694,0.09127166,-0.7869283,0.046673514
MetaWearBD,C8925E7DC6BD,1708689726417,2024-02-23T14:02:06.417,39.8,0.608249,0.091178,-0.78712815,0.046357736
MetaWearBD,C8925E7DC6BD,1708689726437,2024-02-23T14:02:06.437,39.82,0.6078032,0.09103566,-0.78752273,0.045778062
MetaWearBD,C8925E7DC6BD,1708689726447,2024-02-23T14:02:06.447,39.83,0.6075662,0.09100622,-0.7877222,0.04555351
MetaWearBD,C8925E7DC6BD,1708689726497,2024-02-23T14:02:06.497,39.88,0.60623795,0.09143816,-0.7887304,0.044933807
MetaWearBD,C8925E7DC6BD,1708689726517,2024-02-23T14:02:06.517,39.9,0.6057227,0.0917134,-0.7891038,0.04476517
MetaWearBD,C8925E7DC6BD,1708689726537,2024-02-23T14:02:06.537,39.92,0.60529256,0.09203455,-0.78939986,0.04470505
MetaWearBD,C8925E7DC6BD,1708689726547,2024-02-23T14:02:06.547,39.93,0.60508937,0.09221497,-0.7895353,0.044690825
MetaWearBD,C8925E7DC6BD,1708689726927,2024-02-23T14:02:06.927,40.31,0.60404134,0.09431371,-0.7900884,0.04471546
MetaWearBD,C8925E7DC6BD,1708689726947,2024-02-23T14:02:06.947,40.33,0.6045967,0.09410611,-0.7896766,0.044920653
MetaWearBD,C8925E7DC6BD,1708689726957,2024-02-23T14:02:06.957,40.34,0.604891,0.093986906,-0.7894584,0.04504126
MetaWearBD,C8925E7DC6BD,1708689726967,2024-02-23T14:02:06.967,40.35,0.60516584,0.093899496,-0.7892489,0.04520553
MetaWearBD,C8925E7DC6BD,1708689727017,2024-02-23T14:02:07.017,40.4,0.6060842,0.093893,-0.78846693,0.046539757
MetaWearBD,C8925E7DC6BD,1708689727027,2024-02-23T14:02:07.027,40.41,0.6062174,0.093977995,-0.788329,0.046969302
MetaWearBD,C8925E7DC6BD,1708689727127,2024-02-23T14:02:07.127,40.51,0.60714304,0.09546365,-0.7870667,0.05282116
MetaWearBD,C8925E7DC6BD,1708689727147,2024-02-23T14:02:07.147,40.53,0.60729617,0.0955043,-0.7868696,0.05391278
