Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
MetaWearE7,FEAC84C53DE7,1708689744714,2024-02-23T14:02:24.714,58.12,0.7489342,-0.07680454,-0.65789914,0.019165631
MetaWearE7,FEAC84C53DE7,1708689744724,2024-02-23T14:02:24.724,58.13,0.74898267,-0.07680596,-0.65784395,0.01915997
MetaWearE7,FEAC84C53DE7,1708689744734,2024-02-23T14:02:24.734,58.14,0.74904156,-0.07680767,-0.6577769,0.019153098
MetaWearE7,FEAC84C53DE7,1708689744744,2024-02-23T14:02:24.744,58.15,0.74908656,-0.07680898,-0.65772563,0.019147841
MetaWearE7,FEAC84C53DE7,1708689744754,2024-02-23T14:02:24.754,58.16,0.74908656,-0.07680898,-0.65772563,0.019147841
MetaWearE7,FEAC84C53DE7,1708689744764,2024-02-23T14:02:24.764,58.17,0.74908656,-0.07680898,-0.65772563,0.019147841
MetaWearE7,FEAC84C53DE7,1708689744774,2024-02-23T14:02:24.774,58.18,0.74908656,-0.07680898,-0.65772563,0.019147841
MetaWearE7,FEAC84C53DE7,1708689744794,2024-02-23T14:02:24.794,58.2,0.7489792,-0.07680585,-0.6578479,0.019160373
MetaWearE7,FEAC84C53DE7,1708689744804,2024-02-23T14:02:24.804,58.21,0.7488841,-0.07680308,-0.65795624,0.019171482
MetaWearE7,FEAC84C53DE7,1708689744814,2024-02-23T14:02:24.814,58.22,0.74879056,-0.076800354,-0.65806264,0.019182397
MetaWearE7,FEAC84C53DE7,1708689744824,2024-02-23T14:02:24.824,58.23,0.74870396,-0.07679783,-0.65816116,0.019192502
MetaWearE7,FEAC84C53DE7,1708689744834,2024-02-23T14:02:24.834,58.24,0.7486277,-0.07679561,-0.6582478,0.019201394
MetaWearE7,FEAC84C53DE7,1708689744844,2024-02-23T14:02:24.844,58.25,0.748555,-0.07679349,-0.6583306,0.019209884
MetaWearE7,FEAC84C53DE7,1708689744854,2024-02-23T14:02:24.854,58.26,0.74847084,-0.07679103,-0.6584263,0.0192197
MetaWearE7,FEAC84C53DE7,1708689744874,2024-02-23T14:02:24.874,58.28,0.74825287,-0.07678467,-0.658674,0.019245118
MetaWearE7,FEAC84C53DE7,1708689744884,2024-02-23T14:02:24.884,58.29,0.7481246,-0.07678092,-0.65881974,0.019260071
MetaWearE7,FEAC84C53DE7,1708689744894,2024-02-23T14:02:24.894,58.3,0.74797195,-0.07677645,-0.65899295,0.019277852
