Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
MetaWear94,E25AD03D0194,Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y,(number),Z,(number)
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148792,2024-02-08T12:45:48.792,52.06,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148802,2024-02-08T12:45:48.802,52.07,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148812,2024-02-08T12:45:48.812,52.08,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148822,2024-02-08T12:45:48.822,52.09,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148832,2024-02-08T12:45:48.832,52.1,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148842,2024-02-08T12:45:48.842,52.11,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148912,2024-02-08T12:45:48.912,52.18,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148922,2024-02-08T12:45:48.922,52.19,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148932,2024-02-08T12:45:48.932,52.2,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148942,2024-02-08T12:45:48.942,52.21,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148952,2024-02-08T12:45:48.952,52.22,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148962,2024-02-08T12:45:48.962,52.23,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148972,2024-02-08T12:45:48.972,52.24,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148982,2024-02-08T12:45:48.982,52.25,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389148992,2024-02-08T12:45:48.992,52.26,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149002,2024-02-08T12:45:49.002,52.27,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149012,2024-02-08T12:45:49.012,52.28,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149022,2024-02-08T12:45:49.022,52.29,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149032,2024-02-08T12:45:49.032,52.3,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149042,2024-02-08T12:45:49.042,52.31,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149052,2024-02-08T12:45:49.052,52.32,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149062,2024-02-08T12:45:49.062,52.33,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149072,2024-02-08T12:45:49.072,52.34,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149082,2024-02-08T12:45:49.082,52.35,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149092,2024-02-08T12:45:49.092,52.36,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149102,2024-02-08T12:45:49.102,52.37,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149112,2024-02-08T12:45:49.112,52.38,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149122,2024-02-08T12:45:49.122,52.39,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149132,2024-02-08T12:45:49.132,52.4,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149142,2024-02-08T12:45:49.142,52.41,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149152,2024-02-08T12:45:49.152,52.42,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149162,2024-02-08T12:45:49.162,52.43,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149172,2024-02-08T12:45:49.172,52.44,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149182,2024-02-08T12:45:49.182,52.45,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149192,2024-02-08T12:45:49.192,52.46,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149202,2024-02-08T12:45:49.202,52.47,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149212,2024-02-08T12:45:49.212,52.48,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149222,2024-02-08T12:45:49.222,52.49,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149232,2024-02-08T12:45:49.232,52.5,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149242,2024-02-08T12:45:49.242,52.51,0.6023367,0.0031051221,-0.7980152,-0.018776616
