Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
ameC1:72:76:61:09:C5,C172766109C5,1713174299752,null,null,0.9993858,-0.0037657656,-0.013286279,-0.032207243
ameC1:72:76:61:09:C5,C172766109C5,1713174299798,null,null,0.9993858,-0.0037657656,-0.013286279,-0.032207243
ameC1:72:76:61:09:C5,C172766109C5,1713174299798,null,null,0.9993858,-0.0037657656,-0.013286279,-0.032207243
ameC1:72:76:61:09:C5,C172766109C5,1713174299799,null,null,0.9993858,-0.0037657656,-0.013286279,-0.032207243
ameC1:72:76:61:09:C5,C172766109C5,1713174299799,null,null,0.9993858,-0.0037657656,-0.013286279,-0.032207243
ameC1:72:76:61:09:C5,C172766109C5,1713174299800,null,null,1.0,-3.0406736E-5,-1.1342062E-4,0.0
ameC1:72:76:61:09:C5,C172766109C5,1713174299841,null,null,1.0,-5.7861653E-5,-2.203582E-4,-1.3766877E-10
ameC1:72:76:61:09:C5,C172766109C5,1713174299842,null,null,1.0,-8.7371816E-5,-3.2762688E-4,1.5839396E-10
ameC1:72:76:61:09:C5,C172766109C5,1713174299843,null,null,0.99999994,-1.21227706E-4,-4.3566572E-4,1.810945E-9
ameC1:72:76:61:09:C5,C172766109C5,1713174299843,null,null,0.9999999,-1.5891415E-4,-5.486218E-4,4.5362256E-9
ameC1:72:76:61:09:C5,C172766109C5,1713174299890,null,null,0.9999998,-1.9364047E-4,-6.5537874E-4,6.6226633E-9
ameC1:72:76:61:09:C5,C172766109C5,1713174299892,null,null,0.99999976,-2.2861765E-4,-7.5594464E-4,1.0072339E-8
ameC1:72:76:61:09:C5,C172766109C5,1713174299892,null,null,0.9999996,-2.610033E-4,-8.5589313E-4,1.1704108E-8
ameC1:72:76:61:09:C5,C172766109C5,1713174299893,null,null,0.9999995,-2.926024E-4,-9.591577E-4,1.1797187E-8
ameC1:72:76:61:09:C5,C172766109C5,1713174299893,null,null,0.9999994,-3.2439086E-4,-0.0010624495,1.2063914E-8
ameC1:72:76:61:09:C5,C172766109C5,1713174299938,null,null,0.9999993,-3.5462697E-4,-0.0011654742,1.0767984E-8
ameC1:72:76:61:09:C5,C172766109C5,1713174299940,null,null,0.99999917,-3.8228885E-4,-0.0012623405,8.655785E-9
ameC1:72:76:61:09:C5,C172766109C5,1713174299940,null,null,0.99999905,-4.1094207E-4,-0.0013603888,7.3431323E-9
ameC1:72:76:61:09:C5,C172766109C5,1713174299941,null,null,0.9999989,-4.3589761E-4,-0.0014521033,3.6030308E-9
ameC1:72:76:61:09:C5,C172766109C5,1713174299942,null,null,0.9999987,-4.6079562E-4,-0.0015430349,1.205862E-10
ameC1:72:76:61:09:C5,C172766109C5,1713174299988,null,null,0.99999857,-4.884182E-4,-0.001635934,-6.4297026E-11
ameC1:72:76:61:09:C5,C172766109C5,1713174299989,null,null,0.9999984,-5.1777734E-4,-0.0017287189,2.6474503E-9
ameC1:72:76:61:09:C5,C172766109C5,1713174299990,null,null,0.9999982,-5.415173E-4,-0.0018170222,-2.0343016E-9
ameC1:72:76:61:09:C5,C172766109C5,1713174299991,null,null,0.99999803,-5.6901044E-4,-0.0019087619,-1.7573107E-9
ameC1:72:76:61:09:C5,C172766109C5,1713174299991,null,null,0.99999785,-5.9733307E-4,-0.0019981544,1.4385435E-9
ameC1:72:76:61:09:C5,C172766109C5,1713174300036,null,null,0.9999977,-6.247304E-4,-0.0020871044,3.049884E-9
ameC1:72:76:61:09:C5,C172766109C5,1713174300181,null,null,0.9999954,-8.620371E-4,-0.0029203852,-1.8337659E-8
ameC1:72:76:61:09:C5,C172766109C5,1713174300182,null,null,0.9999951,-8.808021E-4,-0.0029907117,-2.4160808E-8
ameC1:72:76:61:09:C5,C172766109C5,1713174300183,null,null,0.9999949,-8.9684007E-4,-0.0030618575,-3.886137E-8
ameC1:72:76:61:09:C5,C172766109C5,1713174300185,null,null,0.99999464,-9.196808E-4,-0.003133298,-3.299667E-8
ameC1:72:76:61:09:C5,C172766109C5,1713174300185,null,null,0.9999944,-9.419275E-4,-0.0032012663,-2.5800471E-8
ameC1:72:76:61:09:C5,C172766109C5,1713174300186,null,null,0.99999416,-9.604666E-4,-0.0032674985,-2.883771E-8
ameC1:72:76:61:09:C5,C172766109C5,1713174300186,null,null,0.9999939,-9.767086E-4,-0.003335338,-4.0924757E-8
