Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
NameE1:55:61:CB:91:61,E15561CB9161,1713516746701,null,null,0.022817818,0.4420839,0.89668345,2.0840361E-4
ameE1:55:61:CB:91:61,E15561CB9161,1713516746706,null,null,0.022817818,0.4420839,0.89668345,2.0840361E-4
ameE1:55:61:CB:91:61,E15561CB9161,1713516746708,null,null,0.022817818,0.4420839,0.89668345,2.0840361E-4
ameE1:55:61:CB:91:61,E15561CB9161,1713516746709,null,null,0.022817818,0.4420839,0.89668345,2.0840361E-4
ameE1:55:61:CB:91:61,E15561CB9161,1713516746710,null,null,0.022817818,0.4420839,0.89668345,2.0840361E-4
ameE1:55:61:CB:91:61,E15561CB9161,1713516746712,null,null,0.022817818,0.4420839,0.89668345,2.0840361E-4
ameE1:55:61:CB:91:61,E15561CB9161,1713516746746,null,null,0.018193748,0.4716471,0.88159966,0.0
ameE1:55:61:CB:91:61,E15561CB9161,1713516746748,null,null,0.018193688,0.4716471,0.88159966,-5.7012564E-9
ameE1:55:61:CB:91:61,E15561CB9161,1713516746750,null,null,0.018193655,0.4716471,0.88159966,-3.7038056E-8
ameE1:55:61:CB:91:61,E15561CB9161,1713516746753,null,null,0.018193752,0.4716471,0.88159966,-1.2282408E-7
ameE1:55:61:CB:91:61,E15561CB9161,1713516746756,null,null,0.01819378,0.4716471,0.88159966,-2.5510974E-7
ameE1:55:61:CB:91:61,E15561CB9161,1713516746795,null,null,0.018193766,0.4716471,0.88159966,-5.930301E-7
ameE1:55:61:CB:91:61,E15561CB9161,1713516746796,null,null,0.018193575,0.4716471,0.88159966,-9.591358E-7
ameE1:55:61:CB:91:61,E15561CB9161,1713516746798,null,null,0.018193427,0.4716471,0.88159966,-1.1278004E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746799,null,null,0.018193336,0.4716471,0.88159966,-1.162282E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746799,null,null,0.01819309,0.4716471,0.88159966,-1.2807573E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746844,null,null,0.018192992,0.4716471,0.88159966,-1.2447014E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746845,null,null,0.018192941,0.4716471,0.88159966,-1.2252589E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746847,null,null,0.018192781,0.4716471,0.88159966,-1.1956317E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746849,null,null,0.018192584,0.4716471,0.88159966,-1.310866E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746851,null,null,0.018192511,0.4716471,0.88159966,-1.3268516E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746892,null,null,0.018192166,0.4716471,0.88159966,-1.3821062E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746895,null,null,0.01819193,0.4716471,0.88159966,-1.464301E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746896,null,null,0.018191833,0.4716471,0.88159966,-1.6198412E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746897,null,null,0.018191239,0.4716471,0.88159966,-1.7824549E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746899,null,null,0.018190745,0.4716471,0.88159966,-2.0219718E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746941,null,null,0.018190447,0.4716471,0.88159966,-2.2473564E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746943,null,null,0.018190414,0.4716471,0.88159966,-2.2914605E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746944,null,null,0.018190457,0.4716471,0.88159966,-2.2762506E-6
ameE1:55:61:CB:91:61,E15561CB9161,1713516746945,null,null,0.01819055,0.4716471,0.88159966,-2.124094E-6
