Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
etaWear,FEAC84C53DE7,1728548854952,2024-10-10T11:27:34.952,0.00000000000,0.07961810000,-0.60680410000,0.79085386000,0.00000508903
etaWear,FEAC84C53DE7,1728548854962,2024-10-10T11:27:34.962,0.01000000000,0.07957266000,-0.60675100000,0.79089916000,-0.00002419493
etaWear,FEAC84C53DE7,1728548854972,2024-10-10T11:27:34.972,0.02000000000,0.07953085000,-0.60670525000,0.79093844000,-0.00005153063
etaWear,FEAC84C53DE7,1728548854982,2024-10-10T11:27:34.982,0.03000000000,0.07953083500,-0.60665950000,0.79097354000,-0.00004691876
etaWear,FEAC84C53DE7,1728548854992,2024-10-10T11:27:34.992,0.04000000000,0.07953083500,-0.60661370000,0.79100865000,-0.00004231420
etaWear,FEAC84C53DE7,1728548855002,2024-10-10T11:27:35.002,0.05000000000,0.07953077000,-0.60656375000,0.79104700000,-0.00003719471
etaWear,FEAC84C53DE7,1728548855012,2024-10-10T11:27:35.012,0.06000000000,0.07953080500,-0.60652210000,0.79107890000,-0.00003283902
etaWear,FEAC84C53DE7,1728548855022,2024-10-10T11:27:35.022,0.07000000000,0.07948989000,-0.60652210000,0.79108304000,-0.00006413190
etaWear,FEAC84C53DE7,1728548855032,2024-10-10T11:27:35.032,0.08000000000,0.07948968600,-0.60647630000,0.79111814000,-0.00005948460
etaWear,FEAC84C53DE7,1728548855042,2024-10-10T11:27:35.042,0.09000000000,0.07948937000,-0.60643053000,0.79115325000,-0.00005478199
etaWear,FEAC84C53DE7,1728548855052,2024-10-10T11:27:35.052,0.10000000000,0.07948921600,-0.60638060000,0.79119160000,-0.00004966210
etaWear,FEAC84C53DE7,1728548855062,2024-10-10T11:27:35.062,0.11000000000,0.07948885000,-0.60633475000,0.79122670000,-0.00004505472
etaWear,FEAC84C53DE7,1728548855072,2024-10-10T11:27:35.072,0.12000000000,0.07948880000,-0.60628980000,0.79126114000,-0.00004043737
etaWear,FEAC84C53DE7,1728548855082,2024-10-10T11:27:35.082,0.13000000000,0.07948863500,-0.60624814000,0.79129300000,-0.00003601814
etaWear,FEAC84C53DE7,1728548855092,2024-10-10T11:27:35.092,0.14000000000,0.07948828000,-0.60620177000,0.79132860000,-0.00003091400
