Device,MAC,Timestamp,Time(03:00),Elapsed(s),X(number),Y(number),Z (number)
94,E25AD03D0194,1721223466517,2024-07-17T16:37:46.517,0.00000000000,-0.00297791950,-0.00077465100,-0.00073273724
4,E25AD03D0194,1721223466527,2024-07-17T16:37:46.527,0.01000000000,-0.00505172700,0.00045237207,-0.00099452810
4,E25AD03D0194,1721223466537,2024-07-17T16:37:46.537,0.02000000000,-0.00617114550,-0.00167268500,0.00022882388
4,E25AD03D0194,1721223466547,2024-07-17T16:37:46.547,0.03000000000,-0.00338995800,-0.00085436980,-0.00146800290
4,E25AD03D0194,1721223466557,2024-07-17T16:37:46.557,0.04000000000,-0.00009569175,-0.00252158450,-0.00468328000
4,E25AD03D0194,1721223466567,2024-07-17T16:37:46.567,0.05000000000,-0.00314265720,-0.00225957500,-0.00057463674
4,E25AD03D0194,1721223466577,2024-07-17T16:37:46.577,0.06000000000,-0.00718456400,-0.00291789350,-0.00133205050
4,E25AD03D0194,1721223466587,2024-07-17T16:37:46.587,0.07000000000,-0.00828569900,-0.00213774780,-0.00015399176
4,E25AD03D0194,1721223466597,2024-07-17T16:37:46.597,0.08000000000,-0.00352357650,-0.00526630400,-0.00191767630
4,E25AD03D0194,1721223466607,2024-07-17T16:37:46.607,0.09000000000,-0.00462733800,-0.00299800120,-0.00124051620
4,E25AD03D0194,1721223466617,2024-07-17T16:37:46.617,0.10000000000,-0.00621267040,-0.00075118995,-0.00203245300
4,E25AD03D0194,1721223466637,2024-07-17T16:37:46.637,0.12000000000,-0.01032012200,-0.00369721230,-0.00023772204
4,E25AD03D0194,1721223466647,2024-07-17T16:37:46.647,0.13000000000,-0.00894649800,-0.00302311550,0.00384833520
4,E25AD03D0194,1721223466657,2024-07-17T16:37:46.657,0.14000000000,-0.00902915800,-0.00528016170,0.00155299740
4,E25AD03D0194,1721223466667,2024-07-17T16:37:46.667,0.15000000000,-0.00618145400,-0.00509184200,0.00120426700
4,E25AD03D0194,1721223466677,2024-07-17T16:37:46.677,0.16000000000,-0.00577933430,-0.00487869900,0.00035777435
4,E25AD03D0194,1721223466687,2024-07-17T16:37:46.687,0.17000000000,-0.00878905400,-0.00615014000,-0.00098003820
4,E25AD03D0194,1721223466697,2024-07-17T16:37:46.697,0.18000000000,-0.00739880050,-0.00453222960,-0.00034435416
4,E25AD03D0194,1721223466707,2024-07-17T16:37:46.707,0.19000000000,-0.00647980950,-0.00052666930,-0.00314032300
4,E25AD03D0194,1721223466717,2024-07-17T16:37:46.717,0.20000000000,-0.00553864600,-0.00139280610,0.00030769178
4,E25AD03D0194,1721223466727,2024-07-17T16:37:46.727,0.21000000000,-0.00755887060,-0.00173429140,0.00336075950
4,E25AD03D0194,1721223466737,2024-07-17T16:37:46.737,0.22000000000,-0.00811376600,-0.00303984200,-0.00043807665
4,E25AD03D0194,1721223466747,2024-07-17T16:37:46.747,0.23000000000,-0.00379421680,-0.00335682100,-0.00323713340
4,E25AD03D0194,1721223466757,2024-07-17T16:37:46.757,0.24000000000,-0.00483505900,-0.00665325100,-0.00016899222
4,E25AD03D0194,1721223466767,2024-07-17T16:37:46.767,0.25000000000,-0.00681482800,-0.00274586210,-0.00152494140
4,E25AD03D0194,1721223466777,2024-07-17T16:37:46.777,0.26000000000,-0.00876766000,-0.00179254290,0.00289268190
4,E25AD03D0194,1721223466787,2024-07-17T16:37:46.787,0.27000000000,-0.00583739100,-0.00231077600,0.00243374570
94,E25AD03D0194,1721223466797,2024-07-17T16:37:46.797,0.28000000000,-0.00778963930,-0.00380243430,0.00343483780
4,E25AD03D0194,1721223466807,2024-07-17T16:37:46.807,0.29000000000,-0.00632440760,-0.00428774900,0.00147651200
4,E25AD03D0194,1721223466817,2024-07-17T16:37:46.817,0.30000000000,-0.01023007100,-0.00477257740,0.00195861770
4,E25AD03D0194,1721223466827,2024-07-17T16:37:46.827,0.31000000000,-0.00974120700,-0.00428125770,0.00097678030
4,E25AD03D0194,1721223466837,2024-07-17T16:37:46.837,0.32000000000,-0.00973974700,-0.00378952450,0.00438579900
4,E25AD03D0194,1721223466847,2024-07-17T16:37:46.847,0.33000000000,-0.00876221300,-0.00524948030,0.00339878330
4,E25AD03D0194,1721223466857,2024-07-17T16:37:46.857,0.34000000000,-0.00973731650,-0.00475609400,0.00338764840
4,E25AD03D0194,1721223466867,2024-07-17T16:37:46.867,0.35000000000,-0.00631779530,-0.00328672960,0.00386540220
4,E25AD03D0194,1721223466877,2024-07-17T16:37:46.877,0.36000000000,-0.00973420400,-0.00572198260,0.00385278420
4,E25AD03D0194,1721223466887,2024-07-17T16:37:46.887,0.37000000000,-0.00823211700,-0.00195339040,0.00286644930
4,E25AD03D0194,1721223466897,2024-07-17T16:37:46.897,0.38000000000,-0.00818874400,-0.00602362070,0.00090595970
4,E25AD03D0194,1721223466907,2024-07-17T16:37:46.907,0.39000000000,-0.00716122430,-0.00524403430,-0.00153875060
4,E25AD03D0194,1721223466917,2024-07-17T16:37:46.917,0.40000000000,-0.00563103150,-0.00403405400,-0.00007609634
4,E25AD03D0194,1721223466927,2024-07-17T16:37:46.927,0.41000000000,-0.00848476600,-0.00286508800,-0.00007799267
4,E25AD03D0194,1721223466937,2024-07-17T16:37:46.937,0.42000000000,-0.00401302430,-0.00169991430,0.00236061540
4,E25AD03D0194,1721223466947,2024-07-17T16:37:46.947,0.43000000000,-0.00540152700,-0.00297235200,0.00138125790
4,E25AD03D0194,1721223466957,2024-07-17T16:37:46.957,0.44000000000,-0.00825107900,-0.00376910250,0.00332864350
4,E25AD03D0194,1721223466967,2024-07-17T16:37:46.967,0.45000000000,-0.01012348700,-0.00260925340,0.00527167700
4,E25AD03D0194,1721223466977,2024-07-17T16:37:46.977,0.46000000000,-0.00615578050,-0.00342647450,-0.00000437615
4,E25AD03D0194,1721223466987,2024-07-17T16:37:46.987,0.47000000000,-0.00655148130,-0.00378028600,0.00291891440
4,E25AD03D0194,1721223466997,2024-07-17T16:37:46.997,0.48000000000,-0.00940492400,-0.00417370160,0.00155681430
4,E25AD03D0194,1721223467007,2024-07-17T16:37:47.007,0.49000000000,-0.00931973500,-0.00167458130,-0.00028928765
4,E25AD03D0194,1721223467017,2024-07-17T16:37:47.017,0.50000000000,-0.00824825900,-0.00263796580,0.00031532570
4,E25AD03D0194,1721223467027,2024-07-17T16:37:47.027,0.51000000000,-0.00570785700,-0.00460122700,0.00336982780
4,E25AD03D0194,1721223467037,2024-07-17T16:37:47.037,0.52000000000,-0.00706397700,-0.00267200240,0.00444689500
4,E25AD03D0194,1721223467047,2024-07-17T16:37:47.047,0.53000000000,-0.00793327400,-0.00562947570,0.00260473140
4,E25AD03D0194,1721223467057,2024-07-17T16:37:47.057,0.54000000000,-0.00490040940,-0.00368911630,0.00076482900
4,E25AD03D0194,1721223467067,2024-07-17T16:37:47.067,0.55000000000,-0.00431351970,-0.00126353950,-0.00153938270
4,E25AD03D0194,1721223467077,2024-07-17T16:37:47.077,0.56000000000,-0.00615860060,-0.00129606890,0.00053272300
4,E25AD03D0194,1721223467087,2024-07-17T16:37:47.087,0.57000000000,-0.00553767400,-0.00228925980,-0.00044493260
4,E25AD03D0194,1721223467097,2024-07-17T16:37:47.097,0.58000000000,-0.00199056350,-0.00033932160,-0.00239817730
4,E25AD03D0194,1721223467107,2024-07-17T16:37:47.107,0.59000000000,-0.00283107560,-0.00085471020,-0.00044500554
4,E25AD03D0194,1721223467117,2024-07-17T16:37:47.117,0.60000000000,-0.00318700210,0.00010857707,-0.00044493260
4,E25AD03D0194,1721223467127,2024-07-17T16:37:47.127,0.61000000000,-0.00550363730,-0.00182757630,-0.00044502984
4,E25AD03D0194,1721223467137,2024-07-17T16:37:47.137,0.62000000000,-0.00586851100,-0.00473251150,0.00345844470
4,E25AD03D0194,1721223467147,2024-07-17T16:37:47.147,0.63000000000,-0.00769423930,-0.00520216900,0.00637794300
4,E25AD03D0194,1721223467157,2024-07-17T16:37:47.157,0.64000000000,-0.00415238040,-0.00419747880,0.00100060610
4,E25AD03D0194,1721223467167,2024-07-17T16:37:47.167,0.65000000000,-0.00500786800,-0.00222911220,0.00443979600
94,E25AD03D0194,1721223467177,2024-07-17T16:37:47.177,0.66000000000,-0.00879946000,-0.00167633170,0.00150427630
4,E25AD03D0194,1721223467187,2024-07-17T16:37:47.187,0.67000000000,-0.00575599500,-0.00307081550,0.00393804630
4,E25AD03D0194,1721223467197,2024-07-17T16:37:47.197,0.68000000000,-0.00710978030,-0.00152693500,0.00197901530
4,E25AD03D0194,1721223467207,2024-07-17T16:37:47.207,0.69000000000,-0.00651919500,-0.00434429850,0.00197310750
4,E25AD03D0194,1721223467217,2024-07-17T16:37:47.217,0.70000000000,-0.00885547400,-0.00280797920,0.00297993750
4,E25AD03D0194,1721223467227,2024-07-17T16:37:47.227,0.71000000000,-0.00534813800,-0.00268119250,0.00496607600
4,E25AD03D0194,1721223467237,2024-07-17T16:37:47.237,0.72000000000,-0.00817085100,-0.00153862910,0.00488261300
