Device,MAC,Timestamp,Time(03:00),Elapsed(s),X(number),Y(number),Z (number)
94,E25AD03D0194,1721222837953,2024-07-17T16:27:17.953,0.00000000000,-0.02893528000,0.00726034400,0.00406214640
4,E25AD03D0194,1721222837963,2024-07-17T16:27:17.963,0.01000000000,-0.02551731500,0.00481928050,0.00650299100
4,E25AD03D0194,1721222837973,2024-07-17T16:27:17.973,0.02000000000,-0.02799178300,0.00371406040,0.01186783100
4,E25AD03D0194,1721222837983,2024-07-17T16:27:17.983,0.03000000000,-0.02359657400,0.00078987030,0.00502657600
4,E25AD03D0194,1721222837993,2024-07-17T16:27:17.993,0.04000000000,-0.02699907700,0.00128549330,0.00463548260
4,E25AD03D0194,1721222838003,2024-07-17T16:27:18.003,0.05000000000,-0.02846236300,0.00228335200,0.00363161860
4,E25AD03D0194,1721222838013,2024-07-17T16:27:18.013,0.06000000000,-0.03039934300,0.00180440700,0.00617245800
4,E25AD03D0194,1721222838023,2024-07-17T16:27:18.023,0.07000000000,-0.03087196700,0.00376545600,0.00627028940
4,E25AD03D0194,1721222838033,2024-07-17T16:27:18.033,0.08000000000,-0.02697515500,0.00123127760,0.00588026550
4,E25AD03D0194,1721222838043,2024-07-17T16:27:18.043,0.09000000000,-0.02748910900,0.00112972660,0.00343689230
4,E25AD03D0194,1721222838053,2024-07-17T16:27:18.053,0.10000000000,-0.02508008900,-0.00093644690,0.00438333100
4,E25AD03D0194,1721222838063,2024-07-17T16:27:18.063,0.11000000000,-0.02707580700,0.00574945500,0.00825431300
4,E25AD03D0194,1721222838073,2024-07-17T16:27:18.073,0.12000000000,-0.03005304600,0.00362133470,0.00188049130
4,E25AD03D0194,1721222838083,2024-07-17T16:27:18.083,0.13000000000,-0.03204312000,-0.00828686600,0.00341856100
4,E25AD03D0194,1721222838093,2024-07-17T16:27:18.093,0.14000000000,-0.03062670900,-0.00119298640,0.00885572900
4,E25AD03D0194,1721222838103,2024-07-17T16:27:18.103,0.15000000000,-0.03166832800,-0.00149778500,0.00209820460
4,E25AD03D0194,1721222838113,2024-07-17T16:27:18.113,0.16000000000,-0.02735257300,-0.00919161100,0.00414533000
4,E25AD03D0194,1721222838123,2024-07-17T16:27:18.123,0.17000000000,-0.02745740700,-0.00379754770,0.00470986500
4,E25AD03D0194,1721222838133,2024-07-17T16:27:18.133,0.18000000000,-0.03246274600,0.00250699740,0.00331151560
4,E25AD03D0194,1721222838143,2024-07-17T16:27:18.143,0.19000000000,-0.03260132300,-0.00006248166,0.00780536900
4,E25AD03D0194,1721222838153,2024-07-17T16:27:18.153,0.20000000000,-0.03129704000,-0.00029660552,0.01134975600
4,E25AD03D0194,1721222838163,2024-07-17T16:27:18.163,0.21000000000,-0.03099819500,0.00030718120,0.00857662900
4,E25AD03D0194,1721222838173,2024-07-17T16:27:18.173,0.22000000000,-0.03219152200,0.00227870840,0.00968020800
4,E25AD03D0194,1721222838183,2024-07-17T16:27:18.183,0.23000000000,-0.03047121000,0.00219818740,0.00887745200
4,E25AD03D0194,1721222838193,2024-07-17T16:27:18.193,0.24000000000,-0.03023713500,-0.00238324980,0.01103129400
4,E25AD03D0194,1721222838203,2024-07-17T16:27:18.203,0.25000000000,-0.03196629500,-0.00117825330,0.01517573650
4,E25AD03D0194,1721222838213,2024-07-17T16:27:18.213,0.26000000000,-0.02834790400,0.00526282750,0.01204746000
4,E25AD03D0194,1721222838223,2024-07-17T16:27:18.223,0.27000000000,-0.03013035700,0.00518408140,0.00898194500
4,E25AD03D0194,1721222838233,2024-07-17T16:27:18.233,0.28000000000,-0.03192817400,0.00353140480,0.00743263080
4,E25AD03D0194,1721222838243,2024-07-17T16:27:18.243,0.29000000000,-0.03179426500,0.00272337370,0.01081273050
4,E25AD03D0194,1721222838253,2024-07-17T16:27:18.253,0.30000000000,-0.03069789500,0.00084756245,0.01079949300
94,E25AD03D0194,1721222838283,2024-07-17T16:27:18.283,0.33000000000,-0.03090017000,0.00294193800,0.00902797900
4,E25AD03D0194,1721222838293,2024-07-17T16:27:18.293,0.34000000000,-0.02692565500,0.00355914470,0.00774351930
4,E25AD03D0194,1721222838303,2024-07-17T16:27:18.303,0.35000000000,-0.02832067400,0.00316434330,0.01136245950
4,E25AD03D0194,1721222838313,2024-07-17T16:27:18.313,0.36000000000,-0.02923499600,0.01047974200,0.01210865300
4,E25AD03D0194,1721222838323,2024-07-17T16:27:18.323,0.37000000000,-0.02624074000,0.00846831900,0.01191864350
4,E25AD03D0194,1721222838333,2024-07-17T16:27:18.333,0.38000000000,-0.02715107600,0.00393762070,0.00984885900
4,E25AD03D0194,1721222838343,2024-07-17T16:27:18.343,0.39000000000,-0.02853889800,0.00379758400,0.00633980940
4,E25AD03D0194,1721222838353,2024-07-17T16:27:18.353,0.40000000000,-0.02747753600,0.00363524120,0.00579001940
4,E25AD03D0194,1721222838363,2024-07-17T16:27:18.363,0.41000000000,-0.02543115200,0.00734870600,0.00577198000
4,E25AD03D0194,1721222838373,2024-07-17T16:27:18.373,0.42000000000,-0.02434664600,0.00719290270,0.00770146000
4,E25AD03D0194,1721222838383,2024-07-17T16:27:18.383,0.43000000000,-0.02569022000,0.00312783900,0.00820306300
4,E25AD03D0194,1721222838393,2024-07-17T16:27:18.393,0.44000000000,-0.02212881500,0.00792553100,0.00333210780
4,E25AD03D0194,1721222838403,2024-07-17T16:27:18.403,0.45000000000,-0.02051187700,0.01076947900,0.00188526850
4,E25AD03D0194,1721222838413,2024-07-17T16:27:18.413,0.46000000000,-0.01790136000,0.00930807700,-0.00058646450
4,E25AD03D0194,1721222838423,2024-07-17T16:27:18.423,0.47000000000,-0.02064909400,0.00839543200,0.00032392000
4,E25AD03D0194,1721222838433,2024-07-17T16:27:18.433,0.48000000000,-0.02141929600,0.00761708520,0.00265427910
4,E25AD03D0194,1721222838443,2024-07-17T16:27:18.443,0.49000000000,-0.01874546900,0.00598581550,-0.00040463560
4,E25AD03D0194,1721222838453,2024-07-17T16:27:18.453,0.50000000000,-0.01947210400,0.00983016400,-0.00399339250
4,E25AD03D0194,1721222838463,2024-07-17T16:27:18.463,0.51000000000,-0.01774051200,0.01529267700,-0.00426110300
4,E25AD03D0194,1721222838473,2024-07-17T16:27:18.473,0.52000000000,-0.01549973000,0.01458618500,-0.00901538600
4,E25AD03D0194,1721222838483,2024-07-17T16:27:18.483,0.53000000000,-0.01616519500,0.01751881000,-0.00900274300
4,E25AD03D0194,1721222838493,2024-07-17T16:27:18.493,0.54000000000,-0.01827148300,0.02018775000,-0.00714643070
4,E25AD03D0194,1721222838503,2024-07-17T16:27:18.503,0.55000000000,-0.01643204300,0.01629237000,-0.00632321650
4,E25AD03D0194,1721222838513,2024-07-17T16:27:18.513,0.56000000000,-0.01651548200,0.02289134600,-0.00752950130
4,E25AD03D0194,1721222838523,2024-07-17T16:27:18.523,0.57000000000,-0.01609391300,0.03261737000,-0.00054389430
4,E25AD03D0194,1721222838533,2024-07-17T16:27:18.533,0.58000000000,-0.01126206300,0.03178347000,0.00048390462
4,E25AD03D0194,1721222838543,2024-07-17T16:27:18.543,0.59000000000,-0.01568002600,0.02192267400,-0.00346633400
4,E25AD03D0194,1721222838553,2024-07-17T16:27:18.553,0.60000000000,-0.02006191200,0.01767908800,0.00231197940
4,E25AD03D0194,1721222838563,2024-07-17T16:27:18.563,0.61000000000,-0.02099753200,0.01507693300,0.00221592280
4,E25AD03D0194,1721222838573,2024-07-17T16:27:18.573,0.62000000000,-0.02044127500,0.01020972150,0.00161290190
4,E25AD03D0194,1721222838583,2024-07-17T16:27:18.583,0.63000000000,-0.02182268000,0.01131238900,0.00147291390
4,E25AD03D0194,1721222838593,2024-07-17T16:27:18.593,0.64000000000,-0.02416635000,0.00909681900,0.00277450170
4,E25AD03D0194,1721222838603,2024-07-17T16:27:18.603,0.65000000000,-0.02601036000,0.00499968740,0.00650968900
4,E25AD03D0194,1721222838613,2024-07-17T16:27:18.613,0.66000000000,-0.02393810800,0.00536052500,0.00583719700
4,E25AD03D0194,1721222838623,2024-07-17T16:27:18.623,0.67000000000,-0.02138185500,0.01254957450,0.00709527820
4,E25AD03D0194,1721222838633,2024-07-17T16:27:18.633,0.68000000000,-0.02419046700,0.00707162260,0.01177368300
4,E25AD03D0194,1721222838643,2024-07-17T16:27:18.643,0.69000000000,-0.02700452300,0.00399148370,0.01548441300
4,E25AD03D0194,1721222838653,2024-07-17T16:27:18.653,0.70000000000,-0.02689298000,0.00282578750,0.01188678300
4,E25AD03D0194,1721222838663,2024-07-17T16:27:18.663,0.71000000000,-0.02629792100,0.00209854500,0.00684345560
4,E25AD03D0194,1721222838673,2024-07-17T16:27:18.673,0.72000000000,-0.02522226400,0.00473558670,0.00327588640
4,E25AD03D0194,1721222838683,2024-07-17T16:27:18.683,0.73000000000,-0.02659336000,0.00635701000,0.00459555020
4,E25AD03D0194,1721222838693,2024-07-17T16:27:18.693,0.74000000000,-0.02943454900,0.00550395340,0.00738620700
4,E25AD03D0194,1721222838703,2024-07-17T16:27:18.703,0.75000000000,-0.02202680100,0.00608989500,0.01017020300
4,E25AD03D0194,1721222838713,2024-07-17T16:27:18.713,0.76000000000,-0.02145576300,0.00471103200,0.00759000200
4,E25AD03D0194,1721222838723,2024-07-17T16:27:18.723,0.77000000000,-0.02480040300,0.00718041900,0.00940731800
4,E25AD03D0194,1721222838733,2024-07-17T16:27:18.733,0.78000000000,-0.02424239700,0.00864138400,0.00830966000
4,E25AD03D0194,1721222838743,2024-07-17T16:27:18.743,0.79000000000,-0.02417490600,0.01153752950,0.00381331380
94,E25AD03D0194,1721222837953,2024-07-17T16:27:17.953,0.00000000000,-0.02893528000,0.00726034400,0.00406214640
4,E25AD03D0194,1721222837963,2024-07-17T16:27:17.963,0.01000000000,-0.02551731500,0.00481928050,0.00650299100
4,E25AD03D0194,1721222837973,2024-07-17T16:27:17.973,0.02000000000,-0.02799178300,0.00371406040,0.01186783100
