Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
eft,C8925E7DC6BD,1711966865639,2024-04-01T13:21:05.639,0.0,0.7634648,0.009288616,-0.6457826,4.3396678E-5
eft,C8925E7DC6BD,1711966865649,2024-04-01T13:21:05.649,0.01,0.7633621,0.009248087,-0.6459046,7.403321E-6
eft,C8925E7DC6BD,1711966865659,2024-04-01T13:21:05.659,0.02,0.76324576,0.009191314,-0.646043,-4.2562453E-5
eft,C8925E7DC6BD,1711966865669,2024-04-01T13:21:05.669,0.03,0.7631659,0.009191708,-0.64613736,-4.40168E-5
eft,C8925E7DC6BD,1711966865679,2024-04-01T13:21:05.679,0.04,0.76311624,0.009215828,-0.64619553,5.8827103E-5
eft,C8925E7DC6BD,1711966865689,2024-04-01T13:21:05.689,0.05,0.7630739,0.009222551,-0.6462454,1.8224733E-4
eft,C8925E7DC6BD,1711966865699,2024-04-01T13:21:05.699,0.06,0.7630346,0.009209053,-0.6462921,3.377762E-4
eft,C8925E7DC6BD,1711966865709,2024-04-01T13:21:05.709,0.07,0.7630332,0.009212478,-0.6462934,5.1505805E-4
eft,C8925E7DC6BD,1711966865719,2024-04-01T13:21:05.719,0.08,0.76303214,0.009201538,-0.6462948,7.0106704E-4
eft,C8925E7DC6BD,1711966865729,2024-04-01T13:21:05.729,0.09,0.7630311,0.009146079,-0.6462964,8.983965E-4
eft,C8925E7DC6BD,1711966865779,2024-04-01T13:21:05.779,0.14,0.7629924,0.008821525,-0.64634484,0.0017927035
eft,C8925E7DC6BD,1711966865789,2024-04-01T13:21:05.789,0.15,0.7629912,0.008781819,-0.6463463,0.0019961854
eft,C8925E7DC6BD,1711966865799,2024-04-01T13:21:05.799,0.16,0.7629314,0.00870589,-0.64641714,0.0022170863
eft,C8925E7DC6BD,1711966865809,2024-04-01T13:21:05.809,0.17,0.7628543,0.008626027,-0.6465083,0.0024342504
eft,C8925E7DC6BD,1711966865819,2024-04-01T13:21:05.819,0.18,0.7627742,0.008549196,-0.646603,0.0026396296
eft,C8925E7DC6BD,1711966865829,2024-04-01T13:21:05.829,0.19,0.76269054,0.008462761,-0.64670205,0.0028232788
eft,C8925E7DC6BD,1711966865839,2024-04-01T13:21:05.839,0.2,0.7626069,0.008394189,-0.6468009,0.0029941038
eft,C8925E7DC6BD,1711966865849,2024-04-01T13:21:05.849,0.21,0.7625267,0.008336035,-0.64689535,0.0031527025
eft,C8925E7DC6BD,1711966865859,2024-04-01T13:21:05.859,0.22,0.7624558,0.008296239,-0.6469785,0.0033394487
eft,C8925E7DC6BD,1711966865869,2024-04-01T13:21:05.869,0.23,0.7623821,0.008218404,-0.6470654,0.0035296627
eft,C8925E7DC6BD,1711966865879,2024-04-01T13:21:05.879,0.24,0.7623084,0.0081443675,-0.64715207,0.0037235436
