Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
Back,E25AD03D0194,1711966865425,2024-04-01T13:21:05.425,0.0,0.88490933,0.110937536,-0.45235863,6.1275074E-5
ack,E25AD03D0194,1711966865435,2024-04-01T13:21:05.435,0.01,0.88490933,0.11090884,-0.45236558,1.17224845E-4
ack,E25AD03D0194,1711966865445,2024-04-01T13:21:05.445,0.02,0.8849095,0.11087977,-0.45237234,1.733451E-4
ack,E25AD03D0194,1711966865455,2024-04-01T13:21:05.455,0.03,0.8848782,0.11084338,-0.45244244,2.3649869E-4
ack,E25AD03D0194,1711966865465,2024-04-01T13:21:05.465,0.04,0.8848324,0.11080487,-0.45254156,3.0069595E-4
ack,E25AD03D0194,1711966865475,2024-04-01T13:21:05.475,0.05,0.88478905,0.11076228,-0.45263666,3.7399607E-4
ack,E25AD03D0194,1711966865485,2024-04-01T13:21:05.485,0.06,0.88475,0.110719875,-0.45272318,4.484609E-4
ack,E25AD03D0194,1711966865495,2024-04-01T13:21:05.495,0.07,0.8847137,0.11068174,-0.45280343,5.15994E-4
ack,E25AD03D0194,1711966865505,2024-04-01T13:21:05.505,0.08,0.8846913,0.1105955,-0.45286816,5.43114E-4
ack,E25AD03D0194,1711966865515,2024-04-01T13:21:05.515,0.09,0.88469404,0.11050935,-0.45288384,5.604844E-4
ack,E25AD03D0194,1711966865525,2024-04-01T13:21:05.525,0.1,0.8846889,0.11047956,-0.45290124,6.1490573E-4
ack,E25AD03D0194,1711966865535,2024-04-01T13:21:05.535,0.11,0.8847132,0.11045023,-0.45286092,6.7581434E-4
ack,E25AD03D0194,1711966865545,2024-04-01T13:21:05.545,0.12,0.88474774,0.110443816,-0.45279497,6.896563E-4
ack,E25AD03D0194,1711966865555,2024-04-01T13:21:05.555,0.13,0.8847699,0.11042655,-0.4527556,7.063405E-4
ack,E25AD03D0194,1711966865565,2024-04-01T13:21:05.565,0.14,0.88476026,0.11045692,-0.452767,7.597553E-4
ack,E25AD03D0194,1711966865575,2024-04-01T13:21:05.575,0.15,0.8847514,0.11049944,-0.45277387,8.3419576E-4
ack,E25AD03D0194,1711966865585,2024-04-01T13:21:05.585,0.16,0.8847444,0.11054801,-0.45277548,9.2049805E-4
ack,E25AD03D0194,1711966865595,2024-04-01T13:21:05.595,0.17,0.88470733,0.11059842,-0.45283532,0.0010158092
ack,E25AD03D0194,1711966865605,2024-04-01T13:21:05.605,0.18,0.8846639,0.11066315,-0.45290408,0.0011252802
ack,E25AD03D0194,1711966865615,2024-04-01T13:21:05.615,0.19,0.88462776,0.11073654,-0.4529565,0.0012419005
ack,E25AD03D0194,1711966865625,2024-04-01T13:21:05.625,0.2,0.8845907,0.110793725,-0.45301455,0.0014075617
ack,E25AD03D0194,1711966865635,2024-04-01T13:21:05.635,0.21,0.8845516,0.11089674,-0.4530648,0.0016033755
ack,E25AD03D0194,1711966865645,2024-04-01T13:21:05.645,0.22,0.88453025,0.11104432,-0.45306957,0.0018355667
ack,E25AD03D0194,1711966865655,2024-04-01T13:21:05.655,0.23,0.884477,0.111223854,-0.45312816,0.0021062095
ack,E25AD03D0194,1711966865665,2024-04-01T13:21:05.665,0.24,0.884415,0.1114546,-0.4531911,0.0024243917
ack,E25AD03D0194,1711966865675,2024-04-01T13:21:05.675,0.25,0.884369,0.11172609,-0.453212,0.0027925824
ack,E25AD03D0194,1711966865685,2024-04-01T13:21:05.685,0.26,0.8843157,0.11201928,-0.4532405,0.0032224609
ack,E25AD03D0194,1711966865695,2024-04-01T13:21:05.695,0.27,0.8842598,0.11231377,-0.45327288,0.0036960852
ack,E25AD03D0194,1711966865705,2024-04-01T13:21:05.705,0.28,0.8842011,0.112621106,-0.45330703,0.0042104656
ack,E25AD03D0194,1711966865715,2024-04-01T13:21:05.715,0.29,0.884173,0.11289049,-0.45328972,0.004707934
ack,E25AD03D0194,1711966865725,2024-04-01T13:21:05.725,0.3,0.88412446,0.11312783,-0.45332012,0.0051823584
ack,E25AD03D0194,1711966865735,2024-04-01T13:21:05.735,0.31,0.8840855,0.11331434,-0.45334426,0.0056110444
ack,E25AD03D0194,1711966865745,2024-04-01T13:21:05.745,0.32,0.88401467,0.11345007,-0.45344353,0.006007625
ack,E25AD03D0194,1711966865755,2024-04-01T13:21:05.755,0.33,0.88393974,0.113557436,-0.4535577,"0.0063841036"""
Back,E25AD03D0194,1711966865765,2024-04-01T13:21:05.765,0.34,0.88385504,0.11363109,-0.4536989,0.006732545
ack,E25AD03D0194,1711966865775,2024-04-01T13:21:05.775,0.35,0.88376653,0.11368917,-0.45385206,0.0070513855
ack,E25AD03D0194,1711966865785,2024-04-01T13:21:05.785,0.36,0.8836859,0.11373963,-0.45399222,0.0073291124
ack,E25AD03D0194,1711966865795,2024-04-01T13:21:05.795,0.37,0.88361895,0.11376653,-0.45411187,0.0075538075
ack,E25AD03D0194,1711966865805,2024-04-01T13:21:05.805,0.38,0.88356173,0.113788575,-0.4542148,0.0077278814
ack,E25AD03D0194,1711966865815,2024-04-01T13:21:05.815,0.39,0.88351727,0.113798186,-0.45429683,0.007853701
ack,E25AD03D0194,1711966865825,2024-04-01T13:21:05.825,0.4,0.88348347,0.11376405,-0.45437,0.007923121
ack,E25AD03D0194,1711966865835,2024-04-01T13:21:05.835,0.41,0.8834328,0.11378407,-0.45446172,0.008016489
ack,E25AD03D0194,1711966865845,2024-04-01T13:21:05.845,0.42,0.88335544,0.11383742,-0.45459676,0.008129792
ack,E25AD03D0194,1711966865855,2024-04-01T13:21:05.855,0.43,0.88326657,0.11394814,-0.45473865,0.008298204
ack,E25AD03D0194,1711966865865,2024-04-01T13:21:05.865,0.44,0.8831757,0.1141227,-0.4548678,0.008489579
ack,E25AD03D0194,1711966865875,2024-04-01T13:21:05.875,0.45,0.8830961,0.11432766,-0.45496705,0.008684125
ack,E25AD03D0194,1711966865885,2024-04-01T13:21:05.885,0.46,0.8830321,0.1145507,-0.45503134,0.00888929
ack,E25AD03D0194,1711966865895,2024-04-01T13:21:05.895,0.47,0.8829828,0.11472093,-0.45508012,0.0090881605
ack,E25AD03D0194,1711966865905,2024-04-01T13:21:05.905,0.48,0.882946,0.11485551,-0.45511395,0.009267794
ack,E25AD03D0194,1711966865915,2024-04-01T13:21:05.915,0.49,0.8829413,0.11495196,-0.45509553,0.009423298
ack,E25AD03D0194,1711966865925,2024-04-01T13:21:05.925,0.5,0.8829368,0.11502452,-0.45508274,0.009572045
ack,E25AD03D0194,1711966865935,2024-04-01T13:21:05.935,0.51,0.8829303,0.1150901,-0.45507538,0.009729208
ack,E25AD03D0194,1711966865945,2024-04-01T13:21:05.945,0.52,0.8829232,0.11515422,-0.45506966,0.009888401
ack,E25AD03D0194,1711966865955,2024-04-01T13:21:05.955,0.53,0.88294023,0.11523032,-0.4550134,0.010067079
ack,E25AD03D0194,1711966865965,2024-04-01T13:21:05.965,0.54,0.88293153,0.115317896,-0.45500386,0.0102525
ack,E25AD03D0194,1711966865975,2024-04-01T13:21:05.975,0.55,0.882924,0.115420334,-0.45498866,0.010427037
ack,E25AD03D0194,1711966865985,2024-04-01T13:21:05.985,0.56,0.8829188,0.11553675,-0.4549658,0.010578823
ack,E25AD03D0194,1711966865995,2024-04-01T13:21:05.995,0.57,0.882914,0.115685694,-0.45493528,0.01066136
ack,E25AD03D0194,1711966866005,2024-04-01T13:21:06.005,0.58,0.88287973,0.11581763,-0.4549667,0.0107227955
ack,E25AD03D0194,1711966866015,2024-04-01T13:21:06.015,0.59,0.8828409,0.11591041,-0.4550176,0.010760016
ack,E25AD03D0194,1711966866025,2024-04-01T13:21:06.025,0.6,0.8828048,0.11596036,-0.45507452,0.010773786
ack,E25AD03D0194,1711966866035,2024-04-01T13:21:06.035,0.61,0.88277507,0.115956195,-0.45513377,0.010755463
ack,E25AD03D0194,1711966866045,2024-04-01T13:21:06.045,0.62,0.8827518,0.115950316,-0.45518073,0.010739971
ack,E25AD03D0194,1711966866055,2024-04-01T13:21:06.055,0.63,0.8827546,0.11591101,-0.45518747,0.0106470445
ack,E25AD03D0194,1711966866065,2024-04-01T13:21:06.065,0.64,0.8827929,0.11584893,-0.4551315,0.01054228
ack,E25AD03D0194,1711966866115,2024-04-01T13:21:06.115,0.69,0.88294876,0.115327395,-0.45498097,0.009659572
ack,E25AD03D0194,1711966866125,2024-04-01T13:21:06.125,0.7,0.882929,0.115167275,-0.45506462,0.009431314
ack,E25AD03D0194,1711966866135,2024-04-01T13:21:06.135,0.71,0.8828765,0.1150028,-0.4552134,0.009170138
ack,E25AD03D0194,1711966866145,2024-04-01T13:21:06.145,0.72,0.882806,0.11483428,-0.45539853,0.008872278
ack,E25AD03D0194,1711966866155,2024-04-01T13:21:06.155,0.73,0.88272506,0.11466056,-0.45560572,0.008539154
ack,E25AD03D0194,1711966866165,2024-04-01T13:21:06.165,0.74,0.882633,0.11448858,-0.4558338,0.008167635
ack,E25AD03D0194,1711966866175,2024-04-01T13:21:06.175,0.75,0.8825236,0.114326395,-0.45609367,0.007756926
ack,E25AD03D0194,1711966866185,2024-04-01T13:21:06.185,0.76,0.8824168,0.11415423,-0.456351,0.0072822263
ack,E25AD03D0194,1711966866195,2024-04-01T13:21:06.195,0.77,0.8823152,0.1139087,-0.4566168,0.0067608147
ack,E25AD03D0194,1711966866205,2024-04-01T13:21:06.205,0.78,0.882213,0.11364332,-0.45688745,0.006249508
ack,E25AD03D0194,1711966866215,2024-04-01T13:21:06.215,0.79,0.8821006,0.11337682,-0.45717752,0.005742472
ack,E25AD03D0194,1711966866225,2024-04-01T13:21:06.225,0.8,0.8820019,0.11314317,-0.4574311,0.005309417
ack,E25AD03D0194,1711966866235,2024-04-01T13:21:06.235,0.81,0.88193494,0.112958945,-0.45760897,0.005005567
ack,E25AD03D0194,1711966866245,2024-04-01T13:21:06.245,0.82,0.8819139,0.112797365,-0.4576912,0.004823537
ack,E25AD03D0194,1711966866255,2024-04-01T13:21:06.255,0.83,0.88195205,0.11265678,-0.45765334,0.00472554
ack,E25AD03D0194,1711966866265,2024-04-01T13:21:06.265,0.84,0.8820217,0.11253541,-0.45754915,0.0047022197
ack,E25AD03D0194,1711966866275,2024-04-01T13:21:06.275,0.85,0.8820905,0.112446025,-0.45743784,0.004767189
ack,E25AD03D0194,1711966866285,2024-04-01T13:21:06.285,0.86,0.8821669,0.11234984,-0.45731342,0.0048332373
ack,E25AD03D0194,1711966866295,2024-04-01T13:21:06.295,0.87,0.88223875,0.11226584,-0.45719332,0.005043933
ack,E25AD03D0194,1711966866305,2024-04-01T13:21:06.305,0.88,0.882298,0.11222405,-0.45708603,0.0053293896
ack,E25AD03D0194,1711966866315,2024-04-01T13:21:06.315,0.89,0.88233435,0.11226225,-0.45700222,0.0056856438
ack,E25AD03D0194,1711966866325,2024-04-01T13:21:06.325,0.9,0.8823632,0.11236418,-0.4569159,0.006105276
ack,E25AD03D0194,1711966866335,2024-04-01T13:21:06.335,0.91,0.88238454,0.11251451,-0.45683202,0.006529237
ack,E25AD03D0194,1711966866345,2024-04-01T13:21:06.345,0.92,0.8823784,0.1126764,-0.45679823,0.00691026
ack,E25AD03D0194,1711966866355,2024-04-01T13:21:06.355,0.93,0.8823683,0.11285628,-0.45676786,0.007270709
ack,E25AD03D0194,1711966866365,2024-04-01T13:21:06.365,0.94,0.8823217,0.11303835,-0.45680764,0.007583154
ack,E25AD03D0194,1711966866375,2024-04-01T13:21:06.375,0.95,0.8822688,0.11320711,-0.4568634,0.007865303
ack,E25AD03D0194,1711966866385,2024-04-01T13:21:06.385,0.96,0.8822012,0.113375835,-0.45694748,0.008120186
ack,E25AD03D0194,1711966866395,2024-04-01T13:21:06.395,0.97,0.8821212,0.113567814,-0.45704955,0.008379303
ack,E25AD03D0194,1711966866405,2024-04-01T13:21:06.405,0.98,0.88203776,0.1137669,-0.45715663,0.008627953
ack,E25AD03D0194,1711966866615,2024-04-01T13:21:06.615,1.19,0.8810848,0.114641294,-0.45876494,0.00903466
ack,E25AD03D0194,1711966866625,2024-04-01T13:21:06.625,1.2,0.88105303,0.11446273,-0.45887622,0.008747098
ack,E25AD03D0194,1711966866635,2024-04-01T13:21:06.635,1.21,0.8810242,0.114265755,-0.4589858,0.008470516
ack,E25AD03D0194,1711966866645,2024-04-01T13:21:06.645,1.22,0.8810045,0.11405658,-0.45908064,0.0081890505
ack,E25AD03D0194,1711966866655,2024-04-01T13:21:06.655,1.23,0.8809899,0.11383382,-0.4591689,0.007910085
ack,E25AD03D0194,1711966866665,2024-04-01T13:21:06.665,1.24,0.88096994,0.11360654,-0.45926806,0.0076509723
ack,E25AD03D0194,1711966866675,2024-04-01T13:21:06.675,1.25,0.8809366,0.11338812,-0.45938942,0.007419712
ack,E25AD03D0194,1711966866685,2024-04-01T13:21:06.685,1.26,0.88091,0.11317557,-0.45949602,0.007228273
ack,E25AD03D0194,1711966866695,2024-04-01T13:21:06.695,1.27,0.88089526,0.11296825,-0.459578,0.007062378
