Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
eft,C8925E7DC6BD,1711967017105,2024-04-01T13:23:37.105,0.0,0.77479506,0.041721106,-0.63083434,-1.3524134E-4
eft,C8925E7DC6BD,1711967017115,2024-04-01T13:23:37.115,0.01,0.77479815,0.041754153,-0.6308283,-2.9379287E-4
eft,C8925E7DC6BD,1711967017125,2024-04-01T13:23:37.125,0.02,0.7748009,0.041801717,-0.6308216,-4.6162374E-4
eft,C8925E7DC6BD,1711967017135,2024-04-01T13:23:37.135,0.03,0.77480376,0.04183519,-0.63081574,-6.2051095E-4
eft,C8925E7DC6BD,1711967017145,2024-04-01T13:23:37.145,0.04,0.77480686,0.041860744,-0.6308101,-7.8638276E-4
eft,C8925E7DC6BD,1711967017185,2024-04-01T13:23:37.185,0.08,0.7746682,0.041929606,-0.6309747,-0.0014172079
eft,C8925E7DC6BD,1711967017195,2024-04-01T13:23:37.195,0.09,0.77463025,0.041928783,-0.63102114,-0.0015351264
eft,C8925E7DC6BD,1711967017205,2024-04-01T13:23:37.205,0.1,0.7746263,0.041973684,-0.6310228,-0.0015881154
eft,C8925E7DC6BD,1711967017215,2024-04-01T13:23:37.215,0.11,0.7746234,0.042011432,-0.63102376,-0.0016325689
eft,C8925E7DC6BD,1711967017225,2024-04-01T13:23:37.225,0.12,0.7746224,0.042014062,-0.6310249,-0.0016346492
eft,C8925E7DC6BD,1711967017235,2024-04-01T13:23:37.235,0.13,0.77462333,0.041975193,-0.6310261,-0.0016701381
eft,C8925E7DC6BD,1711967017245,2024-04-01T13:23:37.245,0.14,0.7746243,0.041932054,-0.6310277,-0.0017088448
eft,C8925E7DC6BD,1711967017255,2024-04-01T13:23:37.255,0.15,0.7745915,0.0418803,-0.63107127,-0.0017562446
eft,C8925E7DC6BD,1711967017265,2024-04-01T13:23:37.265,0.16,0.774545,0.04183643,-0.6311311,-0.0017975642
eft,C8925E7DC6BD,1711967017275,2024-04-01T13:23:37.275,0.17,0.7745088,0.04179694,-0.6311781,-0.0018350657
eft,C8925E7DC6BD,1711967017285,2024-04-01T13:23:37.285,0.18,0.77450764,0.041798614,-0.63117933,-0.0018363596
eft,C8925E7DC6BD,1711967017295,2024-04-01T13:23:37.295,0.19,0.77450734,0.041799877,-0.63117963,-0.0018373749
eft,C8925E7DC6BD,1711967017305,2024-04-01T13:23:37.305,0.2,0.774509,0.04175619,-0.63118035,-0.0018756874
eft,C8925E7DC6BD,1711967017315,2024-04-01T13:23:37.315,0.21,0.7745101,0.041716594,-0.63118154,-0.0019105874
eft,C8925E7DC6BD,1711967017325,2024-04-01T13:23:37.325,0.22,0.7745113,0.041676294,-0.6311826,-0.0019449154
eft,C8925E7DC6BD,1711967017335,2024-04-01T13:23:37.335,0.23,0.77451015,0.041677967,-0.6311838,-0.0019462109
eft,C8925E7DC6BD,1711967017345,2024-04-01T13:23:37.345,0.24,0.7744757,0.041679583,-0.6312261,-0.0019497743
eft,C8925E7DC6BD,1711967017355,2024-04-01T13:23:37.355,0.25,0.77444154,0.041681293,-0.6312679,-0.0019534456
eft,C8925E7DC6BD,1711967017365,2024-04-01T13:23:37.365,0.26,0.77444065,0.041683264,-0.6312688,-0.0019550002
eft,C8925E7DC6BD,1711967017375,2024-04-01T13:23:37.375,0.27,0.77444017,0.04168479,-0.63126934,-0.0019562165
eft,C8925E7DC6BD,1711967017385,2024-04-01T13:23:37.385,0.28,0.77443945,0.041685723,-0.6312701,-0.001956932
eft,C8925E7DC6BD,1711967017395,2024-04-01T13:23:37.395,0.29,0.7744384,0.04168666,-0.6312713,-0.0019576284
eft,C8925E7DC6BD,1711967017405,2024-04-01T13:23:37.405,0.3,0.77440363,0.04168869,-0.6313138,-0.0019615192
eft,C8925E7DC6BD,1711967017415,2024-04-01T13:23:37.415,0.31,0.774362,0.041690707,-0.63136464,-0.0019658545
eft,C8925E7DC6BD,1711967017425,2024-04-01T13:23:37.425,0.32,0.7743202,0.041692566,-0.631416,-0.0019700322
eft,C8925E7DC6BD,1711967017435,2024-04-01T13:23:37.435,0.33,0.7742824,0.04169367,-0.6314623,-0.001973418
eft,C8925E7DC6BD,1711967017445,2024-04-01T13:23:37.445,0.34,0.774245,0.041694425,-0.631508,-0.0019765527
