Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
ead,E15561CB9161,1711967016813,2024-04-01T13:23:36.813,0.0,0.75429183,-0.13321221,-0.6428827,-3.5877958E-5
ead,E15561CB9161,1711967016823,2024-04-01T13:23:36.823,0.01,0.754229,-0.13328359,-0.6429418,-8.627009E-5
ead,E15561CB9161,1711967016833,2024-04-01T13:23:36.833,0.02,0.7541447,-0.13333973,-0.643029,-1.1847007E-4
ead,E15561CB9161,1711967016843,2024-04-01T13:23:36.843,0.03,0.7540357,-0.13339117,-0.64314616,-1.412348E-4
ead,E15561CB9161,1711967016853,2024-04-01T13:23:36.853,0.04,0.75389445,-0.13344362,-0.6433009,-1.5754189E-4
ead,E15561CB9161,1711967016863,2024-04-01T13:23:36.863,0.05,0.75372535,-0.13349539,-0.64348835,-1.6720015E-4
ead,E15561CB9161,1711967016873,2024-04-01T13:23:36.873,0.06,0.75354475,-0.13349546,-0.6436998,-1.2874816E-4
ead,E15561CB9161,1711967016883,2024-04-01T13:23:36.883,0.07,0.7533615,-0.13349505,-0.64391416,-9.031076E-5
ead,E15561CB9161,1711967016893,2024-04-01T13:23:36.893,0.08,0.75320065,-0.13349473,-0.6441025,-5.6521894E-5
ead,E15561CB9161,1711967016903,2024-04-01T13:23:36.903,0.09,0.7530501,-0.13349351,-0.64427865,-2.5551542E-5
ead,E15561CB9161,1711967016913,2024-04-01T13:23:36.913,0.1,0.75290734,-0.13349208,-0.6444458,3.316538E-6
ead,E15561CB9161,1711967016923,2024-04-01T13:23:36.923,0.11,0.75275916,-0.13349052,-0.6446192,3.3056367E-5
ead,E15561CB9161,1711967016933,2024-04-01T13:23:36.933,0.12,0.7525928,-0.1334881,-0.64481395,6.615442E-5
ead,E15561CB9161,1711967016943,2024-04-01T13:23:36.943,0.13,0.7524185,-0.13348469,-0.6450181,1.00101715E-4
ead,E15561CB9161,1711967016953,2024-04-01T13:23:36.953,0.14,0.75223464,-0.13347971,-0.64523345,1.3495385E-4
ead,E15561CB9161,1711967016963,2024-04-01T13:23:36.963,0.15,0.7520307,-0.13347477,-0.6454722,1.7369045E-4
ead,E15561CB9161,1711967016973,2024-04-01T13:23:36.973,0.16,0.7518078,-0.13347016,-0.6457328,2.1627557E-4
ead,E15561CB9161,1711967016983,2024-04-01T13:23:36.983,0.17,0.75156707,-0.13346532,-0.6460137,2.6208156E-4
ead,E15561CB9161,1711967016993,2024-04-01T13:23:36.993,0.18,0.7513198,-0.13345924,-0.6463025,3.080254E-4
ead,E15561CB9161,1711967017003,2024-04-01T13:23:37.003,0.19,0.7510906,-0.13345087,-0.64657074,3.4739007E-4
ead,E15561CB9161,1711967017013,2024-04-01T13:23:37.013,0.2,0.7508945,-0.13343853,-0.646801,3.7554858E-4
ead,E15561CB9161,1711967017023,2024-04-01T13:23:37.023,0.21,0.7507407,-0.13342573,-0.6469822,3.9420766E-4
ead,E15561CB9161,1711967017033,2024-04-01T13:23:37.033,0.22,0.7506164,-0.13341439,-0.64712876,4.0760852E-4
ead,E15561CB9161,1711967017043,2024-04-01T13:23:37.043,0.23,0.7505104,-0.13340074,-0.64725447,4.147542E-4
ead,E15561CB9161,1711967017053,2024-04-01T13:23:37.053,0.24,0.75042766,-0.1333896,-0.6473526,4.2004383E-4
ead,E15561CB9161,1711967017063,2024-04-01T13:23:37.063,0.25,0.7503519,-0.13337678,-0.647443,4.224383E-4
ead,E15561CB9161,1711967017073,2024-04-01T13:23:37.073,0.26,0.75026935,-0.13336316,-0.6475414,4.2590938E-4
ead,E15561CB9161,1711967017083,2024-04-01T13:23:37.083,0.27,0.7501806,-0.13334844,-0.6476474,4.2949826E-4
ead,E15561CB9161,1711967017093,2024-04-01T13:23:37.093,0.28,0.7500843,-0.13337068,-0.6477544,4.778943E-4
ead,E15561CB9161,1711967017103,2024-04-01T13:23:37.103,0.29,0.74998224,-0.13340503,-0.64786536,5.417839E-4
