Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
ight,FEAC84C53DE7,1711967016847,2024-04-01T13:23:36.847,0.0,0.7672931,-0.39529473,-0.5049785,3.4653826E-4
ight,FEAC84C53DE7,1711967016857,2024-04-01T13:23:36.857,0.01,0.76720184,-0.39538285,-0.5050479,7.081532E-4
ight,FEAC84C53DE7,1711967016867,2024-04-01T13:23:36.867,0.02,0.7671176,-0.3954694,-0.50510716,0.0010722118
ight,FEAC84C53DE7,1711967016877,2024-04-01T13:23:36.877,0.03,0.7670466,-0.39556488,-0.50513965,0.0014159402
ight,FEAC84C53DE7,1711967016887,2024-04-01T13:23:36.887,0.04,0.7669742,-0.39564624,-0.5051848,0.0017421371
ight,FEAC84C53DE7,1711967016897,2024-04-01T13:23:36.897,0.05,0.76689124,-0.39572203,-0.50525004,0.0020685801
ight,FEAC84C53DE7,1711967016907,2024-04-01T13:23:36.907,0.06,0.76679766,-0.395795,-0.50533354,0.0023991573
ight,FEAC84C53DE7,1711967016917,2024-04-01T13:23:36.917,0.07,0.7667052,-0.3958651,-0.505417,0.0027451436
ight,FEAC84C53DE7,1711967016927,2024-04-01T13:23:36.927,0.08,0.7666112,-0.3959406,-0.50549865,0.0030795995
ight,FEAC84C53DE7,1711967016937,2024-04-01T13:23:36.937,0.09,0.76651776,-0.39600742,-0.5055861,0.003407362
ight,FEAC84C53DE7,1711967016947,2024-04-01T13:23:36.947,0.1,0.7664217,-0.3960753,-0.505676,0.0037407905
ight,FEAC84C53DE7,1711967016957,2024-04-01T13:23:36.957,0.11,0.7663406,-0.39613637,-0.5057487,0.0040618205
ight,FEAC84C53DE7,1711967016967,2024-04-01T13:23:36.967,0.12,0.766272,-0.39620522,-0.50579613,0.004342691
ight,FEAC84C53DE7,1711967016977,2024-04-01T13:23:36.977,0.13,0.7662319,-0.39625457,-0.505816,0.004603774
ight,FEAC84C53DE7,1711967016987,2024-04-01T13:23:36.987,0.14,0.76620525,-0.39629558,-0.505822,0.0048497305
ight,FEAC84C53DE7,1711967016997,2024-04-01T13:23:36.997,0.15,0.76620436,-0.39633974,-0.50578666,0.0050523803
ight,FEAC84C53DE7,1711967017007,2024-04-01T13:23:37.007,0.16,0.766233,-0.3963742,-0.5057145,0.0052286843
ight,FEAC84C53DE7,1711967017017,2024-04-01T13:23:37.017,0.17,0.7662322,-0.39641187,-0.50568426,0.0054220096
ight,FEAC84C53DE7,1711967017027,2024-04-01T13:23:37.027,0.18,0.7662218,-0.39645278,-0.5056659,0.005606736
ight,FEAC84C53DE7,1711967017037,2024-04-01T13:23:37.037,0.19,0.766203,-0.39648965,-0.50566316,0.0058027674
ight,FEAC84C53DE7,1711967017047,2024-04-01T13:23:37.047,0.2,0.76618093,-0.39651987,-0.5056705,0.006009995
ight,FEAC84C53DE7,1711967017057,2024-04-01T13:23:37.057,0.21,0.76615447,-0.39654607,-0.5056873,0.0062376778
ight,FEAC84C53DE7,1711967017067,2024-04-01T13:23:37.067,0.22,0.76612186,-0.39658028,-0.5057068,0.0064811963
ight,FEAC84C53DE7,1711967017077,2024-04-01T13:23:37.077,0.23,0.7660832,-0.39662293,-0.50572866,0.006741018
ight,FEAC84C53DE7,1711967017087,2024-04-01T13:23:37.087,0.24,0.76602757,-0.3966692,-0.5057731,0.007000738
ight,FEAC84C53DE7,1711967017097,2024-04-01T13:23:37.097,0.25,0.76595175,-0.39676473,-0.50581,0.007204615
ight,FEAC84C53DE7,1711967017107,2024-04-01T13:23:37.107,0.26,0.76590556,-0.39684257,-0.50581676,0.0073554553
