Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
ead,E15561CB9161,1711967198756,2024-04-01T13:26:38.756,0.0,0.7919312,-0.15927154,-0.58947235,5.6770452E-5
ead,E15561CB9161,1711967198766,2024-04-01T13:26:38.766,0.01,0.7920392,-0.1591047,-0.58937216,1.6072522E-4
ead,E15561CB9161,1711967198776,2024-04-01T13:26:38.776,0.02,0.792143,-0.15892886,-0.5892802,2.7207483E-4
ead,E15561CB9161,1711967198786,2024-04-01T13:26:38.786,0.03,0.79225135,-0.15873274,-0.5891874,3.9629458E-4
ead,E15561CB9161,1711967198796,2024-04-01T13:26:38.796,0.04,0.79236025,-0.15852845,-0.5890956,5.236707E-4
ead,E15561CB9161,1711967198806,2024-04-01T13:26:38.806,0.05,0.792464,-0.15833414,-0.58900815,6.4066605E-4
ead,E15561CB9161,1711967198816,2024-04-01T13:26:38.816,0.06,0.7925572,-0.15813646,-0.58893585,7.617964E-4
ead,E15561CB9161,1711967198826,2024-04-01T13:26:38.826,0.07,0.7926474,-0.15793754,-0.5888676,8.7988155E-4
ead,E15561CB9161,1711967198836,2024-04-01T13:26:38.836,0.08,0.7927274,-0.15773275,-0.5888146,0.0010003116
ead,E15561CB9161,1711967198846,2024-04-01T13:26:38.846,0.09,0.7927661,-0.15753902,-0.5888142,0.0011229917
ead,E15561CB9161,1711967198856,2024-04-01T13:26:38.856,0.1,0.79280066,-0.15735634,-0.58881634,0.0012285867
ead,E15561CB9161,1711967198866,2024-04-01T13:26:38.866,0.11,0.7928329,-0.15715419,-0.58882684,0.0012768835
ead,E15561CB9161,1711967198876,2024-04-01T13:26:38.876,0.12,0.7928614,-0.156955,-0.5888414,0.0013101012
ead,E15561CB9161,1711967198886,2024-04-01T13:26:38.886,0.13,0.79288554,-0.15677346,-0.5888573,0.0013172543
ead,E15561CB9161,1711967198896,2024-04-01T13:26:38.896,0.14,0.7929005,-0.15661804,-0.5888786,0.0013005749
ead,E15561CB9161,1711967198906,2024-04-01T13:26:38.906,0.15,0.79291075,-0.15648538,-0.5889,0.001276466
ead,E15561CB9161,1711967198916,2024-04-01T13:26:38.916,0.16,0.79291624,-0.15638359,-0.5889198,0.0012486723
ead,E15561CB9161,1711967198926,2024-04-01T13:26:38.926,0.17,0.79291093,-0.15633483,-0.58894,0.0011896675
ead,E15561CB9161,1711967198936,2024-04-01T13:26:38.936,0.18,0.7929059,-0.1562851,-0.58896,0.0011265583
ead,E15561CB9161,1711967198946,2024-04-01T13:26:38.946,0.19,0.7929096,-0.15618432,-0.5889819,0.001082416
ead,E15561CB9161,1711967198956,2024-04-01T13:26:38.956,0.2,0.7929136,-0.15607466,-0.5890057,0.0010337074
ead,E15561CB9161,1711967198966,2024-04-01T13:26:38.966,0.21,0.79291904,-0.15595639,-0.5890298,9.909343E-4
ead,E15561CB9161,1711967198976,2024-04-01T13:26:38.976,0.22,0.792925,-0.1558392,-0.5890528,9.595186E-4
ead,E15561CB9161,1711967198986,2024-04-01T13:26:38.986,0.23,0.79293036,-0.15574342,-0.5890709,9.3868683E-4
