Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
ack,E25AD03D0194,1711967198769,2024-04-01T13:26:38.769,0.0,0.8918696,0.09067474,-0.44311023,7.448048E-5
ack,E25AD03D0194,1711967198779,2024-04-01T13:26:38.779,0.01,0.8918342,0.09063931,-0.44318873,1.3851488E-4
ack,E25AD03D0194,1711967198789,2024-04-01T13:26:38.789,0.02,0.8917992,0.09061357,-0.44326437,1.8303706E-4
ack,E25AD03D0194,1711967198799,2024-04-01T13:26:38.799,0.03,0.8917685,0.09061362,-0.4433261,1.7674228E-4
ack,E25AD03D0194,1711967198809,2024-04-01T13:26:38.809,0.04,0.89176846,0.09061367,-0.44332623,1.767318E-4
ack,E25AD03D0194,1711967198819,2024-04-01T13:26:38.819,0.05,0.89176834,0.09061362,-0.44332644,1.7677835E-4
ack,E25AD03D0194,1711967198829,2024-04-01T13:26:38.829,0.06,0.8917443,0.09061361,-0.44337475,1.7204389E-4
ack,E25AD03D0194,1711967198839,2024-04-01T13:26:38.839,0.07,0.89171815,0.09061354,-0.4434273,1.6693209E-4
ack,E25AD03D0194,1711967198849,2024-04-01T13:26:38.849,0.08,0.8916943,0.09061349,-0.44347528,1.6217878E-4
ack,E25AD03D0194,1711967198859,2024-04-01T13:26:38.859,0.09,0.8916658,0.09061382,-0.4435327,1.5640623E-4
ack,E25AD03D0194,1711967198869,2024-04-01T13:26:38.869,0.1,0.89163166,0.09061552,-0.44360107,1.4916029E-4
ack,E25AD03D0194,1711967198879,2024-04-01T13:26:38.879,0.11,0.8916034,0.09061871,-0.443657,1.426449E-4
ack,E25AD03D0194,1711967198889,2024-04-01T13:26:38.889,0.12,0.8916007,0.09062267,-0.44366163,1.4113956E-4
ack,E25AD03D0194,1711967198899,2024-04-01T13:26:38.899,0.13,0.89160395,0.09057384,-0.4436651,1.1379841E-4
