Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
ack,E25AD03D0194,1711964951861,2024-04-01T12:49:11.861,0.0,0.8662152,0.1557961,-0.47476172,-5.4647026E-5
ack,E25AD03D0194,1711964951871,2024-04-01T12:49:11.871,0.01,0.8662332,0.15569597,-0.47476172,-1.09733046E-4
ack,E25AD03D0194,1711964951881,2024-04-01T12:49:11.881,0.02,0.86625457,0.15557751,-0.4747616,-1.7632765E-4
ack,E25AD03D0194,1711964951891,2024-04-01T12:49:11.891,0.03,0.8662743,0.15546717,-0.47476166,-2.4078685E-4
ack,E25AD03D0194,1711964951901,2024-04-01T12:49:11.901,0.04,0.8662945,0.15535432,-0.4747616,-3.0538556E-4
ack,E25AD03D0194,1711964951911,2024-04-01T12:49:11.911,0.05,0.8663121,0.15525532,-0.4747619,-3.6101736E-4
ack,E25AD03D0194,1711964951921,2024-04-01T12:49:11.921,0.06,0.86632746,0.15516888,-0.47476223,-4.0854517E-4
ack,E25AD03D0194,1711964951931,2024-04-01T12:49:11.931,0.07,0.8663398,0.15509932,-0.47476247,-4.4624368E-4
ack,E25AD03D0194,1711964951941,2024-04-01T12:49:11.941,0.08,0.8663499,0.15503787,-0.4747642,-4.772236E-4
ack,E25AD03D0194,1711964951951,2024-04-01T12:49:11.951,0.09,0.86636007,0.1549746,-0.47476602,-5.079699E-4
ack,E25AD03D0194,1711964951961,2024-04-01T12:49:11.961,0.1,0.86637366,0.15489444,-0.47476736,-5.4876244E-4
ack,E25AD03D0194,1711964951971,2024-04-01T12:49:11.971,0.11,0.86638904,0.15482612,-0.47476158,-6.443122E-4
ack,E25AD03D0194,1711964951981,2024-04-01T12:49:11.981,0.12,0.86640733,0.15475187,-0.4747521,-7.678851E-4
ack,E25AD03D0194,1711964951991,2024-04-01T12:49:11.991,0.13,0.86640424,0.15465318,-0.47478974,-9.159413E-4
ack,E25AD03D0194,1711964952001,2024-04-01T12:49:12.001,0.14,0.86638826,0.15455715,-0.4748499,-0.0010705388
ack,E25AD03D0194,1711964952011,2024-04-01T12:49:12.011,0.15,0.86637133,0.15447472,-0.4749071,-0.0012189212
ack,E25AD03D0194,1711964952021,2024-04-01T12:49:12.021,0.16,0.86635345,0.15440401,-0.47496247,-0.0013565759
ack,E25AD03D0194,1711964952031,2024-04-01T12:49:12.031,0.17,0.8663602,0.1543488,-0.47496766,-0.0014749203
ack,E25AD03D0194,1711964952041,2024-04-01T12:49:12.041,0.18,0.8663615,0.15431716,-0.47497517,-0.0015822598
ack,E25AD03D0194,1711964952051,2024-04-01T12:49:12.051,0.19,0.8663589,0.15430531,-0.47498354,-0.0016707763
ack,E25AD03D0194,1711964952061,2024-04-01T12:49:12.061,0.2,0.86634356,0.15432061,-0.47500652,-0.0016750465
ack,E25AD03D0194,1711964952071,2024-04-01T12:49:12.071,0.21,0.8663275,0.1543366,-0.47503048,-0.0016795169
ack,E25AD03D0194,1711964952081,2024-04-01T12:49:12.081,0.22,0.86631286,0.15435113,-0.47505254,-0.0016835239
ack,E25AD03D0194,1711964952091,2024-04-01T12:49:12.091,0.23,0.8662979,0.15436712,-0.47507456,-0.0016883406
