Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
eft,C8925E7DC6BD,1711965243544,2024-04-01T12:54:03.544,0.0,0.78332907,0.06798491,-0.6178783,3.983336E-6
eft,C8925E7DC6BD,1711965243554,2024-04-01T12:54:03.554,0.01,0.78336525,0.06798494,-0.6178324,7.939534E-6
eft,C8925E7DC6BD,1711965243564,2024-04-01T12:54:03.564,0.02,0.78340507,0.0679851,-0.61778194,1.2120445E-5
eft,C8925E7DC6BD,1711965243574,2024-04-01T12:54:03.574,0.03,0.7834488,0.06798556,-0.61772645,1.6359007E-5
eft,C8925E7DC6BD,1711965243584,2024-04-01T12:54:03.584,0.04,0.7834902,0.06798576,-0.61767393,2.0332445E-5
eft,C8925E7DC6BD,1711965243594,2024-04-01T12:54:03.594,0.05,0.78352773,0.06798552,-0.6176263,2.4356246E-5
eft,C8925E7DC6BD,1711965243604,2024-04-01T12:54:03.604,0.06,0.783568,0.06798555,-0.61757517,2.8588198E-5
eft,C8925E7DC6BD,1711965243614,2024-04-01T12:54:03.614,0.07,0.78361076,0.068018235,-0.61751735,-8.198404E-6
eft,C8925E7DC6BD,1711965243624,2024-04-01T12:54:03.624,0.08,0.7836578,0.0680054,-0.6174591,-8.158136E-5
eft,C8925E7DC6BD,1711965243634,2024-04-01T12:54:03.634,0.09,0.78370124,0.068041675,-0.61739993,-1.2294044E-4
eft,C8925E7DC6BD,1711965243644,2024-04-01T12:54:03.644,0.1,0.78375214,0.0680781,-0.6173313,-1.6378476E-4
eft,C8925E7DC6BD,1711965243654,2024-04-01T12:54:03.654,0.11,0.7838061,0.06811139,-0.6172591,-2.001911E-4
eft,C8925E7DC6BD,1711965243664,2024-04-01T12:54:03.664,0.12,0.7838524,0.0681445,-0.6171966,-2.3706046E-4
eft,C8925E7DC6BD,1711965243674,2024-04-01T12:54:03.674,0.13,0.7838924,0.06818103,-0.6171418,-2.7897424E-4
eft,C8925E7DC6BD,1711965243684,2024-04-01T12:54:03.684,0.14,0.7839354,0.06818159,-0.617087,-2.7471647E-4
eft,C8925E7DC6BD,1711965243694,2024-04-01T12:54:03.694,0.15,0.78397524,0.06818197,-0.61703634,-2.7069345E-4
eft,C8925E7DC6BD,1711965243704,2024-04-01T12:54:03.704,0.16,0.7840155,0.06818239,-0.6169854,-2.6672322E-4
eft,C8925E7DC6BD,1711965243714,2024-04-01T12:54:03.714,0.17,0.7840522,0.06818287,-0.6169386,-2.6317078E-4
eft,C8925E7DC6BD,1711965243724,2024-04-01T12:54:03.724,0.18,0.7840892,0.06818337,-0.6168914,-2.5966382E-4
eft,C8925E7DC6BD,1711965243734,2024-04-01T12:54:03.734,0.19,0.7841269,0.0681839,-0.6168436,-2.5623656E-4
eft,C8925E7DC6BD,1711965243744,2024-04-01T12:54:03.744,0.2,0.7841283,0.06818465,-0.6168417,-2.569925E-4
eft,C8925E7DC6BD,1711965243754,2024-04-01T12:54:03.754,0.21,0.7841629,0.06818565,-0.6167976,-2.5433398E-4
eft,C8925E7DC6BD,1711965243764,2024-04-01T12:54:03.764,0.22,0.7841967,0.068186484,-0.61675453,-2.514581E-4
eft,C8925E7DC6BD,1711965243774,2024-04-01T12:54:03.774,0.23,0.7842334,0.06818706,-0.6167078,-2.4797316E-4
eft,C8925E7DC6BD,1711965243784,2024-04-01T12:54:03.784,0.24,0.78423464,0.06818773,-0.61670613,-2.486474E-4
