Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
right,FEAC84C53DE7,1711965243389,2024-04-01T12:54:03.389,0.0,0.8104101,-0.30663118,-0.49921224,1.7965971E-5
ight,FEAC84C53DE7,1711965243399,2024-04-01T12:54:03.399,0.01,0.8104101,-0.3066312,-0.49921227,1.7967397E-5
ight,FEAC84C53DE7,1711965243409,2024-04-01T12:54:03.409,0.02,0.81037796,-0.30663148,-0.49926424,3.7672227E-5
ight,FEAC84C53DE7,1711965243419,2024-04-01T12:54:03.419,0.03,0.8103438,-0.30663216,-0.49931923,5.8476762E-5
ight,FEAC84C53DE7,1711965243429,2024-04-01T12:54:03.429,0.04,0.8103032,-0.30663326,-0.49938446,8.288731E-5
ight,FEAC84C53DE7,1711965243439,2024-04-01T12:54:03.439,0.05,0.81026495,-0.30663425,-0.49944577,1.05486906E-4
ight,FEAC84C53DE7,1711965243449,2024-04-01T12:54:03.449,0.06,0.81023055,-0.30663493,-0.49950114,1.2614261E-4
ight,FEAC84C53DE7,1711965243459,2024-04-01T12:54:03.459,0.07,0.8101956,-0.30663568,-0.49955738,1.4729118E-4
ight,FEAC84C53DE7,1711965243469,2024-04-01T12:54:03.469,0.08,0.81016076,-0.30663607,-0.49961367,1.6817811E-4
ight,FEAC84C53DE7,1711965243479,2024-04-01T12:54:03.479,0.09,0.8101313,-0.30663607,-0.49966148,1.8559815E-4
ight,FEAC84C53DE7,1711965243489,2024-04-01T12:54:03.489,0.1,0.81012994,-0.30663675,-0.49966332,1.8532928E-4
ight,FEAC84C53DE7,1711965243499,2024-04-01T12:54:03.499,0.11,0.81012976,-0.30663678,-0.4996636,1.852442E-4
ight,FEAC84C53DE7,1711965243509,2024-04-01T12:54:03.509,0.12,0.8101038,-0.30663675,-0.49970573,2.0095182E-4
ight,FEAC84C53DE7,1711965243519,2024-04-01T12:54:03.519,0.13,0.8100741,-0.30663693,-0.4997538,2.1837905E-4
ight,FEAC84C53DE7,1711965243529,2024-04-01T12:54:03.529,0.14,0.81004673,-0.30663773,-0.4997977,2.3454228E-4
ight,FEAC84C53DE7,1711965243539,2024-04-01T12:54:03.539,0.15,0.81001085,-0.3066385,-0.49985498,2.553059E-4
ight,FEAC84C53DE7,1711965243549,2024-04-01T12:54:03.549,0.16,0.80997306,-0.30663893,-0.49991614,2.7762196E-4
ight,FEAC84C53DE7,1711965243559,2024-04-01T12:54:03.559,0.17,0.8099387,-0.30663925,-0.49997157,2.9804208E-4
ight,FEAC84C53DE7,1711965243569,2024-04-01T12:54:03.569,0.18,0.80990356,-0.30663955,-0.5000284,3.1870784E-4
ight,FEAC84C53DE7,1711965243579,2024-04-01T12:54:03.579,0.19,0.8098682,-0.30663958,-0.50008565,3.3952785E-4
ight,FEAC84C53DE7,1711965243589,2024-04-01T12:54:03.589,0.2,0.8098367,-0.3066395,-0.5001367,3.581757E-4
ight,FEAC84C53DE7,1711965243599,2024-04-01T12:54:03.599,0.21,0.80980116,-0.3066397,-0.500194,3.785804E-4
ight,FEAC84C53DE7,1711965243609,2024-04-01T12:54:03.609,0.22,0.8097687,-0.30663964,-0.5002466,3.9737087E-4
ight,FEAC84C53DE7,1711965243619,2024-04-01T12:54:03.619,0.23,0.80973935,-0.30663964,-0.500294,4.142753E-4
ight,FEAC84C53DE7,1711965243629,2024-04-01T12:54:03.629,0.24,0.8097123,-0.30663908,-0.5003382,4.2947716E-4
ight,FEAC84C53DE7,1711965243639,2024-04-01T12:54:03.639,0.25,0.80968,-0.30663872,-0.5003907,4.4810533E-4
ight,FEAC84C53DE7,1711965243649,2024-04-01T12:54:03.649,0.26,0.8096516,-0.30663916,-0.5004363,4.6343036E-4
ight,FEAC84C53DE7,1711965243659,2024-04-01T12:54:03.659,0.27,0.80965024,-0.3066392,-0.5004385,4.6260725E-4
ight,FEAC84C53DE7,1711965243669,2024-04-01T12:54:03.669,0.28,0.80964875,-0.30663884,-0.5004411,4.61401E-4
ight,FEAC84C53DE7,1711965243679,2024-04-01T12:54:03.679,0.29,0.8096473,-0.30663803,-0.50044394,4.5982015E-4
ight,FEAC84C53DE7,1711965243689,2024-04-01T12:54:03.689,0.3,0.8096459,-0.30663723,-0.50044674,4.5826216E-4
ight,FEAC84C53DE7,1711965243699,2024-04-01T12:54:03.699,0.31,0.80964476,-0.30663666,-0.500449,4.5706437E-4
ight,FEAC84C53DE7,1711965243709,2024-04-01T12:54:03.709,0.32,0.8096425,-0.30663684,-0.5004525,4.5584614E-4
ight,FEAC84C53DE7,1711965243719,2024-04-01T12:54:03.719,0.33,0.8096143,-0.30663666,-0.5004982,4.7073502E-4
ight,FEAC84C53DE7,1711965243729,2024-04-01T12:54:03.729,0.34,0.8095844,-0.30663648,-0.5005467,4.8713808E-4
