Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
etaWear,E25AD03D0194,1722509056550,2024-08-01T13:44:16.550,0.00000000000,0.73497610000,0.11512165000,-0.66824925000,0.00006051028
etaWear,E25AD03D0194,1722509056560,2024-08-01T13:44:16.560,0.01000000000,0.73501736000,0.11519515000,-0.66819120000,0.00013643097
etaWear,E25AD03D0194,1722509056570,2024-08-01T13:44:16.570,0.02000000000,0.73507220000,0.11524182000,-0.66812290000,0.00026191902
etaWear,E25AD03D0194,1722509056580,2024-08-01T13:44:16.580,0.03000000000,0.73513430000,0.11528087000,-0.66804785000,0.00038713130
etaWear,E25AD03D0194,1722509056590,2024-08-01T13:44:16.590,0.04000000000,0.73518540000,0.11531697000,-0.66798520000,0.00052154500
etaWear,E25AD03D0194,1722509056600,2024-08-01T13:44:16.600,0.05000000000,0.73522390000,0.11535293600,-0.66793644000,0.00064005906
etaWear,E25AD03D0194,1722509056610,2024-08-01T13:44:16.610,0.06000000000,0.73521256000,0.11538830000,-0.66794264000,0.00074890510
etaWear,E25AD03D0194,1722509056620,2024-08-01T13:44:16.620,0.07000000000,0.73520184000,0.11541610000,-0.66794960000,0.00085987576
etaWear,E25AD03D0194,1722509056630,2024-08-01T13:44:16.630,0.08000000000,0.73519130000,0.11544693000,-0.66795576000,0.00096579190
etaWear,E25AD03D0194,1722509056640,2024-08-01T13:44:16.640,0.09000000000,0.73518150000,0.11547755000,-0.66796110000,0.00106566530
etaWear,E25AD03D0194,1722509056650,2024-08-01T13:44:16.650,0.10000000000,0.73521210000,0.11550376000,-0.66792274000,0.00116746630
etaWear,E25AD03D0194,1722509056660,2024-08-01T13:44:16.660,0.11000000000,0.73525070000,0.11555800600,-0.66787076000,0.00122420480
etaWear,E25AD03D0194,1722509056670,2024-08-01T13:44:16.670,0.12000000000,0.73528844000,0.11560532000,-0.66782090000,0.00127347190
etaWear,E25AD03D0194,1722509056680,2024-08-01T13:44:16.680,0.13000000000,0.73528450000,0.11565613000,-0.66781634000,0.00131801590
etaWear,E25AD03D0194,1722509056690,2024-08-01T13:44:16.690,0.14000000000,0.73528170000,0.11570686000,-0.66781056000,0.00136354610
etaWear,E25AD03D0194,1722509056840,2024-08-01T13:44:16.840,0.29000000000,0.73525006000,0.11597311000,-0.66779876000,0.00160047480
etaWear,E25AD03D0194,1722509056850,2024-08-01T13:44:16.850,0.30000000000,0.73531120000,0.11597241500,-0.66773150000,0.00160892770
etaWear,E25AD03D0194,1722509056860,2024-08-01T13:44:16.860,0.31000000000,0.73536700000,0.11597270000,-0.66766995000,0.00161474500
etaWear,E25AD03D0194,1722509056870,2024-08-01T13:44:16.870,0.32000000000,0.73536850000,0.11602849000,-0.66765850000,0.00166190750
etaWear,E25AD03D0194,1722509056880,2024-08-01T13:44:16.880,0.33000000000,0.73536760000,0.11609954400,-0.66764694000,0.00172214360
etaWear,E25AD03D0194,1722509056890,2024-08-01T13:44:16.890,0.34000000000,0.73536545000,0.11617190000,-0.66763650000,0.00178136550
etaWear,E25AD03D0194,1722509056900,2024-08-01T13:44:16.900,0.35000000000,0.73532397000,0.11623370000,-0.66767140000,0.00182396170
etaWear,E25AD03D0194,1722509056910,2024-08-01T13:44:16.910,0.36000000000,0.73527300000,0.11629368000,-0.66771690000,0.00186636100
etaWear,E25AD03D0194,1722509056920,2024-08-01T13:44:16.920,0.37000000000,0.73523045000,0.11635306500,-0.66775330000,0.00191262210
etaWear,E25AD03D0194,1722509056930,2024-08-01T13:44:16.930,0.38000000000,0.73522370000,0.11640281000,-0.66775185000,0.00195861960
etaWear,E25AD03D0194,1722509056940,2024-08-01T13:44:16.940,0.39000000000,0.73521715000,0.11645124000,-0.66775054000,0.00200582130
etaWear,E25AD03D0194,1722509056950,2024-08-01T13:44:16.950,0.40000000000,0.73521020000,0.11649725000,-0.66775006000,0.00204934180
etaWear,E25AD03D0194,1722509056960,2024-08-01T13:44:16.960,0.41000000000,0.73521070000,0.11649646000,-0.66774964000,0.00204998900
etaWear,E25AD03D0194,1722509056970,2024-08-01T13:44:16.970,0.42000000000,0.73521080000,0.11649644000,-0.66774950000,0.00204999440
etaWear,E25AD03D0194,1722509056980,2024-08-01T13:44:16.980,0.43000000000,0.73521096000,0.11649652000,-0.66774935000,0.00204989130
etaWear,E25AD03D0194,1722509056990,2024-08-01T13:44:16.990,0.44000000000,0.73521140000,0.11649780000,-0.66774870000,0.00204862070
etaWear,E25AD03D0194,1722509057000,2024-08-01T13:44:17.000,0.45000000000,0.73521215000,0.11649890000,-0.66774770000,0.00204745700
etaWear,E25AD03D0194,1722509057010,2024-08-01T13:44:17.010,0.46000000000,0.73521410000,0.11649935000,-0.66774550000,0.00204670360
