Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
etaWear,C8925E7DC6BD,1722769121970,2024-08-04T13:58:41.970,0.00000000000,0.80483070000,-0.04979996400,-0.59141140000,0.00000000000
etaWear,C8925E7DC6BD,1722769121980,2024-08-04T13:58:41.980,0.01000000000,0.80478340000,-0.04980016500,-0.59147590000,0.00000411336
etaWear,C8925E7DC6BD,1722769121990,2024-08-04T13:58:41.990,0.02000000000,0.80474836000,-0.04975326000,-0.59152740000,0.00004213500
etaWear,C8925E7DC6BD,1722769122000,2024-08-04T13:58:42.000,0.03000000000,0.80471400000,-0.04975329300,-0.59157410000,0.00004503902
etaWear,C8925E7DC6BD,1722769122010,2024-08-04T13:58:42.010,0.04000000000,0.80467280000,-0.04975385200,-0.59163010000,0.00004887981
etaWear,C8925E7DC6BD,1722769122020,2024-08-04T13:58:42.020,0.05000000000,0.80462210000,-0.04970677200,-0.59170294000,0.00008810208
etaWear,C8925E7DC6BD,1722769122030,2024-08-04T13:58:42.030,0.06000000000,0.80457544000,-0.04965077300,-0.59177130000,0.00013311784
etaWear,C8925E7DC6BD,1722769122040,2024-08-04T13:58:42.040,0.07000000000,0.80453160000,-0.04964959200,-0.59183110000,0.00013597427
etaWear,C8925E7DC6BD,1722769122050,2024-08-04T13:58:42.050,0.08000000000,0.80448514000,-0.04964804300,-0.59189415000,0.00013888601
etaWear,C8925E7DC6BD,1722769122060,2024-08-04T13:58:42.060,0.09000000000,0.80443954000,-0.04964564000,-0.59195626000,0.00014122498
etaWear,C8925E7DC6BD,1722769122070,2024-08-04T13:58:42.070,0.10000000000,0.80440210000,-0.04964491400,-0.59200730000,0.00014389589
etaWear,C8925E7DC6BD,1722769122080,2024-08-04T13:58:42.080,0.11000000000,0.80436740000,-0.04964431000,-0.59205455000,0.00014635899
etaWear,C8925E7DC6BD,1722769122090,2024-08-04T13:58:42.090,0.12000000000,0.80433273000,-0.04964304000,-0.59210175000,0.00014833412
