Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
etaWear,FEAC84C53DE7,1722856279827,2024-08-05T14:11:19.827,0.00000000000,0.69282660000,-0.13688335000,-0.70799303000,0.00000000000
etaWear,FEAC84C53DE7,1722856279837,2024-08-05T14:11:19.837,0.01000000000,0.69290096000,-0.13683166000,-0.70793027000,0.00004036538
etaWear,FEAC84C53DE7,1722856279847,2024-08-05T14:11:19.847,0.02000000000,0.69296780000,-0.13679520000,-0.70787190000,0.00006611165
etaWear,FEAC84C53DE7,1722856279857,2024-08-05T14:11:19.857,0.03000000000,0.69303286000,-0.13674770000,-0.70781740000,0.00010363480
etaWear,FEAC84C53DE7,1722856279867,2024-08-05T14:11:19.867,0.04000000000,0.69309960000,-0.13671117000,-0.70775910000,0.00012928108
etaWear,FEAC84C53DE7,1722856279877,2024-08-05T14:11:19.877,0.05000000000,0.69314790000,-0.13671109000,-0.70771180000,0.00011979660
etaWear,FEAC84C53DE7,1722856279887,2024-08-05T14:11:19.887,0.06000000000,0.69319560000,-0.13671133000,-0.70766500000,0.00011053601
etaWear,FEAC84C53DE7,1722856279897,2024-08-05T14:11:19.897,0.07000000000,0.69325244000,-0.13671187000,-0.70760924000,0.00009948122
etaWear,FEAC84C53DE7,1722856279907,2024-08-05T14:11:19.907,0.08000000000,0.69330204000,-0.13671279000,-0.70756054000,0.00008988938
etaWear,FEAC84C53DE7,1722856279917,2024-08-05T14:11:19.917,0.09000000000,0.69333790000,-0.13671345000,-0.70752530000,0.00008312603
etaWear,FEAC84C53DE7,1722856279927,2024-08-05T14:11:19.927,0.10000000000,0.69333740000,-0.13671346000,-0.70752585000,0.00008303777
etaWear,FEAC84C53DE7,1722856279937,2024-08-05T14:11:19.937,0.11000000000,0.69333700000,-0.13671334000,-0.70752620000,0.00008285251
etaWear,FEAC84C53DE7,1722856279947,2024-08-05T14:11:19.947,0.12000000000,0.69333667000,-0.13671315000,-0.70752660000,0.00008256610
etaWear,FEAC84C53DE7,1722856279957,2024-08-05T14:11:19.957,0.13000000000,0.69333650000,-0.13671282000,-0.70752686000,0.00008218097
etaWear,FEAC84C53DE7,1722856279967,2024-08-05T14:11:19.967,0.14000000000,0.69333560000,-0.13671207000,-0.70752790000,0.00008122390
etaWear,FEAC84C53DE7,1722856279977,2024-08-05T14:11:19.977,0.15000000000,0.69333285000,-0.13671122000,-0.70753060000,0.00007981437
etaWear,FEAC84C53DE7,1722856279987,2024-08-05T14:11:19.987,0.16000000000,0.69333690000,-0.13667323000,-0.70753400000,0.00011484513
etaWear,FEAC84C53DE7,1722856279997,2024-08-05T14:11:19.997,0.17000000000,0.69339085000,-0.13662465000,-0.70749056000,0.00015195503
etaWear,FEAC84C53DE7,1722856280007,2024-08-05T14:11:20.007,0.18000000000,0.69347566000,-0.13660532000,-0.70741110000,0.00023362512
etaWear,FEAC84C53DE7,1722856280237,2024-08-05T14:11:20.237,0.41000000000,0.69430405000,-0.13649552000,-0.70661840000,0.00115910020
etaWear,FEAC84C53DE7,1722856280247,2024-08-05T14:11:20.247,0.42000000000,0.69436510000,-0.13653162000,-0.70655140000,0.00118178420
etaWear,FEAC84C53DE7,1722856280257,2024-08-05T14:11:20.257,0.43000000000,0.69443303000,-0.13653022000,-0.70648490000,0.00116650530
etaWear,FEAC84C53DE7,1722856280267,2024-08-05T14:11:20.267,0.44000000000,0.69450240000,-0.13652815000,-0.70641714000,0.00115029340
etaWear,FEAC84C53DE7,1722856280277,2024-08-05T14:11:20.277,0.45000000000,0.69456756000,-0.13656367000,-0.70634615000,0.00117172870
etaWear,FEAC84C53DE7,1722856280287,2024-08-05T14:11:20.287,0.46000000000,0.69462460000,-0.13659868000,-0.70628330000,0.00119390660
etaWear,FEAC84C53DE7,1722856280297,2024-08-05T14:11:20.297,0.47000000000,0.69463104000,-0.13660066000,-0.70627640000,0.00127585130
etaWear,FEAC84C53DE7,1722856280307,2024-08-05T14:11:20.307,0.48000000000,0.69463795000,-0.13661425000,-0.70626680000,0.00137650780
etaWear,FEAC84C53DE7,1722856280317,2024-08-05T14:11:20.317,0.49000000000,0.69464767000,-0.13661648000,-0.70625657000,0.00149309720
etaWear,FEAC84C53DE7,1722856280327,2024-08-05T14:11:20.327,0.50000000000,0.69466096000,-0.13661190000,-0.70624405000,0.00163453880
etaWear,FEAC84C53DE7,1722856280337,2024-08-05T14:11:20.337,0.51000000000,0.69467490000,-0.13659464000,-0.70623330000,0.00178503220
etaWear,FEAC84C53DE7,1722856280347,2024-08-05T14:11:20.347,0.52000000000,0.69468700000,-0.13657261000,-0.70622530000,0.00192324000
etaWear,FEAC84C53DE7,1722856280357,2024-08-05T14:11:20.357,0.53000000000,0.69469744000,-0.13655871000,-0.70621735000,0.00204765590
etaWear,FEAC84C53DE7,1722856280367,2024-08-05T14:11:20.367,0.54000000000,0.69475230000,-0.13654953000,-0.70616484000,0.00215367100
etaWear,FEAC84C53DE7,1722856280377,2024-08-05T14:11:20.377,0.55000000000,0.69480747000,-0.13653690000,-0.70611270000,0.00225637130
MetaWear,FEAC84C53DE7,1722856280387,2024-08-05T14:11:20.387,0.56000000000,0.69485510000,-0.13652952000,-0.70606697000,0.00233392670
etaWear,FEAC84C53DE7,1722856280397,2024-08-05T14:11:20.397,0.57000000000,0.69485390000,-0.13656190000,-0.70606180000,0.00236524270
etaWear,FEAC84C53DE7,1722856280407,2024-08-05T14:11:20.407,0.58000000000,0.69485164000,-0.13659449000,-0.70605767000,0.00239653980
etaWear,FEAC84C53DE7,1722856280417,2024-08-05T14:11:20.417,0.59000000000,0.69484900000,-0.13662682000,-0.70605385000,0.00242752930
etaWear,FEAC84C53DE7,1722856280427,2024-08-05T14:11:20.427,0.60000000000,0.69484690000,-0.13666382000,-0.70604860000,0.00246328330
etaWear,FEAC84C53DE7,1722856280437,2024-08-05T14:11:20.437,0.61000000000,0.69484425000,-0.13670406000,-0.70604336000,0.00250205600
etaWear,FEAC84C53DE7,1722856280447,2024-08-05T14:11:20.447,0.62000000000,0.69484110000,-0.13675460000,-0.70603650000,0.00255091280
etaWear,FEAC84C53DE7,1722856280457,2024-08-05T14:11:20.457,0.63000000000,0.69483820000,-0.13680233000,-0.70602990000,0.00259704700
etaWear,FEAC84C53DE7,1722856280467,2024-08-05T14:11:20.467,0.64000000000,0.69483480000,-0.13685423000,-0.70602304000,0.00264721480
etaWear,FEAC84C53DE7,1722856280477,2024-08-05T14:11:20.477,0.65000000000,0.69482890000,-0.13690840000,-0.70601815000,0.00269901570
etaWear,FEAC84C53DE7,1722856280487,2024-08-05T14:11:20.487,0.66000000000,0.69481940000,-0.13696034000,-0.70601730000,0.00274777600
etaWear,FEAC84C53DE7,1722856280497,2024-08-05T14:11:20.497,0.67000000000,0.69481250000,-0.13701479000,-0.70601330000,0.00279968840
etaWear,FEAC84C53DE7,1722856280507,2024-08-05T14:11:20.507,0.68000000000,0.69486620000,-0.13706620000,-0.70595030000,0.00283758440
etaWear,FEAC84C53DE7,1722856280517,2024-08-05T14:11:20.517,0.69000000000,0.69493370000,-0.13711885000,-0.70587337000,0.00287462650
etaWear,FEAC84C53DE7,1722856280527,2024-08-05T14:11:20.527,0.70000000000,0.69499195000,-0.13717288000,-0.70580536000,0.00291537330
