Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
eE1:55:61:CB:91:61,E15561CB9161,1714037992727,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992727,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992727,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992727,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992728,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992728,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992728,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992729,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992729,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992730,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992731,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992731,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992731,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992731,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992732,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992732,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992732,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992733,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992733,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992733,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992734,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992734,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992735,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992735,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992754,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992775,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992796,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992813,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992828,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992843,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992858,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992872,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992887,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992902,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992917,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992932,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992947,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992961,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992975,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037992989,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993010,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993040,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993070,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993100,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993130,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993159,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993189,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993206,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993221,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993236,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993251,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993265,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993280,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993294,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993309,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993324,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993338,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993353,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993368,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993383,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993397,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993412,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
eE1:55:61:CB:91:61,E15561CB9161,1714037993427,None,None,0.9999617,-0.008615357,-0.0016021791,-1.7741544e-0
