Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767062,null,null,0.9997832,0.0029790471,8.6533255E-4,0.020591835
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767093,null,null,0.9997832,0.0029790471,8.6533255E-4,0.020591835
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767094,null,null,0.9997832,0.0029790471,8.6533255E-4,0.020591835
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767095,null,null,0.9997832,0.0029790471,8.6533255E-4,0.020591835
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767096,null,null,0.9997832,0.0029790471,8.6533255E-4,0.020591835
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767100,null,null,0.9997832,0.0029790471,8.6533255E-4,0.020591835
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767141,null,null,1.0,4.8744016E-5,2.3159982E-5,0.0
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767142,null,null,1.0,1.015625E-4,4.7475925E-5,3.8018477E-11
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767142,null,null,1.0,1.5571644E-4,7.318068E-5,-1.612932E-12
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767189,null,null,1.0,2.0805685E-4,9.947956E-5,-2.664735E-10
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767190,null,null,1.0,2.588541E-4,1.2865305E-4,-1.2829311E-9
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767191,null,null,1.0,3.086337E-4,1.5586484E-4,-1.9225146E-9
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767240,null,null,1.0,3.5801413E-4,1.8037332E-4,-1.7899824E-9
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767242,null,null,1.0,4.0663616E-4,2.0545578E-4,-1.9997444E-9
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767243,null,null,0.9999999,4.5106476E-4,2.2746906E-4,-1.823026E-9
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767244,null,null,0.9999999,4.927062E-4,2.4741475E-4,-1.3476738E-9
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767485,null,null,0.99999976,5.670474E-4,2.8161812E-4,1.9784016E-10
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767532,null,null,0.99999976,6.0599175E-4,2.9951226E-4,1.0184469E-9
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767533,null,null,0.99999976,6.484682E-4,3.163536E-4,3.5349477E-9
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767534,null,null,0.99999976,6.9078605E-4,3.3332882E-4,5.914468E-9
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767534,null,null,0.99999976,7.298977E-4,3.4877812E-4,8.27935E-9
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714037767535,null,null,0.99999964,7.6916104E-4,3.6630273E-4,9.18237E-9
