Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
NameE1:55:61:CB:91:61,E15561CB9161,1714037740175,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740177,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740180,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740182,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740183,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740184,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740185,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740188,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740190,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740191,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740192,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740276,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740277,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740327,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740328,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740375,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740425,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740426,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740473,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740475,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740523,null,null,0.99979603,-0.009038973,-0.0041155457,0.017587405
ameE1:55:61:CB:91:61,E15561CB9161,1714037740525,null,null,1.0,-7.0059185E-5,-1.832845E-5,0.0
ameE1:55:61:CB:91:61,E15561CB9161,1714037740619,null,null,1.0,-1.3775814E-4,-3.277214E-5,2.2890378E-10
ameE1:55:61:CB:91:61,E15561CB9161,1714037740621,null,null,1.0,-2.0284165E-4,-4.476787E-5,7.0932105E-10
ameE1:55:61:CB:91:61,E15561CB9161,1714037740623,null,null,1.0,-2.6313704E-4,-5.3527983E-5,1.631701E-9
ameE1:55:61:CB:91:61,E15561CB9161,1714037740715,null,null,1.0,-3.194216E-4,-6.0777926E-5,2.736772E-9
ameE1:55:61:CB:91:61,E15561CB9161,1714037740716,null,null,1.0,-3.770968E-4,-6.9168134E-5,3.5621357E-9
ameE1:55:61:CB:91:61,E15561CB9161,1714037740765,null,null,0.9999999,-4.385581E-4,-8.152145E-5,3.1549054E-9
ameE1:55:61:CB:91:61,E15561CB9161,1714037740862,null,null,0.9999999,-4.992882E-4,-9.649993E-5,1.5367785E-9
ameE1:55:61:CB:91:61,E15561CB9161,1714037740864,null,null,0.9999998,-5.5989553E-4,-1.12437E-4,-5.718104E-10
ameE1:55:61:CB:91:61,E15561CB9161,1714037740865,null,null,0.99999976,-6.2273204E-4,-1.2760011E-4,-1.9964175E-9
ameE1:55:61:CB:91:61,E15561CB9161,1714037740865,null,null,0.9999997,-6.85524E-4,-1.4309141E-4,-3.631084E-9
ameE1:55:61:CB:91:61,E15561CB9161,1714037740866,null,null,0.99999976,-7.392439E-4,-1.5468494E-4,-3.8918864E-9
ameE1:55:61:CB:91:61,E15561CB9161,1714037740867,null,null,0.9999997,-7.8804954E-4,-1.6464423E-4,-3.7047267E-9
ameE1:55:61:CB:91:61,E15561CB9161,1714037740869,null,null,0.99999964,-8.4274064E-4,-1.7529918E-4,-3.0967828E-9
ameE1:55:61:CB:91:61,E15561CB9161,1714037740911,null,null,0.9999995,-9.4511855E-4,-1.9989796E-4,-5.985203E-9
ameE1:55:61:CB:91:61,E15561CB9161,1714037740912,null,null,0.99999946,-0.0010019309,-2.1743831E-4,-1.1206245E-8
ameE1:55:61:CB:91:61,E15561CB9161,1714037740913,null,null,0.9999992,-0.0012186733,-2.7082933E-4,-1.6742563E-8
ameE1:55:61:CB:91:61,E15561CB9161,1714037740914,null,null,0.999999,-0.0014163217,-3.1320506E-4,-1.5116395E-8
ameE1:55:61:CB:91:61,E15561CB9161,1714037740916,null,null,0.9999989,-0.0014692652,-3.2809528E-4,-1.9623585E-8
