Device,MAC,Timestamp,Time(03:00),elapsed (s),X(number),Y(number),Z (number)
94,E25AD03D0194,1721221263403,2024-07-17T16:01:03.403,0,-0.020576255,0.0039828653,0.0021542253
4,E25AD03D0194,1721221263413,2024-07-17T16:01:03.413,0.01,-0.024922062,0.0051459116,0.00080990326
4,E25AD03D0194,1721221263423,2024-07-17T16:01:03.423,0.02,-0.023890166,0.006829014,0.0009344411
4,E25AD03D0194,1721221263433,2024-07-17T16:01:03.433,0.03,-0.024806336,0.0075663584,0.0034899104
4,E25AD03D0194,1721221263443,2024-07-17T16:01:03.443,0.04,-0.025231503,0.006368473,0.0045732255
4,E25AD03D0194,1721221263453,2024-07-17T16:01:03.453,0.05,-0.023215072,0.007131418,0.00076061086
4,E25AD03D0194,1721221263463,2024-07-17T16:01:03.463,0.06,-0.025105275,0.008873173,0.003773959
4,E25AD03D0194,1721221263473,2024-07-17T16:01:03.473,0.07,-0.024069197,0.00963173,0.0018853232
4,E25AD03D0194,1721221263483,2024-07-17T16:01:03.483,0.08,-0.022548828,0.010376514,0.0029139002
4,E25AD03D0194,1721221263493,2024-07-17T16:01:03.493,0.09,-0.025427457,0.012569474,0.00002154037
4,E25AD03D0194,1721221263503,2024-07-17T16:01:03.503,0.1,-0.027330207,0.009878325,0.002497048
4,E25AD03D0194,1721221263513,2024-07-17T16:01:03.513,0.11,-0.024836093,0.0076873223,0.00008884794
4,E25AD03D0194,1721221263523,2024-07-17T16:01:03.523,0.12,-0.027722698,0.009896195,0.0029512676
4,E25AD03D0194,1721221263533,2024-07-17T16:01:03.533,0.13,-0.026217302,0.0047681285,0.002394026
4,E25AD03D0194,1721221263543,2024-07-17T16:01:03.543,0.14,-0.02275898,0.002569783,0.006716699
4,E25AD03D0194,1721221263553,2024-07-17T16:01:03.553,0.15,-0.020272842,0.0057710563,0.0041917837
4,E25AD03D0194,1721221263563,2024-07-17T16:01:03.563,0.16,-0.01925845,0.010397884,0.00069647597
4,E25AD03D0194,1721221263573,2024-07-17T16:01:03.573,0.17,-0.025080089,0.009163129,0.0020864315
4,E25AD03D0194,1721221263583,2024-07-17T16:01:03.583,0.18,-0.023567887,0.0006545136,0.0010318712
4,E25AD03D0194,1721221263593,2024-07-17T16:01:03.593,0.19,-0.024490086,0.009223727,0.0010419728
4,E25AD03D0194,1721221263603,2024-07-17T16:01:03.603,0.2,-0.024432126,0.012926786,0.0020310367
4,E25AD03D0194,1721221263613,2024-07-17T16:01:03.613,0.21,-0.025351994,0.011735903,0.003029163
4,E25AD03D0194,1721221263623,2024-07-17T16:01:03.623,0.22,-0.025291115,0.010569392,0.0045059305
4,E25AD03D0194,1721221263633,2024-07-17T16:01:03.633,0.23,-0.023286063,0.007942416,0.0044244244
4,E25AD03D0194,1721221263643,2024-07-17T16:01:03.643,0.24,-0.024208166,0.005816629,0.0048307497
4,E25AD03D0194,1721221263653,2024-07-17T16:01:03.653,0.25,-0.02415254,0.007110194,-0.00012671377
4,E25AD03D0194,1721221263663,2024-07-17T16:01:03.663,0.26,-0.02312259,0.0059502837,0.0022387821
4,E25AD03D0194,1721221263673,2024-07-17T16:01:03.673,0.27,-0.024531223,0.005786239,0.003617852
