Device,MAC,Timestamp,Time(03:00),Elapsed(s),X(number),Y(number),Z (number)
E7,FEAC84C53DE7,1721740279717,2024-07-23T16:11:19.717,0.00000000000,-0.01947142400,-0.00120481410,-0.00028175095
7,FEAC84C53DE7,1721740279727,2024-07-23T16:11:19.727,0.01000000000,-0.02143291000,0.00332640670,0.00069460244
7,FEAC84C53DE7,1721740279737,2024-07-23T16:11:19.737,0.02000000000,-0.02388326000,-0.00043652675,0.00020605272
7,FEAC84C53DE7,1721740279747,2024-07-23T16:11:19.747,0.03000000000,-0.02193791800,-0.00177554270,-0.00174692150
7,FEAC84C53DE7,1721740279757,2024-07-23T16:11:19.757,0.04000000000,-0.01852773100,0.00079132290,0.00069436390
7,FEAC84C53DE7,1721740279767,2024-07-23T16:11:19.767,0.05000000000,-0.01804723000,-0.00152435790,-0.00369945120
7,FEAC84C53DE7,1721740279777,2024-07-23T16:11:19.777,0.06000000000,-0.01805530300,-0.00187818760,-0.00173673020
7,FEAC84C53DE7,1721740279787,2024-07-23T16:11:19.787,0.07000000000,-0.02196874500,-0.00469150350,-0.00027137887
7,FEAC84C53DE7,1721740279797,2024-07-23T16:11:19.797,0.08000000000,-0.02197691400,-0.00016448843,-0.00221708460
7,FEAC84C53DE7,1721740279807,2024-07-23T16:11:19.807,0.09000000000,-0.02198420700,-0.00151527140,0.00071904046
7,FEAC84C53DE7,1721740279817,2024-07-23T16:11:19.817,0.10000000000,-0.02394365100,-0.00141021950,0.00120708420
7,FEAC84C53DE7,1721740279827,2024-07-23T16:11:19.827,0.11000000000,-0.02052568600,0.00005439794,0.00120675600
7,FEAC84C53DE7,1721740279837,2024-07-23T16:11:19.837,0.12000000000,-0.02101396800,-0.00141049300,-0.00074637010
7,FEAC84C53DE7,1721740279847,2024-07-23T16:11:19.847,0.13000000000,-0.02150205300,0.00005420952,-0.00074633973
7,FEAC84C53DE7,1721740279857,2024-07-23T16:11:19.857,0.14000000000,-0.02101377200,-0.00141066930,-0.00025805744
7,FEAC84C53DE7,1721740279867,2024-07-23T16:11:19.867,0.15000000000,-0.02102009400,0.00162332570,-0.00123441230
7,FEAC84C53DE7,1721740279877,2024-07-23T16:11:19.877,0.16000000000,-0.01857869000,-0.00130683900,-0.00318667250
7,FEAC84C53DE7,1721740279887,2024-07-23T16:11:19.887,0.17000000000,-0.02004353100,-0.00472389900,-0.00269693140
7,FEAC84C53DE7,1721740279897,2024-07-23T16:11:19.897,0.18000000000,-0.02004353100,-0.00277174820,0.00170412640
7,FEAC84C53DE7,1721740279907,2024-07-23T16:11:19.907,0.19000000000,-0.02150837500,-0.00179474300,0.00170373890
7,FEAC84C53DE7,1721740279917,2024-07-23T16:11:19.917,0.20000000000,-0.01955525200,0.00064436946,-0.00219315400
7,FEAC84C53DE7,1721740279927,2024-07-23T16:11:19.927,0.21000000000,-0.01906697000,-0.00326329910,0.00269678100
7,FEAC84C53DE7,1721740279937,2024-07-23T16:11:19.937,0.22000000000,-0.02004362800,0.00308128770,0.00123924130
7,FEAC84C53DE7,1721740279947,2024-07-23T16:11:19.947,0.23000000000,-0.01760212900,0.00112703420,-0.00071415380
7,FEAC84C53DE7,1721740279957,2024-07-23T16:11:19.957,0.24000000000,-0.02053181300,0.00112571520,-0.00022616932
7,FEAC84C53DE7,1721740279967,2024-07-23T16:11:19.967,0.25000000000,-0.02297302100,0.00258610230,0.00124397910
7,FEAC84C53DE7,1721740279977,2024-07-23T16:11:19.977,0.26000000000,-0.01711365200,-0.00083425775,-0.00216743350
7,FEAC84C53DE7,1721740279987,2024-07-23T16:11:19.987,0.27000000000,-0.01956128100,-0.00219587170,-0.00362494590
7,FEAC84C53DE7,1721740279997,2024-07-23T16:11:19.997,0.28000000000,-0.02201017200,0.00183323490,-0.00117474780
7,FEAC84C53DE7,1721740280007,2024-07-23T16:11:20.007,0.29000000000,-0.02104061300,-0.00147110270,0.00078532090
7,FEAC84C53DE7,1721740280017,2024-07-23T16:11:20.017,0.30000000000,-0.01909449100,-0.00135742010,0.00030466950
7,FEAC84C53DE7,1721740280027,2024-07-23T16:11:20.027,0.31000000000,-0.02105452000,-0.00026738260,0.00275212400
7,FEAC84C53DE7,1721740280037,2024-07-23T16:11:20.037,0.32000000000,-0.02154951000,-0.00162035960,-0.00358918290
E7,FEAC84C53DE7,1721740279717,2024-07-23T16:11:19.717,0.00000000000,-0.01947142400,-0.00120481410,-0.00028175095
7,FEAC84C53DE7,1721740279727,2024-07-23T16:11:19.727,0.01000000000,-0.02143291000,0.00332640670,0.00069460244
7,FEAC84C53DE7,1721740279737,2024-07-23T16:11:19.737,0.02000000000,-0.02388326000,-0.00043652675,0.00020605272
7,FEAC84C53DE7,1721740279747,2024-07-23T16:11:19.747,0.03000000000,-0.02193791800,-0.00177554270,-0.00174692150
7,FEAC84C53DE7,1721740279757,2024-07-23T16:11:19.757,0.04000000000,-0.01852773100,0.00079132290,0.00069436390
7,FEAC84C53DE7,1721740279767,2024-07-23T16:11:19.767,0.05000000000,-0.01804723000,-0.00152435790,-0.00369945120
7,FEAC84C53DE7,1721740279777,2024-07-23T16:11:19.777,0.06000000000,-0.01805530300,-0.00187818760,-0.00173673020
7,FEAC84C53DE7,1721740279787,2024-07-23T16:11:19.787,0.07000000000,-0.02196874500,-0.00469150350,-0.00027137887
7,FEAC84C53DE7,1721740279797,2024-07-23T16:11:19.797,0.08000000000,-0.02197691400,-0.00016448843,-0.00221708460
7,FEAC84C53DE7,1721740279807,2024-07-23T16:11:19.807,0.09000000000,-0.02198420700,-0.00151527140,0.00071904046
7,FEAC84C53DE7,1721740279817,2024-07-23T16:11:19.817,0.10000000000,-0.02394365100,-0.00141021950,0.00120708420
7,FEAC84C53DE7,1721740279827,2024-07-23T16:11:19.827,0.11000000000,-0.02052568600,0.00005439794,0.00120675600
7,FEAC84C53DE7,1721740279837,2024-07-23T16:11:19.837,0.12000000000,-0.02101396800,-0.00141049300,-0.00074637010
7,FEAC84C53DE7,1721740279847,2024-07-23T16:11:19.847,0.13000000000,-0.02150205300,0.00005420952,-0.00074633973
7,FEAC84C53DE7,1721740279857,2024-07-23T16:11:19.857,0.14000000000,-0.02101377200,-0.00141066930,-0.00025805744
7,FEAC84C53DE7,1721740279867,2024-07-23T16:11:19.867,0.15000000000,-0.02102009400,0.00162332570,-0.00123441230
