Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
NameE1:55:61:CB:91:61,E15561CB9161,1713174289329,null,null,0.037347283,-0.5266578,0.84916985,0.012140888
ameE1:55:61:CB:91:61,E15561CB9161,1713174289358,null,null,0.037347283,-0.5266578,0.84916985,0.012140888
ameE1:55:61:CB:91:61,E15561CB9161,1713174289360,null,null,0.037347283,-0.5266578,0.84916985,0.012140888
ameE1:55:61:CB:91:61,E15561CB9161,1713174289361,null,null,0.037347283,-0.5266578,0.84916985,0.012140888
ameE1:55:61:CB:91:61,E15561CB9161,1713174289361,null,null,0.037347283,-0.5266578,0.84916985,0.012140888
ameE1:55:61:CB:91:61,E15561CB9161,1713174289362,null,null,0.037347283,-0.5266578,0.84916985,0.012140888
ameE1:55:61:CB:91:61,E15561CB9161,1713174289406,null,null,0.99999976,-1.6875085E-4,6.3278596E-4,0.0
ameE1:55:61:CB:91:61,E15561CB9161,1713174289408,null,null,0.9999991,-3.4498243E-4,0.001298542,8.300276E-10
ameE1:55:61:CB:91:61,E15561CB9161,1713174289409,null,null,0.99999785,-5.2082294E-4,0.0019764309,6.3533747E-9
ameE1:55:61:CB:91:61,E15561CB9161,1713174289410,null,null,0.9999962,-6.992224E-4,0.0026716841,1.586308E-8
ameE1:55:61:CB:91:61,E15561CB9161,1713174289411,null,null,0.99999386,-8.7954913E-4,0.0033945628,3.953989E-8
ameE1:55:61:CB:91:61,E15561CB9161,1713174289456,null,null,0.99999076,-0.001073233,0.0041491054,4.5725123E-8
ameE1:55:61:CB:91:61,E15561CB9161,1713174289457,null,null,0.99998695,-0.0012797724,0.0049512475,4.9656744E-8
ameE1:55:61:CB:91:61,E15561CB9161,1713174289458,null,null,0.9999821,-0.0014960181,0.0057842517,4.502569E-8
ameE1:55:61:CB:91:61,E15561CB9161,1713174289458,null,null,0.9999765,-0.0017064784,0.006634295,9.935218E-8
ameE1:55:61:CB:91:61,E15561CB9161,1713174289459,null,null,0.9999699,-0.0019202909,0.0075174905,1.8801241E-7
ameE1:55:61:CB:91:61,E15561CB9161,1713174289505,null,null,0.99996185,-0.0021580912,0.008460373,2.1095717E-7
