Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
ead,E15561CB9161,1711966865449,2024-04-01T13:21:05.449,0.0,0.8306619,-0.09251271,-0.54903716,7.0453715E-4
ead,E15561CB9161,1711966865459,2024-04-01T13:21:05.459,0.01,0.8306717,-0.09213028,-0.54908514,0.0014243328
ead,E15561CB9161,1711966865469,2024-04-01T13:21:05.469,0.02,0.830644,-0.09185458,-0.5491709,0.0021402927
ead,E15561CB9161,1711966865479,2024-04-01T13:21:05.479,0.03,0.83060014,-0.09160611,-0.5492753,0.0028967527
ead,E15561CB9161,1711966865489,2024-04-01T13:21:05.489,0.04,0.83061045,-0.09134687,-0.54929817,0.0036785668
ead,E15561CB9161,1711966865499,2024-04-01T13:21:05.499,0.05,0.8306798,-0.09103217,-0.5492393,0.004502855
ead,E15561CB9161,1711966865509,2024-04-01T13:21:05.509,0.06,0.83075714,-0.09065234,-0.5491775,0.0053609572
ead,E15561CB9161,1711966865519,2024-04-01T13:21:05.519,0.07,0.83083475,-0.0902747,-0.5491138,0.0061807563
ead,E15561CB9161,1711966865529,2024-04-01T13:21:05.529,0.08,0.8309419,-0.0898839,-0.54900634,0.006969063
ead,E15561CB9161,1711966865539,2024-04-01T13:21:05.539,0.09,0.8310547,-0.08951347,-0.54888535,0.007772036
ead,E15561CB9161,1711966865549,2024-04-01T13:21:05.549,0.1,0.8311371,-0.08914189,-0.54880893,0.008570289
ead,E15561CB9161,1711966865559,2024-04-01T13:21:05.559,0.11,0.83114123,-0.08876418,-0.5488512,0.009363283
ead,E15561CB9161,1711966865569,2024-04-01T13:21:05.569,0.12,0.8310934,-0.088406496,-0.54896814,0.010109298
ead,E15561CB9161,1711966865579,2024-04-01T13:21:05.579,0.13,0.8309662,-0.08804638,-0.5492043,0.010841719
ead,E15561CB9161,1711966865589,2024-04-01T13:21:05.589,0.14,0.8307805,-0.08768003,-0.54952985,0.011528506
ead,E15561CB9161,1711966865599,2024-04-01T13:21:05.599,0.15,0.83056056,-0.087327845,-0.5499046,0.012163042
ead,E15561CB9161,1711966865609,2024-04-01T13:21:05.609,0.16,0.8303202,-0.086989805,-0.5503075,0.012758657
ead,E15561CB9161,1711966865619,2024-04-01T13:21:05.619,0.17,0.83005375,-0.0866847,-0.55074435,0.013315941
ead,E15561CB9161,1711966865629,2024-04-01T13:21:05.629,0.18,0.8297677,-0.08643654,-0.5512017,0.013818268
ead,E15561CB9161,1711966865639,2024-04-01T13:21:05.639,0.19,0.8294447,-0.08623843,-0.5517068,0.014285029
ead,E15561CB9161,1711966865649,2024-04-01T13:21:05.649,0.2,0.82908654,-0.08608486,-0.55225754,0.01471672
