Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
ight,FEAC84C53DE7,1711966865436,2024-04-01T13:21:05.436,0.0,0.7521107,-0.39079294,-0.53066975,-6.1101484E-5
ight,FEAC84C53DE7,1711966865446,2024-04-01T13:21:05.446,0.01,0.75228107,-0.3907177,-0.5304837,-1.0472841E-4
ight,FEAC84C53DE7,1711966865456,2024-04-01T13:21:05.456,0.02,0.7524338,-0.3905993,-0.53035414,-1.8661152E-4
ight,FEAC84C53DE7,1711966865466,2024-04-01T13:21:05.466,0.03,0.75258106,-0.3904921,-0.53022414,-2.484924E-4
ight,FEAC84C53DE7,1711966865476,2024-04-01T13:21:05.476,0.04,0.7526991,-0.3904181,-0.53011113,-2.549088E-4
ight,FEAC84C53DE7,1711966865486,2024-04-01T13:21:05.486,0.05,0.75280297,-0.3903467,-0.530016,-2.5400874E-4
ight,FEAC84C53DE7,1711966865496,2024-04-01T13:21:05.496,0.06,0.7528888,-0.39028335,-0.52994084,-2.4842145E-4
ight,FEAC84C53DE7,1711966865506,2024-04-01T13:21:05.506,0.07,0.75296074,-0.39021987,-0.5298853,-2.3254227E-4
ight,FEAC84C53DE7,1711966865516,2024-04-01T13:21:05.516,0.08,0.7530299,-0.39015645,-0.5298339,-2.1466745E-4
ight,FEAC84C53DE7,1711966865526,2024-04-01T13:21:05.526,0.09,0.75310206,-0.3900811,-0.52978677,-1.8654922E-4
ight,FEAC84C53DE7,1711966865536,2024-04-01T13:21:05.536,0.1,0.7531727,-0.39002204,-0.5297298,-1.7695542E-4
ight,FEAC84C53DE7,1711966865546,2024-04-01T13:21:05.546,0.11,0.75328255,-0.3899704,-0.5296116,-2.0274325E-4
ight,FEAC84C53DE7,1711966865556,2024-04-01T13:21:05.556,0.12,0.75342464,-0.38985685,-0.52949303,-2.6223515E-4
ight,FEAC84C53DE7,1711966865566,2024-04-01T13:21:05.566,0.13,0.75358045,-0.38972056,-0.5293716,-3.355814E-4
ight,FEAC84C53DE7,1711966865576,2024-04-01T13:21:05.576,0.14,0.75374705,-0.38957286,-0.5292432,-4.1557272E-4
ight,FEAC84C53DE7,1711966865586,2024-04-01T13:21:05.586,0.15,0.75391686,-0.38941512,-0.5291171,-5.181121E-4
ight,FEAC84C53DE7,1711966865596,2024-04-01T13:21:05.596,0.16,0.75409913,-0.3892557,-0.5289746,-6.4133294E-4
ight,FEAC84C53DE7,1711966865606,2024-04-01T13:21:05.606,0.17,0.7542745,-0.3890975,-0.5288408,-7.8874436E-4
ight,FEAC84C53DE7,1711966865616,2024-04-01T13:21:05.616,0.18,0.75445306,-0.38893208,-0.5287073,-9.58992E-4
ight,FEAC84C53DE7,1711966865626,2024-04-01T13:21:05.626,0.19,0.7546268,-0.38876647,-0.52858084,-0.0011494432
ight,FEAC84C53DE7,1711966865636,2024-04-01T13:21:05.636,0.2,0.754791,-0.3886255,-0.5284497,-0.0013436648
ight,FEAC84C53DE7,1711966865646,2024-04-01T13:21:05.646,0.21,0.75496817,-0.38848394,-0.5282999,-0.0015491168
ight,FEAC84C53DE7,1711966865656,2024-04-01T13:21:05.656,0.22,0.75515825,-0.3883403,-0.52813333,-0.0017465921
ight,FEAC84C53DE7,1711966865666,2024-04-01T13:21:05.666,0.23,0.7553556,-0.38819706,-0.52795565,-0.0019280564
ight,FEAC84C53DE7,1711966865676,2024-04-01T13:21:05.676,0.24,0.7555629,-0.38806057,-0.5277587,-0.0020976972
ight,FEAC84C53DE7,1711966865686,2024-04-01T13:21:05.686,0.25,0.75578487,-0.38793,-0.5275362,-0.0023020487
ight,FEAC84C53DE7,1711966865696,2024-04-01T13:21:05.696,0.26,0.75600404,-0.3877996,-0.5273167,-0.0025211917
ight,FEAC84C53DE7,1711966865706,2024-04-01T13:21:05.706,0.27,0.75620484,-0.38766238,-0.5271287,-0.0027463408
ight,FEAC84C53DE7,1711966865716,2024-04-01T13:21:05.716,0.28,0.756398,-0.38749912,-0.52697027,-0.0029727092
ight,FEAC84C53DE7,1711966865726,2024-04-01T13:21:05.726,0.29,0.7565842,-0.38733536,-0.526822,-0.0032147337
ight,FEAC84C53DE7,1711966865816,2024-04-01T13:21:05.816,0.38,0.7581002,-0.3861187,-0.5255188,-0.005131703
ight,FEAC84C53DE7,1711966865826,2024-04-01T13:21:05.826,0.39,0.7582933,-0.38596722,-0.5253497,-0.005332767
ight,FEAC84C53DE7,1711966865836,2024-04-01T13:21:05.836,0.4,0.75850755,-0.385808,-0.5251548,-0.00554983
ight,FEAC84C53DE7,1711966865846,2024-04-01T13:21:05.846,0.41,0.75872517,-0.38564017,-0.52496135,-0.00577532
ight,FEAC84C53DE7,1711966865856,2024-04-01T13:21:05.856,0.42,0.758951,-0.3854519,-0.52477026,-0.0060212617
ight,FEAC84C53DE7,1711966865866,2024-04-01T13:21:05.866,0.43,0.7591734,-0.3852572,-0.52458906,-0.0062499517
ight,FEAC84C53DE7,1711966865876,2024-04-01T13:21:05.876,0.44,0.7593828,-0.38506314,-0.5244258,-0.006453902
ight,FEAC84C53DE7,1711966865886,2024-04-01T13:21:05.886,0.45,0.75958043,-0.38487968,-0.52427197,-0.0066465666
ight,FEAC84C53DE7,1711966865896,2024-04-01T13:21:05.896,0.46,0.75977856,-0.3846801,-0.5241287,-0.006843805
ight,FEAC84C53DE7,1711966865906,2024-04-01T13:21:05.906,0.47,0.7599591,-0.38449314,-0.5240019,-0.007021855
ight,FEAC84C53DE7,1711966865916,2024-04-01T13:21:05.916,0.48,0.76012087,-0.38433456,-0.5238815,-0.0071589276
ight,FEAC84C53DE7,1711966865926,2024-04-01T13:21:05.926,0.49,0.76027733,-0.38420644,-0.5237469,-0.007276902
ight,FEAC84C53DE7,1711966865936,2024-04-01T13:21:05.936,0.5,0.7604366,-0.38409644,-0.523595,-0.007381795
ight,FEAC84C53DE7,1711966865946,2024-04-01T13:21:05.946,0.51,0.7606122,-0.38397276,-0.5234291,-0.007489647
ight,FEAC84C53DE7,1711966865956,2024-04-01T13:21:05.956,0.52,0.7608038,-0.38382345,-0.5232579,-0.007624174
