Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
Back,E25AD03D0194,1711967016792,2024-04-01T13:23:36.792,0.0,0.87423784,0.10384095,-0.47426283,0.0
ack,E25AD03D0194,1711967016802,2024-04-01T13:23:36.802,0.01,0.87426,0.1038927,-0.47421062,3.3469354E-5
ack,E25AD03D0194,1711967016812,2024-04-01T13:23:36.812,0.02,0.8742919,0.10395538,-0.47413814,7.215816E-5
ack,E25AD03D0194,1711967016822,2024-04-01T13:23:36.822,0.03,0.87432015,0.103960335,-0.47408494,7.5184944E-5
ack,E25AD03D0194,1711967016832,2024-04-01T13:23:36.832,0.04,0.87432045,0.10396853,-0.47408262,7.046611E-5
ack,E25AD03D0194,1711967016842,2024-04-01T13:23:36.842,0.05,0.8743206,0.10397995,-0.47407976,6.392933E-5
ack,E25AD03D0194,1711967016852,2024-04-01T13:23:36.852,0.06,0.87429506,0.10398984,-0.47412464,5.282998E-5
ack,E25AD03D0194,1711967016862,2024-04-01T13:23:36.862,0.07,0.8742622,0.103998795,-0.47418323,4.071022E-5
ack,E25AD03D0194,1711967016872,2024-04-01T13:23:36.872,0.08,0.87423277,0.1040074,-0.47423565,3.0089584E-5
ack,E25AD03D0194,1711967016882,2024-04-01T13:23:36.882,0.09,0.8742235,0.10407079,-0.474239,5.6008656E-5
ack,E25AD03D0194,1711967016892,2024-04-01T13:23:36.892,0.1,0.87418807,0.10414054,-0.47428882,8.3043E-5
ack,E25AD03D0194,1711967016902,2024-04-01T13:23:36.902,0.11,0.8741507,0.10422442,-0.47433928,1.1835023E-4
ack,E25AD03D0194,1711967016912,2024-04-01T13:23:36.912,0.12,0.87411106,0.10431174,-0.47439304,1.551964E-4
ack,E25AD03D0194,1711967016922,2024-04-01T13:23:36.922,0.13,0.87407154,0.10439537,-0.47444752,1.9000447E-4
ack,E25AD03D0194,1711967016932,2024-04-01T13:23:36.932,0.14,0.87405926,0.104479715,-0.4744516,2.2962138E-4
ack,E25AD03D0194,1711967016942,2024-04-01T13:23:36.942,0.15,0.8740465,0.10456656,-0.47445595,2.6892714E-4
ack,E25AD03D0194,1711967016952,2024-04-01T13:23:36.952,0.16,0.8740335,0.10464583,-0.4744623,3.015761E-4
ack,E25AD03D0194,1711967016962,2024-04-01T13:23:36.962,0.17,0.87402177,0.104719095,-0.4744679,3.2818795E-4
ack,E25AD03D0194,1711967016972,2024-04-01T13:23:36.972,0.18,0.87401366,0.104779735,-0.4744694,3.5039507E-4
ack,E25AD03D0194,1711967016982,2024-04-01T13:23:36.982,0.19,0.87400675,0.10483375,-0.47447035,3.717368E-4
ack,E25AD03D0194,1711967016992,2024-04-01T13:23:36.992,0.2,0.8740001,0.10488571,-0.47447103,3.935668E-4
ack,E25AD03D0194,1711967017002,2024-04-01T13:23:37.002,0.21,0.8739721,0.10489012,-0.47452152,3.850944E-4
ack,E25AD03D0194,1711967017012,2024-04-01T13:23:37.012,0.22,0.8739401,0.104895584,-0.47457924,3.7566177E-4
ack,E25AD03D0194,1711967017022,2024-04-01T13:23:37.022,0.23,0.8739368,0.104904465,-0.4745834,3.7133915E-4
ack,E25AD03D0194,1711967017032,2024-04-01T13:23:37.032,0.24,0.87393224,0.10491577,-0.47458923,3.6590235E-4
ack,E25AD03D0194,1711967017042,2024-04-01T13:23:37.042,0.25,0.87392557,0.104931585,-0.47459802,3.5836766E-4
ack,E25AD03D0194,1711967017052,2024-04-01T13:23:37.052,0.26,0.87391233,0.10500196,-0.4746068,3.8116015E-4
ack,E25AD03D0194,1711967017062,2024-04-01T13:23:37.062,0.27,0.87389654,0.10510402,-0.47461337,4.225893E-4
ack,E25AD03D0194,1711967017072,2024-04-01T13:23:37.072,0.28,0.87391037,0.105203584,-0.4745658,4.6599435E-4
ack,E25AD03D0194,1711967017082,2024-04-01T13:23:37.082,0.29,0.8739322,0.10528363,-0.47450787,4.9694633E-4
ack,E25AD03D0194,1711967017092,2024-04-01T13:23:37.092,0.3,0.87395877,0.105304725,-0.4744542,4.9342075E-4
ack,E25AD03D0194,1711967017102,2024-04-01T13:23:37.102,0.31,0.87398124,0.10532592,-0.47440803,4.886753E-4
ack,E25AD03D0194,1711967017112,2024-04-01T13:23:37.112,0.32,0.8739777,0.105343305,-0.47441065,4.7955726E-4
ack,E25AD03D0194,1711967017122,2024-04-01T13:23:37.122,0.33,0.87397563,0.10535506,-0.47441188,4.7332284E-4
Back,E25AD03D0194,1711967017132,2024-04-01T13:23:37.132,0.34,0.8739744,0.10536394,-0.47441217,4.6853712E-4
ack,E25AD03D0194,1711967017142,2024-04-01T13:23:37.142,0.35,0.873973,0.10537136,-0.47441304,4.646146E-4
ack,E25AD03D0194,1711967017152,2024-04-01T13:23:37.152,0.36,0.8739774,0.10532925,-0.47441423,4.370751E-4
ack,E25AD03D0194,1711967017162,2024-04-01T13:23:37.162,0.37,0.87398297,0.10527663,-0.4744158,4.0589695E-4
ack,E25AD03D0194,1711967017172,2024-04-01T13:23:37.172,0.38,0.87398183,0.10527917,-0.47441736,4.0470654E-4
ack,E25AD03D0194,1711967017182,2024-04-01T13:23:37.182,0.39,0.8739811,0.105280325,-0.4744185,4.0421658E-4
ack,E25AD03D0194,1711967017192,2024-04-01T13:23:37.192,0.4,0.8739801,0.105281614,-0.47442004,4.0370165E-4
ack,E25AD03D0194,1711967017202,2024-04-01T13:23:37.202,0.41,0.8739787,0.10528447,-0.47442204,4.0239407E-4
ack,E25AD03D0194,1711967017212,2024-04-01T13:23:37.212,0.42,0.8739767,0.10528961,-0.4744246,3.999113E-4
ack,E25AD03D0194,1711967017222,2024-04-01T13:23:37.222,0.43,0.87397546,0.10529526,-0.47442576,3.9697927E-4
ack,E25AD03D0194,1711967017232,2024-04-01T13:23:37.232,0.44,0.8739742,0.10530343,-0.47442624,3.92606E-4
ack,E25AD03D0194,1711967017242,2024-04-01T13:23:37.242,0.45,0.87397206,0.10531596,-0.47442746,3.8595247E-4
ack,E25AD03D0194,1711967017252,2024-04-01T13:23:37.252,0.46,0.8739699,0.105328254,-0.47442845,3.7939585E-4
ack,E25AD03D0194,1711967017262,2024-04-01T13:23:37.262,0.47,0.87396705,0.105340615,-0.47443098,3.7299196E-4
ack,E25AD03D0194,1711967017272,2024-04-01T13:23:37.272,0.48,0.8739655,0.10534897,-0.4744322,3.6860764E-4
ack,E25AD03D0194,1711967017282,2024-04-01T13:23:37.282,0.49,0.8739638,0.10535384,-0.47443405,3.6618582E-4
ack,E25AD03D0194,1711967017292,2024-04-01T13:23:37.292,0.5,0.873962,0.10535719,-0.47443658,3.6467155E-4
ack,E25AD03D0194,1711967017302,2024-04-01T13:23:37.302,0.51,0.8739614,0.105358504,-0.47443756,3.6407882E-4
ack,E25AD03D0194,1711967017312,2024-04-01T13:23:37.312,0.52,0.8739614,0.10535858,-0.47443756,3.6403924E-4
ack,E25AD03D0194,1711967017322,2024-04-01T13:23:37.322,0.53,0.87396157,0.105358616,-0.4744372,3.6397713E-4
ack,E25AD03D0194,1711967017332,2024-04-01T13:23:37.332,0.54,0.8739624,0.105358206,-0.47443584,3.640324E-4
ack,E25AD03D0194,1711967017342,2024-04-01T13:23:37.342,0.55,0.8739632,0.10535745,-0.47443458,3.6428787E-4
ack,E25AD03D0194,1711967017352,2024-04-01T13:23:37.352,0.56,0.8739636,0.10535773,-0.4744337,3.640315E-4
ack,E25AD03D0194,1711967017362,2024-04-01T13:23:37.362,0.57,0.87395847,0.105404854,-0.47443262,3.882684E-4
ack,E25AD03D0194,1711967017372,2024-04-01T13:23:37.372,0.58,0.8739585,0.105407,-0.4744321,3.8704157E-4
ack,E25AD03D0194,1711967017382,2024-04-01T13:23:37.382,0.59,0.8739579,0.105411395,-0.47443232,3.8468133E-4
ack,E25AD03D0194,1711967017392,2024-04-01T13:23:37.392,0.6,0.8739565,0.10541897,-0.4744332,3.8067362E-4
ack,E25AD03D0194,1711967017402,2024-04-01T13:23:37.402,0.61,0.8739545,0.105429016,-0.47443476,3.7540708E-4
ack,E25AD03D0194,1711967017412,2024-04-01T13:23:37.412,0.62,0.8739536,0.10543752,-0.47443432,3.7073778E-4
ack,E25AD03D0194,1711967017422,2024-04-01T13:23:37.422,0.63,0.8739531,0.10544231,-0.47443408,3.6811022E-4
ack,E25AD03D0194,1711967017432,2024-04-01T13:23:37.432,0.64,0.873953,0.1054445,-0.47443384,3.6688944E-4
ack,E25AD03D0194,1711967017442,2024-04-01T13:23:37.442,0.65,0.8739535,0.105445966,-0.47443256,3.6593954E-4
ack,E25AD03D0194,1711967017452,2024-04-01T13:23:37.452,0.66,0.8739543,0.10544625,-0.47443107,3.6560567E-4
Back,E25AD03D0194,1711967017132,2024-04-01T13:23:37.132,0.34,0.8739744,0.10536394,-0.47441217,4.6853712E-4
ack,E25AD03D0194,1711967017142,2024-04-01T13:23:37.142,0.35,0.873973,0.10537136,-0.47441304,4.646146E-4
ack,E25AD03D0194,1711967017152,2024-04-01T13:23:37.152,0.36,0.8739774,0.10532925,-0.47441423,4.370751E-4
ack,E25AD03D0194,1711967017162,2024-04-01T13:23:37.162,0.37,0.87398297,0.10527663,-0.4744158,4.0589695E-4
ack,E25AD03D0194,1711967017172,2024-04-01T13:23:37.172,0.38,0.87398183,0.10527917,-0.47441736,4.0470654E-4
ack,E25AD03D0194,1711967017182,2024-04-01T13:23:37.182,0.39,0.8739811,0.105280325,-0.4744185,4.0421658E-4
ack,E25AD03D0194,1711967017192,2024-04-01T13:23:37.192,0.4,0.8739801,0.105281614,-0.47442004,4.0370165E-4
ack,E25AD03D0194,1711967017202,2024-04-01T13:23:37.202,0.41,0.8739787,0.10528447,-0.47442204,4.0239407E-4
ack,E25AD03D0194,1711967017212,2024-04-01T13:23:37.212,0.42,0.8739767,0.10528961,-0.4744246,3.999113E-4
ack,E25AD03D0194,1711967017222,2024-04-01T13:23:37.222,0.43,0.87397546,0.10529526,-0.47442576,3.9697927E-4
ack,E25AD03D0194,1711967017232,2024-04-01T13:23:37.232,0.44,0.8739742,0.10530343,-0.47442624,3.92606E-4
ack,E25AD03D0194,1711967017242,2024-04-01T13:23:37.242,0.45,0.87397206,0.10531596,-0.47442746,3.8595247E-4
ack,E25AD03D0194,1711967017252,2024-04-01T13:23:37.252,0.46,0.8739699,0.105328254,-0.47442845,3.7939585E-4
ack,E25AD03D0194,1711967017262,2024-04-01T13:23:37.262,0.47,0.87396705,0.105340615,-0.47443098,3.7299196E-4
ack,E25AD03D0194,1711967017272,2024-04-01T13:23:37.272,0.48,0.8739655,0.10534897,-0.4744322,3.6860764E-4
ack,E25AD03D0194,1711967017282,2024-04-01T13:23:37.282,0.49,0.8739638,0.10535384,-0.47443405,3.6618582E-4
ack,E25AD03D0194,1711967017292,2024-04-01T13:23:37.292,0.5,0.873962,0.10535719,-0.47443658,3.6467155E-4
ack,E25AD03D0194,1711967017302,2024-04-01T13:23:37.302,0.51,0.8739614,0.105358504,-0.47443756,3.6407882E-4
ack,E25AD03D0194,1711967017312,2024-04-01T13:23:37.312,0.52,0.8739614,0.10535858,-0.47443756,3.6403924E-4
ack,E25AD03D0194,1711967017322,2024-04-01T13:23:37.322,0.53,0.87396157,0.105358616,-0.4744372,3.6397713E-4
ack,E25AD03D0194,1711967017332,2024-04-01T13:23:37.332,0.54,0.8739624,0.105358206,-0.47443584,3.640324E-4
ack,E25AD03D0194,1711967017342,2024-04-01T13:23:37.342,0.55,0.8739632,0.10535745,-0.47443458,3.6428787E-4
ack,E25AD03D0194,1711967017352,2024-04-01T13:23:37.352,0.56,0.8739636,0.10535773,-0.4744337,3.640315E-4
ack,E25AD03D0194,1711967017362,2024-04-01T13:23:37.362,0.57,0.87395847,0.105404854,-0.47443262,3.882684E-4
ack,E25AD03D0194,1711967017372,2024-04-01T13:23:37.372,0.58,0.8739585,0.105407,-0.4744321,3.8704157E-4
ack,E25AD03D0194,1711967017382,2024-04-01T13:23:37.382,0.59,0.8739579,0.105411395,-0.47443232,3.8468133E-4
ack,E25AD03D0194,1711967017392,2024-04-01T13:23:37.392,0.6,0.8739565,0.10541897,-0.4744332,3.8067362E-4
ack,E25AD03D0194,1711967017402,2024-04-01T13:23:37.402,0.61,0.8739545,0.105429016,-0.47443476,3.7540708E-4
ack,E25AD03D0194,1711967017412,2024-04-01T13:23:37.412,0.62,0.8739536,0.10543752,-0.47443432,3.7073778E-4
ack,E25AD03D0194,1711967017422,2024-04-01T13:23:37.422,0.63,0.8739531,0.10544231,-0.47443408,3.6811022E-4
ack,E25AD03D0194,1711967017432,2024-04-01T13:23:37.432,0.64,0.873953,0.1054445,-0.47443384,3.6688944E-4
ack,E25AD03D0194,1711967017442,2024-04-01T13:23:37.442,0.65,0.8739535,0.105445966,-0.47443256,3.6593954E-4
ack,E25AD03D0194,1711967017452,2024-04-01T13:23:37.452,0.66,0.8739543,0.10544625,-0.47443107,"3.6560567E-4"""
Back,E25AD03D0194,1711967017132,2024-04-01T13:23:37.132,0.34,0.8739744,0.10536394,-0.47441217,4.6853712E-4
ack,E25AD03D0194,1711967017142,2024-04-01T13:23:37.142,0.35,0.873973,0.10537136,-0.47441304,4.646146E-4
ack,E25AD03D0194,1711967017152,2024-04-01T13:23:37.152,0.36,0.8739774,0.10532925,-0.47441423,4.370751E-4
ack,E25AD03D0194,1711967017162,2024-04-01T13:23:37.162,0.37,0.87398297,0.10527663,-0.4744158,4.0589695E-4
ack,E25AD03D0194,1711967017172,2024-04-01T13:23:37.172,0.38,0.87398183,0.10527917,-0.47441736,4.0470654E-4
ack,E25AD03D0194,1711967017182,2024-04-01T13:23:37.182,0.39,0.8739811,0.105280325,-0.4744185,4.0421658E-4
ack,E25AD03D0194,1711967017192,2024-04-01T13:23:37.192,0.4,0.8739801,0.105281614,-0.47442004,4.0370165E-4
ack,E25AD03D0194,1711967017202,2024-04-01T13:23:37.202,0.41,0.8739787,0.10528447,-0.47442204,4.0239407E-4
ack,E25AD03D0194,1711967017212,2024-04-01T13:23:37.212,0.42,0.8739767,0.10528961,-0.4744246,3.999113E-4
ack,E25AD03D0194,1711967017222,2024-04-01T13:23:37.222,0.43,0.87397546,0.10529526,-0.47442576,3.9697927E-4
ack,E25AD03D0194,1711967017232,2024-04-01T13:23:37.232,0.44,0.8739742,0.10530343,-0.47442624,3.92606E-4
ack,E25AD03D0194,1711967017242,2024-04-01T13:23:37.242,0.45,0.87397206,0.10531596,-0.47442746,3.8595247E-4
ack,E25AD03D0194,1711967017252,2024-04-01T13:23:37.252,0.46,0.8739699,0.105328254,-0.47442845,3.7939585E-4
ack,E25AD03D0194,1711967017262,2024-04-01T13:23:37.262,0.47,0.87396705,0.105340615,-0.47443098,3.7299196E-4
ack,E25AD03D0194,1711967017272,2024-04-01T13:23:37.272,0.48,0.8739655,0.10534897,-0.4744322,3.6860764E-4
ack,E25AD03D0194,1711967017282,2024-04-01T13:23:37.282,0.49,0.8739638,0.10535384,-0.47443405,3.6618582E-4
ack,E25AD03D0194,1711967017292,2024-04-01T13:23:37.292,0.5,0.873962,0.10535719,-0.47443658,3.6467155E-4
ack,E25AD03D0194,1711967017302,2024-04-01T13:23:37.302,0.51,0.8739614,0.105358504,-0.47443756,3.6407882E-4
ack,E25AD03D0194,1711967017312,2024-04-01T13:23:37.312,0.52,0.8739614,0.10535858,-0.47443756,3.6403924E-4
ack,E25AD03D0194,1711967017322,2024-04-01T13:23:37.322,0.53,0.87396157,0.105358616,-0.4744372,3.6397713E-4
ack,E25AD03D0194,1711967017332,2024-04-01T13:23:37.332,0.54,0.8739624,0.105358206,-0.47443584,3.640324E-4
ack,E25AD03D0194,1711967017342,2024-04-01T13:23:37.342,0.55,0.8739632,0.10535745,-0.47443458,3.6428787E-4
ack,E25AD03D0194,1711967017352,2024-04-01T13:23:37.352,0.56,0.8739636,0.10535773,-0.4744337,3.640315E-4
ack,E25AD03D0194,1711967017362,2024-04-01T13:23:37.362,0.57,0.87395847,0.105404854,-0.47443262,3.882684E-4
ack,E25AD03D0194,1711967017372,2024-04-01T13:23:37.372,0.58,0.8739585,0.105407,-0.4744321,3.8704157E-4
ack,E25AD03D0194,1711967017382,2024-04-01T13:23:37.382,0.59,0.8739579,0.105411395,-0.47443232,3.8468133E-4
ack,E25AD03D0194,1711967017392,2024-04-01T13:23:37.392,0.6,0.8739565,0.10541897,-0.4744332,3.8067362E-4
ack,E25AD03D0194,1711967017402,2024-04-01T13:23:37.402,0.61,0.8739545,0.105429016,-0.47443476,3.7540708E-4
ack,E25AD03D0194,1711967017412,2024-04-01T13:23:37.412,0.62,0.8739536,0.10543752,-0.47443432,3.7073778E-4
ack,E25AD03D0194,1711967017422,2024-04-01T13:23:37.422,0.63,0.8739531,0.10544231,-0.47443408,3.6811022E-4
ack,E25AD03D0194,1711967017432,2024-04-01T13:23:37.432,0.64,0.873953,0.1054445,-0.47443384,3.6688944E-4
ack,E25AD03D0194,1711967017442,2024-04-01T13:23:37.442,0.65,0.8739535,0.105445966,-0.47443256,3.6593954E-4
ack,E25AD03D0194,1711967017452,2024-04-01T13:23:37.452,0.66,0.8739543,0.10544625,-0.47443107,3.6560567E-4
ack,E25AD03D0194,1711967018672,2024-04-01T13:23:38.672,1.88,0.87419647,0.104567915,-0.47417814,-0.0011371293
ack,E25AD03D0194,1711967018682,2024-04-01T13:23:38.682,1.89,0.8741854,0.10462568,-0.47418606,-0.0010214255
ack,E25AD03D0194,1711967018692,2024-04-01T13:23:38.692,1.9,0.87417555,0.104673564,-0.47419387,-9.120788E-4
