Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
eft,C8925E7DC6BD,1711967408417,2024-04-01T13:30:08.417,0.0,0.7525412,0.06733461,-0.65509367,6.413454E-5
eft,C8925E7DC6BD,1711967408427,2024-04-01T13:30:08.427,0.01,0.7525412,0.06728923,-0.6550983,1.1626021E-4
eft,C8925E7DC6BD,1711967408437,2024-04-01T13:30:08.437,0.02,0.7525413,0.06724044,-0.6551034,1.7233263E-4
eft,C8925E7DC6BD,1711967408447,2024-04-01T13:30:08.447,0.03,0.7525415,0.06719536,-0.6551078,2.2417518E-4
eft,C8925E7DC6BD,1711967408457,2024-04-01T13:30:08.457,0.04,0.7525414,0.06715707,-0.6551116,2.6817567E-4
eft,C8925E7DC6BD,1711967408467,2024-04-01T13:30:08.467,0.05,0.7525415,0.06711876,-0.6551155,3.1219973E-4
eft,C8925E7DC6BD,1711967408477,2024-04-01T13:30:08.477,0.06,0.75254154,0.06711883,-0.6551154,3.1212973E-4
eft,C8925E7DC6BD,1711967408487,2024-04-01T13:30:08.487,0.07,0.75254166,0.06711887,-0.6551153,3.1208713E-4
eft,C8925E7DC6BD,1711967408497,2024-04-01T13:30:08.497,0.08,0.7525416,0.06711894,-0.65511537,3.1202726E-4
eft,C8925E7DC6BD,1711967408507,2024-04-01T13:30:08.507,0.09,0.75254154,0.06711905,-0.6551154,3.1194105E-4
eft,C8925E7DC6BD,1711967408517,2024-04-01T13:30:08.517,0.1,0.7525415,0.06711914,-0.6551155,3.1187086E-4
eft,C8925E7DC6BD,1711967408527,2024-04-01T13:30:08.527,0.11,0.7525415,0.06711918,-0.6551155,3.1183125E-4
eft,C8925E7DC6BD,1711967408537,2024-04-01T13:30:08.537,0.12,0.75254154,0.0671192,-0.6551154,3.118071E-4
eft,C8925E7DC6BD,1711967408547,2024-04-01T13:30:08.547,0.13,0.7525419,0.06711925,-0.65511507,3.1173672E-4
eft,C8925E7DC6BD,1711967408557,2024-04-01T13:30:08.557,0.14,0.75254226,0.067119256,-0.65511465,3.1169207E-4
eft,C8925E7DC6BD,1711967408567,2024-04-01T13:30:08.567,0.15,0.75254256,0.06711917,-0.6551143,3.1173468E-4
eft,C8925E7DC6BD,1711967408577,2024-04-01T13:30:08.577,0.16,0.752543,0.06711929,-0.6551139,3.11592E-4
eft,C8925E7DC6BD,1711967408587,2024-04-01T13:30:08.587,0.17,0.7525441,0.06711952,-0.6551122,3.1125138E-4
eft,C8925E7DC6BD,1711967408597,2024-04-01T13:30:08.597,0.18,0.7525455,0.06711988,-0.6551108,3.1080644E-4
eft,C8925E7DC6BD,1711967408607,2024-04-01T13:30:08.607,0.19,0.752546,0.06712,-0.6551102,3.1065167E-4
eft,C8925E7DC6BD,1711967408617,2024-04-01T13:30:08.617,0.2,0.75254637,0.06712001,-0.65510976,3.106045E-4
eft,C8925E7DC6BD,1711967408627,2024-04-01T13:30:08.627,0.21,0.7525474,0.06711996,-0.6551086,3.1053796E-4
eft,C8925E7DC6BD,1711967408637,2024-04-01T13:30:08.637,0.22,0.752548,0.06712002,-0.65510786,3.104218E-4
eft,C8925E7DC6BD,1711967408717,2024-04-01T13:30:08.717,0.3,0.7527929,0.06715886,-0.6548225,2.9105108E-4
eft,C8925E7DC6BD,1711967408727,2024-04-01T13:30:08.727,0.31,0.75279385,0.067159645,-0.65482134,2.9026766E-4
eft,C8925E7DC6BD,1711967408737,2024-04-01T13:30:08.737,0.32,0.7527948,0.06716032,-0.6548202,2.8957616E-4
eft,C8925E7DC6BD,1711967408747,2024-04-01T13:30:08.747,0.33,0.7527956,0.067161195,-0.65481925,2.8873316E-4
eft,C8925E7DC6BD,1711967408757,2024-04-01T13:30:08.757,0.34,0.7528313,0.067161866,-0.65477806,2.916206E-4
eft,C8925E7DC6BD,1711967408767,2024-04-01T13:30:08.767,0.35,0.75286704,0.06716215,-0.65473694,2.9485067E-4
eft,C8925E7DC6BD,1711967408777,2024-04-01T13:30:08.777,0.36,0.7528676,0.067162424,-0.65473616,2.9454034E-4
eft,C8925E7DC6BD,1711967408787,2024-04-01T13:30:08.787,0.37,0.7528681,0.06716294,-0.65473545,2.94031E-4
eft,C8925E7DC6BD,1711967408797,2024-04-01T13:30:08.797,0.38,0.7528695,0.06716435,-0.6547339,2.9267132E-4
eft,C8925E7DC6BD,1711967408807,2024-04-01T13:30:08.807,0.39,0.7528709,0.06716546,-0.6547321,2.9154774E-4
eft,C8925E7DC6BD,1711967408817,2024-04-01T13:30:08.817,0.4,0.7528718,0.06716605,-0.65473104,2.9093667E-4
eft,C8925E7DC6BD,1711967408827,2024-04-01T13:30:08.827,0.41,0.75287354,0.06716647,-0.65472895,2.903874E-4
eft,C8925E7DC6BD,1711967408837,2024-04-01T13:30:08.837,0.42,0.7528762,0.06716706,-0.65472585,2.8959868E-4
eft,C8925E7DC6BD,1711967408847,2024-04-01T13:30:08.847,0.43,0.7528784,0.06716743,-0.6547232,2.8904036E-4
