Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
ead,E15561CB9161,1711967408384,2024-04-01T13:30:08.384,0.0,0.7522242,-0.10942563,-0.64975744,7.804923E-5
ead,E15561CB9161,1711967408394,2024-04-01T13:30:08.394,0.01,0.7522068,-0.10921188,-0.64981365,1.1705905E-4
ead,E15561CB9161,1711967408404,2024-04-01T13:30:08.404,0.02,0.7522274,-0.10899578,-0.64982593,1.5038253E-4
ead,E15561CB9161,1711967408414,2024-04-01T13:30:08.414,0.03,0.7522166,-0.10876255,-0.6498775,2.062599E-4
ead,E15561CB9161,1711967408424,2024-04-01T13:30:08.424,0.04,0.752242,-0.108521186,-0.6498884,2.709887E-4
ead,E15561CB9161,1711967408434,2024-04-01T13:30:08.434,0.05,0.75226897,-0.10827827,-0.6498977,3.6238908E-4
ead,E15561CB9161,1711967408444,2024-04-01T13:30:08.444,0.06,0.75229824,-0.10804214,-0.6499031,4.972976E-4
ead,E15561CB9161,1711967408454,2024-04-01T13:30:08.454,0.07,0.75232846,-0.107833736,-0.64990264,6.773271E-4
ead,E15561CB9161,1711967408464,2024-04-01T13:30:08.464,0.08,0.7523582,-0.10763188,-0.6499014,8.520366E-4
ead,E15561CB9161,1711967408474,2024-04-01T13:30:08.474,0.09,0.7523907,-0.10741104,-0.6499001,0.0010422134
ead,E15561CB9161,1711967408484,2024-04-01T13:30:08.484,0.1,0.75246996,-0.10717555,-0.64984673,0.0012352727
ead,E15561CB9161,1711967408494,2024-04-01T13:30:08.494,0.11,0.75257826,-0.10695525,-0.6497572,0.001409049
ead,E15561CB9161,1711967408504,2024-04-01T13:30:08.504,0.12,0.75269866,-0.10674204,-0.64965254,0.0015710832
ead,E15561CB9161,1711967408514,2024-04-01T13:30:08.514,0.13,0.7528224,-0.10659736,-0.6495324,0.0017749065
ead,E15561CB9161,1711967408524,2024-04-01T13:30:08.524,0.14,0.75295347,-0.106500894,-0.6493958,0.0019614762
ead,E15561CB9161,1711967408534,2024-04-01T13:30:08.534,0.15,0.7530738,-0.10643051,-0.64926726,0.0021352856
ead,E15561CB9161,1711967408544,2024-04-01T13:30:08.544,0.16,0.7531849,-0.10636873,-0.64914787,0.0023003207
ead,E15561CB9161,1711967408554,2024-04-01T13:30:08.554,0.17,0.7532927,-0.106306404,-0.64903235,0.0024567845
ead,E15561CB9161,1711967408564,2024-04-01T13:30:08.564,0.18,0.7533836,-0.10624615,-0.64893615,0.0025955862
ead,E15561CB9161,1711967408574,2024-04-01T13:30:08.574,0.19,0.75346667,-0.10618712,-0.64884883,0.002718801
ead,E15561CB9161,1711967408584,2024-04-01T13:30:08.584,0.2,0.7535497,-0.1061278,-0.6487616,0.0028436983
ead,E15561CB9161,1711967408594,2024-04-01T13:30:08.594,0.21,0.7536332,-0.10608177,-0.6486717,0.0029568698
ead,E15561CB9161,1711967408604,2024-04-01T13:30:08.604,0.22,0.753711,-0.10604293,-0.6485871,0.003079634
ead,E15561CB9161,1711967408614,2024-04-01T13:30:08.614,0.23,0.7537945,-0.10601199,-0.6484944,0.0032216837
ead,E15561CB9161,1711967408624,2024-04-01T13:30:08.624,0.24,0.7538913,-0.10600801,-0.64838165,0.0033754797
ead,E15561CB9161,1711967408634,2024-04-01T13:30:08.634,0.25,0.7539892,-0.10602964,-0.64826334,0.003544779
ead,E15561CB9161,1711967408644,2024-04-01T13:30:08.644,0.26,0.7540793,-0.10608018,-0.64814925,0.0037311474
ead,E15561CB9161,1711967408654,2024-04-01T13:30:08.654,0.27,0.7541543,-0.106161356,-0.6480475,0.0039309785
ead,E15561CB9161,1711967408664,2024-04-01T13:30:08.664,0.28,0.75417954,-0.10624424,-0.64800334,0.004143011
ead,E15561CB9161,1711967408674,2024-04-01T13:30:08.674,0.29,0.754211,-0.106326744,-0.6479517,0.0043688104
ead,E15561CB9161,1711967408784,2024-04-01T13:30:08.784,0.4,0.7545839,-0.10643835,-0.64747995,0.006610999
ead,E15561CB9161,1711967408794,2024-04-01T13:30:08.794,0.41,0.754627,-0.106344186,-0.6474431,0.006815172
ead,E15561CB9161,1711967408804,2024-04-01T13:30:08.804,0.42,0.75467485,-0.10620389,-0.6474086,0.0069859475
ead,E15561CB9161,1711967408814,2024-04-01T13:30:08.814,0.43,0.7547236,-0.10604346,-0.6473759,0.0071732174
ead,E15561CB9161,1711967408824,2024-04-01T13:30:08.824,0.44,0.7547328,-0.10586247,-0.6473926,0.00738003
ead,E15561CB9161,1711967408834,2024-04-01T13:30:08.834,0.45,0.75473183,-0.1056634,-0.6474238,0.007595656
ead,E15561CB9161,1711967408844,2024-04-01T13:30:08.844,0.46,0.7547322,-0.105444334,-0.6474563,0.007821186
ead,E15561CB9161,1711967408854,2024-04-01T13:30:08.854,0.47,0.754739,-0.10519943,-0.6474853,0.008062121
ead,E15561CB9161,1711967408864,2024-04-01T13:30:08.864,0.48,0.7547554,-0.10494551,-0.6475043,0.008309513
ead,E15561CB9161,1711967408874,2024-04-01T13:30:08.874,0.49,0.7547703,-0.104671866,-0.64752764,0.008573677
ead,E15561CB9161,1711967408884,2024-04-01T13:30:08.884,0.5,0.7548201,-0.10439017,-0.64751166,0.008831487
