Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
Back,E25AD03D0194,1711967408350,2024-04-01T13:30:08.350,0.0,0.88376004,0.10128157,-0.4568481,-4.7073452E-5
ack,E25AD03D0194,1711967408360,2024-04-01T13:30:08.360,0.01,0.88376004,0.10130557,-0.45684278,-9.396498E-5
ack,E25AD03D0194,1711967408370,2024-04-01T13:30:08.370,0.02,0.8837603,0.10132843,-0.4568372,-1.3990092E-4
ack,E25AD03D0194,1711967408380,2024-04-01T13:30:08.380,0.03,0.8837312,0.10135102,-0.45688865,-1.9251039E-4
ack,E25AD03D0194,1711967408390,2024-04-01T13:30:08.390,0.04,0.8837041,0.1013748,-0.45693544,-2.4799624E-4
ack,E25AD03D0194,1711967408400,2024-04-01T13:30:08.400,0.05,0.88367707,0.101399265,-0.45698234,-3.0440744E-4
ack,E25AD03D0194,1711967408410,2024-04-01T13:30:08.410,0.06,0.8836477,0.101396725,-0.45703977,-3.0932442E-4
ack,E25AD03D0194,1711967408420,2024-04-01T13:30:08.420,0.07,0.88361317,0.10139422,-0.45710707,-3.1543899E-4
ack,E25AD03D0194,1711967408430,2024-04-01T13:30:08.430,0.08,0.8835692,0.10145647,-0.45717824,-2.88131E-4
ack,E25AD03D0194,1711967408440,2024-04-01T13:30:08.440,0.09,0.88352984,0.101542644,-0.4572352,-2.4756344E-4
ack,E25AD03D0194,1711967408450,2024-04-01T13:30:08.450,0.1,0.88349456,0.10163382,-0.45728326,-2.0263172E-4
ack,E25AD03D0194,1711967408460,2024-04-01T13:30:08.460,0.11,0.8834598,0.10172287,-0.45733058,-1.577065E-4
ack,E25AD03D0194,1711967408470,2024-04-01T13:30:08.470,0.12,0.88342476,0.101812266,-0.45737833,-1.1189286E-4
ack,E25AD03D0194,1711967408480,2024-04-01T13:30:08.480,0.13,0.88338894,0.101908736,-0.45742592,-6.1142855E-5
ack,E25AD03D0194,1711967408490,2024-04-01T13:30:08.490,0.14,0.8833457,0.101998225,-0.45748943,-1.2977994E-5
ack,E25AD03D0194,1711967408500,2024-04-01T13:30:08.500,0.15,0.8833005,0.10208447,-0.45755756,3.7355814E-5
ack,E25AD03D0194,1711967408510,2024-04-01T13:30:08.510,0.16,0.8832506,0.10219261,-0.45762986,1.0363358E-4
ack,E25AD03D0194,1711967408520,2024-04-01T13:30:08.520,0.17,0.8832078,0.10230175,-0.45768803,1.7726743E-4
ack,E25AD03D0194,1711967408530,2024-04-01T13:30:08.530,0.18,0.8831939,0.10241232,-0.45769012,2.59939E-4
ack,E25AD03D0194,1711967408540,2024-04-01T13:30:08.540,0.19,0.8831791,0.10253317,-0.45769155,3.4863548E-4
ack,E25AD03D0194,1711967408550,2024-04-01T13:30:08.550,0.2,0.88316125,0.102679156,-0.4576933,4.466499E-4
ack,E25AD03D0194,1711967408560,2024-04-01T13:30:08.560,0.21,0.8831409,0.10282596,-0.4576994,5.973919E-4
