Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
ight,FEAC84C53DE7,1711967408450,2024-04-01T13:30:08.450,0.0,0.7714828,-0.36773613,-0.51921517,-2.15462E-5
ight,FEAC84C53DE7,1711967408460,2024-04-01T13:30:08.460,0.01,0.77151775,-0.36773667,-0.5191629,-4.660286E-5
ight,FEAC84C53DE7,1711967408470,2024-04-01T13:30:08.470,0.02,0.77154946,-0.36771023,-0.5191346,-1.09216206E-4
ight,FEAC84C53DE7,1711967408480,2024-04-01T13:30:08.480,0.03,0.7715819,-0.36771047,-0.5190862,-1.32473E-4
ight,FEAC84C53DE7,1711967408490,2024-04-01T13:30:08.490,0.04,0.7716173,-0.36771047,-0.51903355,-1.5772418E-4
ight,FEAC84C53DE7,1711967408500,2024-04-01T13:30:08.500,0.05,0.7716471,-0.36768317,-0.51900864,-2.1979312E-4
ight,FEAC84C53DE7,1711967408510,2024-04-01T13:30:08.510,0.06,0.7716469,-0.3676828,-0.5190092,-2.203094E-4
ight,FEAC84C53DE7,1711967408520,2024-04-01T13:30:08.520,0.07,0.77164674,-0.36768273,-0.51900953,-2.20549E-4
ight,FEAC84C53DE7,1711967408530,2024-04-01T13:30:08.530,0.08,0.77164596,-0.36768302,-0.5190105,-2.2079256E-4
ight,FEAC84C53DE7,1711967408540,2024-04-01T13:30:08.540,0.09,0.7716456,-0.3676555,-0.51903003,-2.616297E-4
ight,FEAC84C53DE7,1711967408550,2024-04-01T13:30:08.550,0.1,0.7716454,-0.36765537,-0.51903063,-2.6199597E-4
ight,FEAC84C53DE7,1711967408560,2024-04-01T13:30:08.560,0.11,0.77164465,-0.36765525,-0.5190319,-2.626762E-4
ight,FEAC84C53DE7,1711967408570,2024-04-01T13:30:08.570,0.12,0.77164394,-0.36765525,-0.51903296,-2.6318082E-4
ight,FEAC84C53DE7,1711967408580,2024-04-01T13:30:08.580,0.13,0.77164334,-0.36765486,-0.5190341,-2.639841E-4
ight,FEAC84C53DE7,1711967408590,2024-04-01T13:30:08.590,0.14,0.77164286,-0.36765388,-0.5190355,-2.6533194E-4
ight,FEAC84C53DE7,1711967408600,2024-04-01T13:30:08.600,0.15,0.77164185,-0.3676534,-0.51903737,-2.6652796E-4
ight,FEAC84C53DE7,1711967408610,2024-04-01T13:30:08.610,0.16,0.77164084,-0.36765286,-0.5190393,-2.6778353E-4
ight,FEAC84C53DE7,1711967408620,2024-04-01T13:30:08.620,0.17,0.7716403,-0.36765188,-0.5190406,-2.690649E-4
ight,FEAC84C53DE7,1711967408630,2024-04-01T13:30:08.630,0.18,0.77163965,-0.36765128,-0.519042,-2.7014263E-4
ight,FEAC84C53DE7,1711967408640,2024-04-01T13:30:08.640,0.19,0.7716391,-0.36765018,-0.5190436,-2.7165865E-4
ight,FEAC84C53DE7,1711967408650,2024-04-01T13:30:08.650,0.2,0.77163863,-0.36764938,-0.5190449,-2.7281293E-4
ight,FEAC84C53DE7,1711967408660,2024-04-01T13:30:08.660,0.21,0.7716385,-0.36764836,-0.5190457,-2.7389723E-4
ight,FEAC84C53DE7,1711967408670,2024-04-01T13:30:08.670,0.22,0.77163786,-0.3676472,-0.5190475,-2.7552372E-4
ight,FEAC84C53DE7,1711967408680,2024-04-01T13:30:08.680,0.23,0.771637,-0.36764625,-0.51904964,-2.771862E-4
ight,FEAC84C53DE7,1711967408690,2024-04-01T13:30:08.690,0.24,0.7716358,-0.36764526,-0.51905215,-2.790436E-4
ight,FEAC84C53DE7,1711967408700,2024-04-01T13:30:08.700,0.25,0.77163357,-0.36764437,-0.5190561,"-2.8150502E-4"""
Right,FEAC84C53DE7,1711967408710,2024-04-01T13:30:08.710,0.26,0.7716311,-0.36764354,-0.5190604,-2.841054E-4
ight,FEAC84C53DE7,1711967408720,2024-04-01T13:30:08.720,0.27,0.77162975,-0.36764136,-0.51906395,-2.8727736E-4
ight,FEAC84C53DE7,1711967408730,2024-04-01T13:30:08.730,0.28,0.77162856,-0.36763832,-0.5190679,-2.912066E-4
