Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
eft,C8925E7DC6BD,1711964951883,2024-04-01T12:49:11.883,0.0,0.7941211,0.09331307,-0.6005534,0.0
eft,C8925E7DC6BD,1711964951893,2024-04-01T12:49:11.893,0.01,0.79412115,0.09331312,-0.6005533,-4.8918746E-8
eft,C8925E7DC6BD,1711964951903,2024-04-01T12:49:11.903,0.02,0.7941211,0.0933132,-0.60055333,-1.0580202E-7
eft,C8925E7DC6BD,1711964951913,2024-04-01T12:49:11.913,0.03,0.7941207,0.09331393,-0.60055375,-6.095927E-7
eft,C8925E7DC6BD,1711964951923,2024-04-01T12:49:11.923,0.04,0.79412055,0.09328227,-0.6005589,4.1472158E-5
eft,C8925E7DC6BD,1711964951933,2024-04-01T12:49:11.933,0.05,0.79415256,0.09324727,-0.600522,9.281659E-5
eft,C8925E7DC6BD,1711964951943,2024-04-01T12:49:11.943,0.06,0.7941525,0.09321219,-0.6005275,1.3927235E-4
eft,C8925E7DC6BD,1711964951953,2024-04-01T12:49:11.953,0.07,0.7941525,0.093212366,-0.6005275,1.3914172E-4
eft,C8925E7DC6BD,1711964951963,2024-04-01T12:49:11.963,0.08,0.79415274,0.09321305,-0.6005271,1.3857613E-4
eft,C8925E7DC6BD,1711964951973,2024-04-01T12:49:11.973,0.09,0.7941533,0.09321356,-0.60052633,1.3809897E-4
eft,C8925E7DC6BD,1711964951983,2024-04-01T12:49:11.983,0.1,0.79415363,0.0932138,-0.6005259,1.3786709E-4
eft,C8925E7DC6BD,1711964951993,2024-04-01T12:49:11.993,0.11,0.794159,0.093171805,-0.60052526,1.0557668E-4
eft,C8925E7DC6BD,1711964952003,2024-04-01T12:49:12.003,0.12,0.7941591,0.09317199,-0.6005251,1.05416846E-4
eft,C8925E7DC6BD,1711964952013,2024-04-01T12:49:12.013,0.13,0.7941591,0.09317227,-0.60052496,1.0519919E-4
eft,C8925E7DC6BD,1711964952023,2024-04-01T12:49:12.023,0.14,0.7941596,0.093172565,-0.60052425,1.04885905E-4
eft,C8925E7DC6BD,1711964952033,2024-04-01T12:49:12.033,0.15,0.79416007,0.09317301,-0.60052353,1.04460465E-4
eft,C8925E7DC6BD,1711964952043,2024-04-01T12:49:12.043,0.16,0.79416054,0.09317371,-0.6005228,1.0384587E-4
eft,C8925E7DC6BD,1711964952053,2024-04-01T12:49:12.053,0.17,0.79416114,0.093174025,-0.6005219,1.0350279E-4
eft,C8925E7DC6BD,1711964952063,2024-04-01T12:49:12.063,0.18,0.79416156,0.09317439,-0.60052127,1.0314989E-4
eft,C8925E7DC6BD,1711964952073,2024-04-01T12:49:12.073,0.19,0.79416186,0.093174644,-0.60052085,1.0291017E-4
eft,C8925E7DC6BD,1711964952083,2024-04-01T12:49:12.083,0.2,0.7941624,0.09317508,-0.6005201,1.0248358E-4
eft,C8925E7DC6BD,1711964952093,2024-04-01T12:49:12.093,0.21,0.79416263,0.093175344,-0.6005199,1.0226462E-4
eft,C8925E7DC6BD,1711964952103,2024-04-01T12:49:12.103,0.22,0.79416275,0.09317579,-0.60051966,1.0189448E-4
eft,C8925E7DC6BD,1711964952113,2024-04-01T12:49:12.113,0.23,0.7941631,0.0931442,-0.60052407,1.4383336E-4
eft,C8925E7DC6BD,1711964952123,2024-04-01T12:49:12.123,0.24,0.7941631,0.09311222,-0.600529,1.8612534E-4
eft,C8925E7DC6BD,1711964952133,2024-04-01T12:49:12.133,0.25,0.7941631,0.09311229,-0.60052896,1.8606779E-4
eft,C8925E7DC6BD,1711964952143,2024-04-01T12:49:12.143,0.26,0.7941632,0.093112424,-0.6005288,1.8594817E-4
eft,C8925E7DC6BD,1711964952153,2024-04-01T12:49:12.153,0.27,0.7941313,0.09311254,-0.60057104,1.8089601E-4
eft,C8925E7DC6BD,1711964952163,2024-04-01T12:49:12.163,0.28,0.7940994,0.093112625,-0.60061324,1.7586254E-4
Left,C8925E7DC6BD,1711964952193,2024-04-01T12:49:12.193,0.31,0.79409975,0.093112834,-0.6006127,1.7564719E-4
eft,C8925E7DC6BD,1711964952203,2024-04-01T12:49:12.203,0.32,0.79409975,0.09307547,-0.60061854,2.2536254E-4
eft,C8925E7DC6BD,1711964952213,2024-04-01T12:49:12.213,0.33,0.7940994,0.09301846,-0.60062754,3.0106676E-4
eft,C8925E7DC6BD,1711964952223,2024-04-01T12:49:12.223,0.34,0.7940994,0.09295509,-0.6006375,3.8519647E-4
eft,C8925E7DC6BD,1711964952233,2024-04-01T12:49:12.233,0.35,0.79409933,0.09288171,-0.6006489,4.8233022E-4
eft,C8925E7DC6BD,1711964952243,2024-04-01T12:49:12.243,0.36,0.794099,0.09280545,-0.6006611,5.834839E-4
eft,C8925E7DC6BD,1711964952253,2024-04-01T12:49:12.253,0.37,0.7940986,0.092728995,-0.6006731,6.8476296E-4
eft,C8925E7DC6BD,1711964952263,2024-04-01T12:49:12.263,0.38,0.79409856,0.09265857,-0.60068387,7.778431E-4
eft,C8925E7DC6BD,1711964952273,2024-04-01T12:49:12.273,0.39,0.7940991,0.092600666,-0.60069203,8.541307E-4
eft,C8925E7DC6BD,1711964952283,2024-04-01T12:49:12.283,0.4,0.79406726,0.09255265,-0.60074145,9.126604E-4
eft,C8925E7DC6BD,1711964952293,2024-04-01T12:49:12.293,0.41,0.7940328,0.09251452,-0.6007929,9.5758826E-4
eft,C8925E7DC6BD,1711964952303,2024-04-01T12:49:12.303,0.42,0.79399127,0.09251447,-0.6008477,9.512566E-4
eft,C8925E7DC6BD,1711964952313,2024-04-01T12:49:12.313,0.43,0.793934,0.09251453,-0.6009234,9.4235985E-4
eft,C8925E7DC6BD,1711964952323,2024-04-01T12:49:12.323,0.44,0.793861,0.092514694,-0.6010199,9.308973E-4
eft,C8925E7DC6BD,1711964952333,2024-04-01T12:49:12.333,0.45,0.79378134,0.09251479,-0.6011251,9.185408E-4
eft,C8925E7DC6BD,1711964952343,2024-04-01T12:49:12.343,0.46,0.79369515,0.0925149,-0.60123897,9.052171E-4
eft,C8925E7DC6BD,1711964952353,2024-04-01T12:49:12.353,0.47,0.79359937,0.092514634,-0.60136545,8.907048E-4
eft,C8925E7DC6BD,1711964952363,2024-04-01T12:49:12.363,0.48,0.7935036,0.09251436,-0.60149175,8.761795E-4
eft,C8925E7DC6BD,1711964952373,2024-04-01T12:49:12.373,0.49,0.7934079,0.09254634,-0.6016132,8.192441E-4
eft,C8925E7DC6BD,1711964952383,2024-04-01T12:49:12.383,0.5,0.79330623,0.092594154,-0.6017401,7.4025954E-4
eft,C8925E7DC6BD,1711964952393,2024-04-01T12:49:12.393,0.51,0.79321146,0.09265715,-0.60185534,6.4168096E-4
eft,C8925E7DC6BD,1711964952403,2024-04-01T12:49:12.403,0.52,0.7931295,0.09273604,-0.6019513,5.2406103E-4
eft,C8925E7DC6BD,1711964952413,2024-04-01T12:49:12.413,0.53,0.7930563,0.092825435,-0.6020341,3.9469448E-4
eft,C8925E7DC6BD,1711964952423,2024-04-01T12:49:12.423,0.54,0.792989,0.09292484,-0.60210747,2.5339055E-4
eft,C8925E7DC6BD,1711964952433,2024-04-01T12:49:12.433,0.55,0.79292834,0.09302749,-0.6021716,1.0879494E-4
eft,C8925E7DC6BD,1711964952443,2024-04-01T12:49:12.443,0.56,0.7928643,0.093133524,-0.6022394,-4.066942E-5
eft,C8925E7DC6BD,1711964952453,2024-04-01T12:49:12.453,0.57,0.7927972,0.09323294,-0.6023124,-1.8202439E-4
eft,C8925E7DC6BD,1711964952463,2024-04-01T12:49:12.463,0.58,0.79273075,0.09333106,-0.6023847,-3.21606E-4
eft,C8925E7DC6BD,1711964952473,2024-04-01T12:49:12.473,0.59,0.79267496,0.09338785,-0.6024492,-4.937497E-4
eft,C8925E7DC6BD,1711964952593,2024-04-01T12:49:12.593,0.71,0.7924514,0.0934051,-0.6027385,-0.0016371873
eft,C8925E7DC6BD,1711964952603,2024-04-01T12:49:12.603,0.72,0.7924515,0.093405284,-0.6027384,-0.0016373456
eft,C8925E7DC6BD,1711964952613,2024-04-01T12:49:12.613,0.73,0.7924565,0.09332784,-0.6027437,-0.0016230956
eft,C8925E7DC6BD,1711964952623,2024-04-01T12:49:12.623,0.74,0.7924569,0.0932829,-0.60275024,-0.001564051
eft,C8925E7DC6BD,1711964952633,2024-04-01T12:49:12.633,0.75,0.7924572,0.09323163,-0.6027579,-0.0014966239
eft,C8925E7DC6BD,1711964952643,2024-04-01T12:49:12.643,0.76,0.7924575,0.09318026,-0.6027656,-0.001429109
eft,C8925E7DC6BD,1711964952653,2024-04-01T12:49:12.653,0.77,0.79245806,0.09313198,-0.60277253,-0.0013657669
eft,C8925E7DC6BD,1711964952663,2024-04-01T12:49:12.663,0.78,0.7924971,0.09308716,-0.6027283,-0.0013008155
eft,C8925E7DC6BD,1711964952673,2024-04-01T12:49:12.673,0.79,0.7925427,0.0930423,-0.6026755,-0.0012348493
eft,C8925E7DC6BD,1711964952683,2024-04-01T12:49:12.683,0.8,0.79258496,0.09298796,-0.6026284,-0.001156826
eft,C8925E7DC6BD,1711964952693,2024-04-01T12:49:12.693,0.81,0.7926174,0.092930265,-0.6025949,-0.0010759265
eft,C8925E7DC6BD,1711964952703,2024-04-01T12:49:12.703,0.82,0.79264975,0.092879005,-0.6025602,-0.0010035038
eft,C8925E7DC6BD,1711964952713,2024-04-01T12:49:12.713,0.83,0.7926506,0.09283057,-0.6025668,-9.400582E-4
eft,C8925E7DC6BD,1711964952723,2024-04-01T12:49:12.723,0.84,0.7926839,0.09279815,-0.60252804,-8.927828E-4
eft,C8925E7DC6BD,1711964952733,2024-04-01T12:49:12.733,0.85,0.79268533,0.09279712,-0.6025263,-8.9219905E-4
eft,C8925E7DC6BD,1711964952743,2024-04-01T12:49:12.743,0.86,0.79268736,0.09279644,-0.60252374,-8.919815E-4
