Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
right,FEAC84C53DE7,1711964951772,2024-04-01T12:49:11.772,0.0,0.78642315,-0.31509665,-0.5312747,0.0
ight,FEAC84C53DE7,1711964951782,2024-04-01T12:49:11.782,0.01,0.7863665,-0.31509665,-0.53135854,3.3561388E-5
ight,FEAC84C53DE7,1711964951792,2024-04-01T12:49:11.792,0.02,0.78631604,-0.31509662,-0.5314332,6.332535E-5
ight,FEAC84C53DE7,1711964951802,2024-04-01T12:49:11.802,0.03,0.7862684,-0.3150964,-0.5315038,9.129889E-5
ight,FEAC84C53DE7,1711964951812,2024-04-01T12:49:11.812,0.04,0.78622156,-0.31509638,-0.5315731,1.18844306E-4
ight,FEAC84C53DE7,1711964951822,2024-04-01T12:49:11.822,0.05,0.786171,-0.31509632,-0.53164786,1.4855721E-4
ight,FEAC84C53DE7,1711964951832,2024-04-01T12:49:11.832,0.06,0.7861288,-0.31509638,-0.5317102,1.7334755E-4
ight,FEAC84C53DE7,1711964951842,2024-04-01T12:49:11.842,0.07,0.7860978,-0.3150964,-0.53175604,1.9149082E-4
ight,FEAC84C53DE7,1711964951852,2024-04-01T12:49:11.852,0.08,0.78606385,-0.31509626,-0.5318063,2.1105228E-4
ight,FEAC84C53DE7,1711964951862,2024-04-01T12:49:11.862,0.09,0.78602767,-0.315096,-0.53186,2.3168436E-4
ight,FEAC84C53DE7,1711964951872,2024-04-01T12:49:11.872,0.1,0.78599304,-0.31509504,-0.5319117,2.5013022E-4
ight,FEAC84C53DE7,1711964951882,2024-04-01T12:49:11.882,0.11,0.78596157,-0.31509438,-0.5319585,2.673996E-4
ight,FEAC84C53DE7,1711964951892,2024-04-01T12:49:11.892,0.12,0.7859605,-0.31512472,-0.5319421,3.1184958E-4
ight,FEAC84C53DE7,1711964951902,2024-04-01T12:49:11.902,0.13,0.7859591,-0.31516427,-0.5319208,3.6926116E-4
ight,FEAC84C53DE7,1711964951912,2024-04-01T12:49:11.912,0.14,0.7859578,-0.31520107,-0.5319009,4.2265395E-4
ight,FEAC84C53DE7,1711964951922,2024-04-01T12:49:11.922,0.15,0.7859568,-0.3152314,-0.5318843,4.6684445E-4
ight,FEAC84C53DE7,1711964951932,2024-04-01T12:49:11.932,0.16,0.7859555,-0.31526843,-0.5318642,5.206929E-4
ight,FEAC84C53DE7,1711964951942,2024-04-01T12:49:11.942,0.17,0.7859548,-0.3152987,-0.53184736,5.6495686E-4
ight,FEAC84C53DE7,1711964951952,2024-04-01T12:49:11.952,0.18,0.7859538,-0.3152985,-0.53184885,5.64219E-4
ight,FEAC84C53DE7,1711964951962,2024-04-01T12:49:11.962,0.19,0.7859528,-0.31532913,-0.5318321,6.0901453E-4
ight,FEAC84C53DE7,1711964951972,2024-04-01T12:49:11.972,0.2,0.78595126,-0.3153677,-0.5318114,6.654744E-4
ight,FEAC84C53DE7,1711964951982,2024-04-01T12:49:11.982,0.21,0.78594977,-0.31540528,-0.53179127,7.206463E-4
ight,FEAC84C53DE7,1711964951992,2024-04-01T12:49:11.992,0.22,0.7859482,-0.3154524,-0.5317655,7.8964763E-4
ight,FEAC84C53DE7,1711964952002,2024-04-01T12:49:12.002,0.23,0.7859469,-0.31549984,-0.5317392,8.590989E-4
ight,FEAC84C53DE7,1711964952012,2024-04-01T12:49:12.012,0.24,0.7859454,-0.31554183,-0.53171635,9.2031807E-4
ight,FEAC84C53DE7,1711964952022,2024-04-01T12:49:12.022,0.25,0.78594404,-0.3155807,-0.53169525,9.771517E-4
ight,FEAC84C53DE7,1711964952032,2024-04-01T12:49:12.032,0.26,0.78594315,-0.31561333,-0.53167707,0.0010250855
ight,FEAC84C53DE7,1711964952042,2024-04-01T12:49:12.042,0.27,0.7859423,-0.31564423,-0.53166,0.0010701544
ight,FEAC84C53DE7,1711964952052,2024-04-01T12:49:12.052,0.28,0.78594065,-0.31567752,-0.53164244,0.0011186514
ight,FEAC84C53DE7,1711964952062,2024-04-01T12:49:12.062,0.29,0.78593826,-0.3157162,-0.5316229,0.001174729
ight,FEAC84C53DE7,1711964952072,2024-04-01T12:49:12.072,0.3,0.78593576,-0.31575796,-0.5316017,0.0012351298
ight,FEAC84C53DE7,1711964952082,2024-04-01T12:49:12.082,0.31,0.7859495,-0.31576157,-0.5315791,0.0013278286
ight,FEAC84C53DE7,1711964952092,2024-04-01T12:49:12.092,0.32,0.7859932,-0.3157608,-0.53151476,0.0014056431
ight,FEAC84C53DE7,1711964952102,2024-04-01T12:49:12.102,0.33,0.78604776,-0.31575036,-0.53143996,0.0014745871
ight,FEAC84C53DE7,1711964952112,2024-04-01T12:49:12.112,0.34,0.78609556,-0.31573516,-0.531378,0.0015507
ight,FEAC84C53DE7,1711964952122,2024-04-01T12:49:12.122,0.35,0.78611386,-0.31572095,-0.53135914,0.0016362891
